"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha.gmst_est","alpha.gmst_lower","alpha.gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event.magnitude_est","event.magnitude_lower","event.magnitude_upper","return.period_est","return.period_lower","return.period_upper","PR.pi_est","PR.pi_lower","PR.pi_upper","PR.naoneutral_est","PR.naoneutral_lower","PR.naoneutral_upper","PR.pineutral_est","PR.pineutral_lower","PR.pineutral_upper","dI.abs.pi_est","dI.abs.pi_lower","dI.abs.pi_upper","dI.abs.naoneutral_est","dI.abs.naoneutral_lower","dI.abs.naoneutral_upper","dI.abs.pineutral_est","dI.abs.pineutral_lower","dI.abs.pineutral_upper","dI.rel.pi_est","dI.rel.pi_lower","dI.rel.pi_upper","dI.rel.naoneutral_est","dI.rel.naoneutral_lower","dI.rel.naoneutral_upper","dI.rel.pineutral_est","dI.rel.pineutral_lower","dI.rel.pineutral_upper","rl10.f_est","rl10.f_lower","rl10.f_upper","rl10.pi_est","rl10.pi_lower","rl10.pi_upper","rl10.naoneutral_est","rl10.naoneutral_lower","rl10.naoneutral_upper","rl10.pineutral_est","rl10.pineutral_lower","rl10.pineutral_upper","pr10.pi_est","pr10.pi_lower","pr10.pi_upper","pr10.naoneutral_est","pr10.naoneutral_lower","pr10.naoneutral_upper","pr10.pineutral_est","pr10.pineutral_lower","pr10.pineutral_upper","rp10.pi_est","rp10.pi_lower","rp10.pi_upper","rp10.naoneutral_est","rp10.naoneutral_lower","rp10.naoneutral_upper","rp10.pineutral_est","rp10.pineutral_lower","rp10.pineutral_upper","cor.x.gmst_est","cor.x.gmst_lower","cor.x.gmst_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper","alpha.nao_est","alpha.nao_lower","alpha.nao_upper","cor.x.nao_est","cor.x.nao_lower","cor.x.nao_upper","cor.gmst.nao_est","cor.gmst.nao_lower","cor.gmst.nao_upper","alpha.nao.res_est","alpha.nao.res_lower","alpha.nao.res_upper","cor.x.nao.res_est","cor.x.nao.res_lower","cor.x.nao.res_upper","cor.gmst.nao.res_est","cor.gmst.nao.res_lower","cor.gmst.nao.res_upper","rl40.f_est","rl40.f_lower","rl40.f_upper","rl40.pi_est","rl40.pi_lower","rl40.pi_upper","rl40.naoneutral_est","rl40.naoneutral_lower","rl40.naoneutral_upper","rl40.pineutral_est","rl40.pineutral_lower","rl40.pineutral_upper","pr40.pi_est","pr40.pi_lower","pr40.pi_upper","pr40.naoneutral_est","pr40.naoneutral_lower","pr40.naoneutral_upper","pr40.pineutral_est","pr40.pineutral_lower","pr40.pineutral_upper","rp40.pi_est","rp40.pi_lower","rp40.pi_upper","rp40.naoneutral_est","rp40.naoneutral_lower","rp40.naoneutral_upper","rp40.pineutral_est","rp40.pineutral_lower","rp40.pineutral_upper"
"chirps_gmst-only",25.6799855006933,20.8013530651103,30.5582370862306,7.68657770812661,4.94961921868623,9.72687753648558,-2.96746333354806,-10.0891014644238,5.54443471106963,-0.134865523220303,-0.394438603604884,0.297526072114088,0.2993217308444,0.190615174132985,0.375542455250489,40.2645950317383,40.2645950317383,40.2645950317383,9.4590013064161,3.8386866091965,341.248684640659,0.431589936302566,0.0055396420458393,3.52680164116147,1,1,1,0.431589936302566,0.0055396420458393,3.52680164116147,-7.77901432419917,-30.9265878924311,13.7903741932837,0,0,0,-7.77901432419917,-30.9265878924311,13.7903741932837,-13.9483198553404,-44.979517788281,26.8461717336818,0,0,0,-13.9483198553404,-44.979517788281,26.8461717336818,40.5992846688177,32.1259252664842,49.5054467789589,47.1801185061897,36.591519346794,60.1366898837989,40.5992846688177,32.1259252664842,49.5054467789589,47.1801185061897,36.591519346794,60.1366898837989,0.424371579084403,0.123678725442596,5.4255050460985,1,1,1,0.424371579084403,0.123678725442596,5.4255050460985,4.24371579084403,1.23678725442596,54.255050460985,10,9.99999999999998,10,4.24371579084403,1.23678725442596,54.255050460985,-0.099165868878825,-0.348912549128006,0.167734086899878,341.051865895107,310.653036048601,356.518930684077,46,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chirps_gmst+nao",25.7016187529874,20.2612875836623,30.4583202433661,7.57223786013358,4.41723604882948,9.55167679928807,-2.67823983267945,-9.9961101825275,5.36176498226763,-0.116635184326526,-0.39944312721993,0.388423800254689,0.294621048304727,0.179383716346671,0.373978405330947,40.2645950317383,40.2645950317383,40.2645950317383,7.58858195513769,3.30553159256343,500.804970503191,0.495921138522866,0.00495890188677191,3.51224653408707,1.23029729413391,0.727498420290569,3.03975408866915,0.577320841815639,0.00458791980172923,4.66434800918053,-7.25436049666502,-34.3109254148871,13.8021108399046,1.63282615648878,-1.45816698330924,5.23390153541899,-5.38465863506268,-32.6149676244196,15.8077129848535,-12.6691698809427,-46.4635623626939,25.606632126685,3.37550721020055,-3.28093993181844,9.59566126225912,-9.72131141354589,-45.5615979162252,33.255193480138,42.0625583550302,32.297228059014,52.3150951247406,48.164615288423,37.4567240393288,63.2892024320793,40.6890950189018,31.3730751325019,49.4583348668746,46.5919022679971,36.2836006368419,60.6341816276514,0.460827814539743,0.120781627655993,6.03332044259897,1.25620679185011,0.796083778886544,2.40033169148786,0.545392972298904,0.123599397999751,9.88061950825294,4.60827814539743,1.20781627655993,60.3332044259898,12.5620679185011,7.96083778886545,24.0033169148786,5.45392972298905,1.23599397999751,98.8061950825295,-0.099165868878825,-0.348912549128006,0.167734086899878,342.259646564245,309.380889181835,357.224974787008,46,1000,0,-1.06990245450228,-2.90485268895941,1.01159985055815,-0.12802886311017,-0.350371814308948,0.111820792632829,-0.0038415146295063,-0.25919722179652,0.250605648452677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chirps_gmst+naodet",25.4854967100006,20.0042085517333,30.1709058406886,7.50698782925134,4.2792617393737,9.49780766036229,-3.31173562141368,-10.572933615723,4.32444072023983,-0.116168710166705,-0.39948028121485,0.404644889525042,0.294559212036293,0.177444794599287,0.373972809106705,40.2645950317383,40.2645950317383,40.2645950317383,7.53436460695928,3.28300572931985,500.188634852626,0.431738182946716,0.00502906491053481,2.65174354180572,1.30853290650589,0.667866222887893,4.60489298547369,0.517928188104837,0.00487490366693791,3.70362483333818,-9.21568774864655,-39.6940543083404,11.1966868358003,2.09600684964228,-1.90937054262921,6.73581509301572,-6.73393839771867,-34.3374149932606,14.8390001685653,-15.5431692222009,-48.8962900260428,21.3226017986865,4.36857183685119,-4.24267619560194,12.5292455044602,-11.8536118985449,-46.0014582961377,28.7090577224593,42.1140611717333,32.2969828001734,52.3755448462425,49.8646003927532,38.6017129194099,67.4835777911059,40.3512862450259,31.1549005313556,49.1244460247669,47.7774099186693,37.3117482192568,63.4338533849587,0.39401699881141,0.117205513086341,4.05694320005504,1.34535985590919,0.746602803487187,3.33615730047889,0.482635712384793,0.121558988601484,6.71334362797059,3.9401699881141,1.17205513086341,40.5694320005503,13.4535985590919,7.46602803487186,33.3615730047889,4.82635712384793,1.21558988601484,67.1334362797059,-0.099165868878825,-0.348912549128006,0.167734086899878,342.259636934613,309.070826465496,357.224976162925,46,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06067455818154,-2.82940711660022,1.06436575900271,-0.105577759269589,-0.340237993935087,0.144882693777446,-0.203227760623521,-0.449729891593121,0.0704298148516722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cpc_gmst-only",22.6853770139352,18.8167104968518,26.643816729454,5.64348986302249,4.25005452462045,6.87735386582516,1.95719011246629,-3.49348410616746,7.94038670587258,-0.124495330958925,-0.482207912858284,0.0973273287942835,0.248772143374818,0.189084722520704,0.292350599112464,28.1721363067627,28.1721363067627,28.1721363067627,3.34824637097336,1.85233295181419,17.2306737232105,1.85588323617285,0.200316033527895,14.4008715883753,1,1,1,1.85588323617285,0.200316033527895,14.4008715883753,4.03523633054827,-8.29729476636866,14.8574263653231,0,0,0,4.03523633054827,-8.29729476636866,14.8574263653231,11.8689630759508,-21.2462945798663,49.4480735963484,0,0,0,11.8689630759508,-21.2462945798663,49.4480735963484,33.7614175038063,26.9174306755307,40.1019196953663,30.1794318777092,25.1031414175076,36.0787383242871,33.7614175038063,26.9174306755307,40.1019196953663,30.1794318777092,25.1031414175076,36.0787383242871,2.62847860851701,0.231668264055873,679.443123482626,1,1,1,2.62847860851701,0.231668264055873,679.443123482626,26.2847860851701,2.31668264055874,6794.43123482625,9.99999999999999,9.99999999999998,10,26.2847860851701,2.31668264055874,6794.43123482625,0.0930294199422481,-0.161567139747637,0.331540993579227,313.088791333687,287.614410430206,327.767307040781,48,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cpc_gmst+nao",22.6915026730838,18.6126795353332,26.568690619221,5.26795722273933,3.27624103794668,6.43774345781283,2.45652898344454,-3.48984257156416,8.69222457965352,-0.0849242099790562,-0.548919066678318,0.300715217086448,0.232155503257529,0.148995817275221,0.28179994470543,28.1721363067627,28.1721363067627,28.1721363067627,2.61361748163682,1.53658046001628,19.2152541284547,2.02683515679614,0.17184728861348,18.4365664911489,1.33913121861844,0.722938832083314,2.2557719484176,3.05358319947711,0.18910066375866,853.887853482517,5.31077938896589,-8.55046284474556,16.5117336473731,2.52062435803275,-1.17403972876381,6.16024778134968,7.50049499214856,-7.53088586912003,19.2372224458294,15.1119512675122,-20.1297109846482,53.7588637561322,6.64492672928301,-3.77517611114103,16.2147332819461,22.7610560858864,-19.8117998967747,67.8990123907597,35.7072716428155,26.9776229108859,42.3621773542553,31.0196041763155,25.5014814694302,38.9583663702848,33.4823912753562,26.8891083288485,39.1884519817126,29.0868071531039,23.6948534705915,35.9728318240889,3.27884214390165,0.224259286091404,Inf,1.65131351656782,0.656616890215905,6.93436320398318,6.37118311809952,0.206236265214111,Inf,32.7884214390165,2.24259286091404,Inf,16.5131351656782,6.56616890215905,69.3436320398316,63.7118311809952,2.06236265214111,Inf,0.0930294199422481,-0.158384677184839,0.331540993579227,310.405765034118,281.544232013325,324.395655556584,48,1000,0,-1.83055126190979,-3.95573784467714,1.04355261616248,-0.297778243736795,-0.597766458782379,0.0629964921941464,0.0635132854802283,-0.190076595105413,0.307064942433395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cpc_gmst+naodet",22.2745191747839,18.0871404719603,26.1303333544007,5.17134864663622,3.20697420904952,6.42428184292195,1.22480238407099,-4.42707477987965,7.01867474811688,-0.084949415576301,-0.548910953883356,0.30073716580046,0.232164322204114,0.148998068845466,0.28181101926577,28.1721363067627,28.1721363067627,28.1721363067627,2.61348541333245,1.50766598718568,19.2148507246404,1.38763292010638,0.176565245156375,7.3558301785516,1.47069470054488,0.672204980461395,2.98993264711311,2.20017728494915,0.179399559861805,23.7848364526922,2.79082459977001,-13.5080313267885,14.082043407777,3.21801493353861,-1.51675810329513,7.77543170634276,5.7868363106472,-7.90229778640347,16.9161757962761,7.40995844093087,-27.2083048378602,42.7680650833262,8.64222108394721,-4.71138736651493,21.3642110133449,16.6925645155719,-20.0899677513013,56.514382273718,35.7076819657447,26.9776169646345,42.3621271353473,33.2442936242097,26.9993213372648,44.1624359482694,32.8672238191389,26.5296649579206,38.3543729906762,30.599791952451,25.2363563423523,38.3470629337196,1.75318787178541,0.19094905603823,Inf,1.93234199052808,0.610985221895873,23.3205447570392,3.74833703034641,0.223142866631893,Inf,17.5318787178541,1.9094905603823,Inf,19.3234199052808,6.10985221895873,233.205447570392,37.4833703034641,2.23142866631893,Inf,0.0930294199422481,-0.158384677184839,0.332641705773419,310.405765881649,281.700513053218,324.395655546601,48,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7971221238683,-3.78384346652085,0.986551210685577,-0.314214516079898,-0.616867132339702,0.0417421633994959,-0.137737653091625,-0.391266995846859,0.123964635263559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eobs_gmst-only",26.2348489538593,22.3614952677242,29.2006240493523,5.99481768604121,3.80455653529085,7.33008434362709,7.13143544430119,2.85837598212654,11.3338385327827,0.00115917494414864,-0.150986183864384,0.321242570902637,0.228505896740043,0.157395837612486,0.276343301184642,30.9553852081299,30.9553852081299,30.9553852081299,2.7347660946339,1.89223938091791,6.09237587482258,7.31938680057641,2.18980541370151,34.1926611949336,1,1,1,7.31938680057641,2.18980541370151,34.1926611949336,13.9184135637446,6.6310155552357,20.2272165749969,0,0,0,13.9184135637446,6.6310155552357,20.2272165749969,42.3871849048519,17.8413793795004,65.6037617872618,0,0,0,42.3871849048519,17.8413793795004,65.6037617872618,39.7430016248812,34.1136193989421,44.3586699504681,27.9119231491506,25.0471530819235,31.3101033524464,39.7430016248812,34.1136193989421,44.3586699504681,27.9119231491506,25.0471530819235,31.3101033524464,15.6302726608697,2.21592225102203,740.358209913955,1,1,1,15.6302726608697,2.21592225102203,740.358209913955,156.302726608703,22.1592225102203,7403.58209913955,10.0000000000004,9.99999999999995,10.0000000000001,156.302726608703,22.1592225102203,7403.58209913955,0.3231589868241,0.129115685887443,0.536983259881732,488.708273392223,445.201246480857,515.988431687258,77,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eobs_gmst+nao",26.5826332322217,22.9818646216169,29.9201242993834,5.92333831444746,3.75851527684028,7.16408832273051,8.18379005699168,3.7952706496455,12.9522563381868,0.00663670155336777,-0.196365024953657,0.351340298498264,0.222827372393928,0.154016953726932,0.262319762186738,30.9553852081299,30.9553852081299,30.9553852081299,2.22377302663845,1.48930498073292,5.00720874196944,8.81826448086957,2.66042444562959,57.6401418459373,1.18186496710715,0.953639361648319,1.40342026606249,12.1101318106593,2.87997522268586,122.586012103033,16.206339550319,8.74225478795666,24.0516890560576,2.08681018869927,-0.566307167629618,4.47828911366594,17.6048611962454,9.22659602559444,26.3954384941136,49.2154372281461,23.6118604558917,77.2533806200649,4.43540585372621,-1.13094208417843,9.330909265432,55.8337474656265,26.2721844580707,89.5055140616327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3231589868241,0.129115685887443,0.536983259881732,487.338567438075,444.772695641751,513.480176211361,77,1000,0,-1.44659460185136,-3.02297429529181,0.362518093235717,-0.105011843605883,-0.340128053648477,0.1641374186499,0.24817008228835,0.0614192708547841,0.413677657050527,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7828711911649,42.2896400357163,60.3187679272988,34.0332556299248,28.8849234766334,42.7529006348905,48.6261060375369,40.7526299278527,58.3756660360939,32.5878521289918,27.5977988368635,41.7928921373443,48.4123166126047,2.60283361069437,Inf,1.42070051512707,0.932474235015241,2.60064075271507,81.082180360385,2.68271015374707,Inf,1936.49266450416,104.113344427775,Inf,56.8280206050821,37.2989694006096,104.025630108603,3243.28721441535,107.308406149883,Inf
"eobs_gmst+naodet",26.2462485762935,22.6483238160281,29.4061688058504,5.84776244731633,3.73322625856058,7.03945208557744,7.13046004516374,3.19282796017609,11.7160353543041,0.0065123872695305,-0.196359813616594,0.351428239070522,0.222803743945268,0.154022400373532,0.262339270764901,30.9553852081299,30.9553852081299,30.9553852081299,2.22511975862767,1.4892882642907,5.00082126435403,6.36896882911606,2.29296822788087,34.108202604754,1.24480491784342,0.940650791918342,1.57201627662177,9.41449277612232,2.72532374251564,69.7610040845505,14.615981026653,7.3665930378571,22.2587812445738,2.67435248496952,-0.731181498468698,5.70363478811723,16.494585633968,8.76373156390106,24.551225020408,42.3584544909505,19.7253860289443,67.201148614118,5.75784698474581,-1.44578895100146,12.1772207699973,50.5552364703885,24.2448539630843,79.5650641284314,41.7772724118954,35.3874233860478,47.9550965180701,29.3465341143832,25.7138766873095,32.9787466415051,39.502763722035,33.9437011269749,44.6524637416675,27.7488006337875,24.8849508822886,30.9705586529019,15.5675974419392,2.41969737810765,10651.5571506317,1.44240118792709,0.922119338131457,2.40398841911427,26.5422770448666,2.81492621412924,781035.036285303,155.67597441939,24.1969737810765,106515.571506317,14.4240118792708,9.22119338131458,24.0398841911426,265.422770448664,28.1492621412925,7810350.36285305,0.3231589868241,0.129115685887443,0.536983259881732,487.338553280613,444.772683941913,513.480233138675,77,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43015091561126,-2.94946349010556,0.363872270189304,-0.19119137601941,-0.421940883542728,0.074340597864184,3.29843949370606e-17,-0.207862787814827,0.1966340762756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eobs-1920_gmst-only",25.7882263028076,22.8964329636197,28.4288336117555,5.75949755011784,4.0485418211735,6.87717624782817,6.41092049975766,3.31135987158194,9.52738481614945,-0.0119652692051071,-0.138175662738928,0.225058269776303,0.223338258416431,0.167610589152086,0.261878074781555,30.9553852081299,30.9553852081299,30.9553852081299,2.99825896393934,2.05088359649416,5.78798280196508,6.87317622881535,2.77103688939186,21.3778739888472,1,1,1,6.87317622881535,2.77103688939186,21.3778739888472,12.4454804810225,7.01481550507097,17.8189978665945,0,0,0,12.4454804810225,7.01481550507097,17.8189978665945,38.1511733535249,20.7786448021795,54.8133817755397,0,0,0,38.1511733535249,20.7786448021795,54.8133817755397,38.5762717254235,33.7529772251231,43.4644069106701,27.9232313334813,25.6579951106392,30.0550384313239,38.5762717254235,33.7529772251231,43.4644069106701,27.9232313334813,25.6579951106392,30.0550384313239,13.716475887519,2.93881987779279,225.047328452169,1,1,1,13.716475887519,2.93881987779279,225.047328452169,137.16475887519,29.3881987779279,2250.47328452169,10,9.99999999999991,10.0000000000001,137.16475887519,29.3881987779279,2250.47328452169,0.343096849639556,0.182763042103481,0.512685435799673,663.417247785585,615.780965648497,694.266696277024,107,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
