"","X","eval_disp_est","eval_disp_lower","eval_disp_upper","eval_shape_est","eval_shape_lower","eval_shape_upper","rp_value","attr_PR.pi_est","attr_PR.pi_lower","attr_PR.pi_upper","attr_dI.abs.pi_est","attr_dI.abs.pi_lower","attr_dI.abs.pi_upper","attr_dI.rel.pi_est","attr_dI.rel.pi_lower","attr_dI.rel.pi_upper","attr_PR.naoneutral_est","attr_PR.naoneutral_lower","attr_PR.naoneutral_upper","attr_dI.abs.naoneutral_est","attr_dI.abs.naoneutral_lower","attr_dI.abs.naoneutral_upper","attr_dI.rel.naoneutral_est","attr_dI.rel.naoneutral_lower","attr_dI.rel.naoneutral_upper","attr_PR.pineutral_est","attr_PR.pineutral_lower","attr_PR.pineutral_upper","attr_dI.abs.pineutral_est","attr_dI.abs.pineutral_lower","attr_dI.abs.pineutral_upper","attr_dI.rel.pineutral_est","attr_dI.rel.pineutral_lower","attr_dI.rel.pineutral_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.abs_est","proj_dI.abs_lower","proj_dI.abs_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper","aic_eval","aic_attr","aic_proj","attr_nobs","attr_nsamp","attr_nfailed","proj_nobs","proj_nsamp","proj_nfailed"
"CanESM2_r1i1p1_CCLM4-8-17",x ~ gmst + nao (rp10),0.312095523804498,0.223341508233554,0.370747939528352,-0.0679959512208534,-0.43562599986392,0.231843717069205,27.9820024413472,1.66478300929045,0.58120278571393,33.2716688354223,2.07215799889665,-2.69290049474315,6.89332439452329,7.99757020347692,-10.8260534551144,27.5963650117978,1.83567562943005,1.29876424486395,3.9141139133557,2.42323575968859,1.05930562250877,4.07433075607925,9.48103556744602,4.19345608275161,15.1049571831789,3.33097709570245,0.798338649599079,19404.312539625,4.31594529440988,-1.0682732308133,9.3709323020699,18.2368582464461,-4.51873611405938,40.636543188851,0.855908701076127,0.609085106019085,1.17006381048504,-0.74668449563698,-2.12263139855531,0.821770302859592,-2.93786402441105,-8.88226740111463,2.89217141034587,306.625995806336,469.910395348766,738.713847162272,77,1000,0,121,1000,0
"CanESM2_r1i1p1_REMO2015",x ~ gmst + nao (rp10),0.270963238986559,0.207200148833874,0.325945483294003,0.0154359554854267,-0.414656290951597,0.379055322094052,34.6715987988826,1.10640251197869,0.518860605671917,3.52596614830349,0.559340513714893,-4.13056229010362,5.63270556824678,1.63970531953348,-12.1319588469946,16.372006789968,1.69892510008812,1.28312343287395,2.32125649391335,2.70235406549033,1.07779458468343,4.46141480328617,8.45298063193745,3.32562115034704,13.935272671863,1.9041390387232,0.758028548097117,8.58392472055576,3.21809877850394,-1.41134748688465,8.49707723964093,10.2312899245519,-4.60912415559926,27.2268091750513,0.973939204152911,0.632965544737359,1.31685422452528,-0.150653604596691,-1.89309418864713,1.77880926771876,-0.435383690279367,-6.00302719205019,4.73526198158573,325.436270862388,505.530417321251,801.937338522045,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_ALADIN53",x ~ gmst + nao (rp10),0.226263015628306,0.154287866663349,0.276590088181846,0.0844826686760806,-0.21640343489402,0.402742935969044,33.6653140274912,2.10356771605779,0.477539611722652,29.664504304946,3.76850831942871,-3.67694051251111,12.0204270140095,12.6050533833868,-11.3271701633723,44.1310151990734,0.971513404640629,0.71018787274019,1.35877664968001,-0.167971984539001,-1.89003755529441,1.73354007993169,-0.496469614211504,-5.8914858171042,4.95556563131796,2.03473775046733,0.442271078222878,28.0076214396267,3.61933918403733,-4.32996607244827,11.9853298129809,12.0460035092717,-13.3646428031117,44.2563074399707,1.34662551488592,0.853952940437997,2.09291630612285,1.62691323289013,-0.842181159618843,4.54729011599486,4.71965217887719,-2.62706412207752,12.0579218892629,312.096999373624,503.788690820603,784.439167699994,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_ALADIN63",x ~ gmst + nao (rp10),0.182453510227268,0.127511064747907,0.219647403073622,-0.064779393884716,-0.533628952470082,0.275064407024462,40.4300853502176,1.29699407986542,0.256749864926534,Inf,0.85756227390182,-6.90893130938215,7.87834367836239,2.16706494111585,-16.1086412506857,21.3279395172913,1.875303796102,1.14334386339918,5.26853012222876,1.89329687216179,0.390848172610871,4.02563253890691,4.91295965993612,1.03427999166813,10.7530605099496,2.64816999957487,0.326344101418015,Inf,2.71070043858629,-4.74971806539989,10.0283008523462,7.18649162741361,-11.8705951913254,29.6058361692891,1.8203661573535,0.888485238008277,2.98930667304734,2.91112017187225,-0.512550013636496,5.92990372104866,6.44289722054317,-1.24979363776999,12.2127292904733,313.387488648612,501.229821061637,801.089920477277,76,1000,0,120,1000,0
"CNRM-CM5_r1i1p1_ALARO-0",x ~ gmst + nao (rp10),0.234484746797196,0.171938218575627,0.280692812191791,-0.0496720216375413,-0.368205900451851,0.178198920694077,38.7731110547479,1.62895764036956,0.385229228917324,27.5889360173608,2.55857262533024,-5.47218904808283,11.0400918064962,7.06504275987643,-14.077656996448,34.0076859930783,0.977010619509807,0.697979163937599,1.38207196667637,-0.134225246340137,-1.86039969153847,1.76627117859435,-0.344986984720367,-4.78189964529815,4.47563051128514,1.58710774622207,0.376753777795686,21.695483359097,2.43320467807114,-5.5571878667145,11.3127086441261,6.69568229716955,-14.3260942088102,33.9665235998946,1.17678354566346,0.715060922168573,1.93868049491018,0.994529635135095,-1.6459068026204,4.23031424146822,2.47764043846859,-4.42263933070988,9.59336795626212,329.700656055125,520.539763204034,821.913200526486,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_CCLM4-8-17",x ~ gmst + nao (rp10),0.215642303691641,0.139950012217632,0.257876143400397,-0.0421604818093173,-0.330722284865722,0.300500202624922,31.3298756400845,2.25076704661753,0.398001192691374,27.9902367736423,3.01081239771165,-3.47631489104206,9.31320122844881,10.6317513822515,-11.252693122051,35.5600477293536,0.910140008834924,0.676274436731064,1.2071162362086,-0.411589279645177,-1.67500368129378,0.757660067109173,-1.29669276665723,-5.1235051916086,2.49791579938912,2.00963694131045,0.38780396019782,20.8644631145036,2.6387769969314,-3.87738644175777,8.94057916179285,9.19719746445164,-12.2303942664167,32.6643590809488,1.0334319123683,0.536304374012985,1.90386351327657,0.153054762563446,-2.98312863687868,3.26280035887444,0.477750277133589,-10.4149661848178,9.14230636715553,301.246360872771,477.509559228211,774.861229911696,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_COSMO-crCLIM-v1-1",x ~ gmst + nao (rp10),0.238716898098263,0.167678497107551,0.292710602615774,0.0735011429961621,-0.213631301281159,0.419489860107779,36.2950199446341,1.54690971424454,0.334635091241887,1692.04783108301,2.15285972248999,-7.79601635813159,12.0203726600479,6.30557559475595,-20.1790346563835,39.183261436049,1.74451721486832,1.17082718698119,3.06513758211454,2.67999477955593,0.721561305452216,4.67164960829257,7.97260976719456,2.14045929822601,13.3391663472911,2.91164381239926,0.488771923628139,Inf,4.67388908954055,-4.56575240440371,14.2021528622748,14.7809042976958,-12.7754788225812,50.6628814176693,1.29234627662033,0.778165257565395,2.01475787244245,1.36005033717144,-1.34979869055959,4.11748000273693,3.71079401297471,-4.04922130048646,10.3261580833746,319.518772991597,508.787686521254,792.472626125769,76,1000,0,120,1000,0
"CNRM-CM5_r1i1p1_HadREM3-GA7-05",x ~ gmst + nao (rp10),0.26173167084891,0.199093665362653,0.308275339369742,-0.123169243098832,-0.456831243262094,0.205550826773816,44.1504867472564,0.987869811953838,0.236418710116005,Inf,-0.0796653027219278,-14.2066313065857,14.7235141521127,-0.180115371595172,-27.7723440275622,38.4909442061063,1.82822845308352,1.3243030281537,3.91016962307345,3.50902579229511,1.64242182736035,5.77492943577727,8.63410347424224,3.78546443044965,13.8674324969444,1.80272694013187,0.353253885967912,Inf,3.43569218878191,-9.15520793511935,17.9579656878358,8.43843675509053,-19.1372978351725,51.133417996672,1.15975652743914,0.678058948847512,2.40501651197631,0.995189516909171,-2.85255001565683,5.63611740052475,2.14937571723563,-6.78248970981025,11.0865917190731,344.380746346528,521.482954171636,836.251596027236,75,1000,0,119,1000,0
"CNRM-CM5_r1i1p1_HIRHAM5",x ~ gmst + nao (rp10),0.243135015499026,0.176454873482655,0.299812784547388,0.0879673987297451,-0.332153083984385,0.394040193885245,42.4249651903581,1.29058894913732,0.386617842448697,40.0115297778876,1.65359440912752,-7.32662534864519,11.7437533967252,4.05577339550419,-16.462704355283,31.8436259680166,1.60853288722887,1.12311094441639,2.52350379934816,2.95058701552905,0.621141346525482,5.27177866994226,7.47468903110042,1.5991039767482,13.1894690725904,2.14366355541698,0.560427046417168,145.030952530261,4.48917663512684,-4.01407520273885,14.8560584032767,11.8336188757246,-9.67916601338197,44.313556826289,1.28830654097,0.763098687413249,2.13199439948951,1.78579511777016,-1.89730836124748,5.53731201544678,4.00735848820603,-4.79449090239477,11.4445621752864,336.971052868199,533.907174133896,839.471904815655,76,1000,0,120,1000,0
"CNRM-CM5_r1i1p1_RACMO22E",x ~ gmst + nao (rp10),0.195167945693556,0.137845298615296,0.242196780379212,-0.0499185686229038,-0.519743907775737,0.443354534730746,32.7704273786429,0.786431709686473,0.245751716965818,48.9726277877121,-1.04049558424342,-7.61969593153736,6.13008036291926,-3.07739479749062,-20.7415310346511,20.3979870523985,1.42095353511163,0.86959907814394,2.4101276111456,1.35719222391499,-0.413710923888513,2.79833447329577,4.32044715302339,-1.29313237876112,8.70270234375779,1.09279660392299,0.275186736742321,617.168743550642,0.359788922223643,-6.18377768522613,7.9397134282178,1.11009513961729,-17.4913652393573,26.711258087332,1.22416956354976,0.69375911948224,2.36001131867641,1.01742318742681,-1.66346255532941,4.30909879725838,2.78678308979911,-4.974595619279,10.5847391527234,300.63340703113,480.81924811712,773.288031739827,77,1000,0,121,1000,0
