"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha.gmst_est","alpha.gmst_lower","alpha.gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event.magnitude_est","event.magnitude_lower","event.magnitude_upper","return.period_est","return.period_lower","return.period_upper","PR.pi_est","PR.pi_lower","PR.pi_upper","PR.naoneutral_est","PR.naoneutral_lower","PR.naoneutral_upper","PR.pineutral_est","PR.pineutral_lower","PR.pineutral_upper","dI.abs.pi_est","dI.abs.pi_lower","dI.abs.pi_upper","dI.abs.naoneutral_est","dI.abs.naoneutral_lower","dI.abs.naoneutral_upper","dI.abs.pineutral_est","dI.abs.pineutral_lower","dI.abs.pineutral_upper","dI.rel.pi_est","dI.rel.pi_lower","dI.rel.pi_upper","dI.rel.naoneutral_est","dI.rel.naoneutral_lower","dI.rel.naoneutral_upper","dI.rel.pineutral_est","dI.rel.pineutral_lower","dI.rel.pineutral_upper","rl10.f_est","rl10.f_lower","rl10.f_upper","rl10.pi_est","rl10.pi_lower","rl10.pi_upper","rl10.naoneutral_est","rl10.naoneutral_lower","rl10.naoneutral_upper","rl10.pineutral_est","rl10.pineutral_lower","rl10.pineutral_upper","pr10.pi_est","pr10.pi_lower","pr10.pi_upper","pr10.naoneutral_est","pr10.naoneutral_lower","pr10.naoneutral_upper","pr10.pineutral_est","pr10.pineutral_lower","pr10.pineutral_upper","rp10.pi_est","rp10.pi_lower","rp10.pi_upper","rp10.naoneutral_est","rp10.naoneutral_lower","rp10.naoneutral_upper","rp10.pineutral_est","rp10.pineutral_lower","rp10.pineutral_upper","cor.x.gmst_est","cor.x.gmst_lower","cor.x.gmst_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper","alpha.nao_est","alpha.nao_lower","alpha.nao_upper","cor.x.nao_est","cor.x.nao_lower","cor.x.nao_upper","cor.gmst.nao_est","cor.gmst.nao_lower","cor.gmst.nao_upper","alpha.nao.res_est","alpha.nao.res_lower","alpha.nao.res_upper","cor.x.nao.res_est","cor.x.nao.res_lower","cor.x.nao.res_upper","cor.gmst.nao.res_est","cor.gmst.nao.res_lower","cor.gmst.nao.res_upper"
"chirps_gmst-only",57.2164488552075,47.5020350818727,68.5000683746356,13.9232755928603,8.99860404423732,18.0479596367957,0.973090038153868,-14.2037124613842,16.1635200168568,-0.173319101431386,-0.49586069354228,0.199829210324219,0.2433439311848,0.162229004814649,0.296934124845123,61.1732444763184,61.1732444763184,61.1732444763184,1.90002552542607,1.27853861224273,4.9975174264622,1.07422802330454,0.260803626901025,3.09221528062639,1,1,1,1.07422802330454,0.260803626901025,3.09221528062639,2.14546884257894,-34.162733996011,31.9216442197963,0,0,0,2.14546884257894,-34.162733996011,31.9216442197963,2.235554714034,-31.6763970337384,36.6983556230392,0,0,0,2.235554714034,-31.6763970337384,36.6983556230392,83.1612200298298,65.528010293565,97.8586822531636,81.3427581651436,68.1836758056629,97.8740367852774,83.1612200298298,65.528010293565,97.8586822531636,81.3427581651436,68.1836758056629,97.8740367852774,1.21075640410567,0.138842054763737,Inf,1,1,1,1.21075640410567,0.138842054763737,Inf,12.1075640410567,1.38842054763737,Inf,10,9.99999999999999,10,12.1075640410567,1.38842054763737,Inf,0.0227761960412211,-0.25205184085155,0.287664905895291,385.776959618516,359.48489874812,399.315799677141,46,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chirps_gmst+nao",57.2298235241118,47.6095504197592,69.4371985514741,13.9482244763639,8.85286949720306,18.1198387859337,0.939918762784263,-14.2977037204954,18.361666340034,-0.17620859254001,-0.534838334466866,0.301635987937897,0.243723003452689,0.159072361948283,0.297349299934981,61.1732444763184,61.1732444763184,61.1732444763184,1.90973842797787,1.24147801007979,5.94166068611206,1.07189849459033,0.223531348028294,3.26620584193508,0.993965014636712,0.661238752410459,1.2890490738976,1.06489998555515,0.214289588202868,4.00784496694654,2.06592872607705,-33.2393569572505,42.0618648086731,-0.190323343753633,-6.12440751855566,11.1801018989722,1.87962583853353,-36.1989822163029,47.8515698495649,2.15802141507938,-32.0466363111957,42.353829671595,-0.194229705951445,-6.65389912173574,8.97866819390103,1.95960019047907,-33.5808013978557,50.2490373462742,82.9807393704973,63.9639270788248,106.554357092806,81.2278255011786,68.6312830899038,96.6137789243706,83.1422262721071,65.6688355742106,99.987527972095,81.3859010975663,66.5770582852305,98.601158859283,1.20366270290179,0.136328060642623,Inf,0.983843024253046,0.49307551545947,1.84405316657564,1.1829190420686,0.130492734894751,Inf,12.0366270290179,1.36328060642623,Inf,9.83843024253046,4.9307551545947,18.4405316657564,11.829190420686,1.30492734894751,Inf,0.0227761960412211,-0.25205184085155,0.284574522675534,387.773799313775,359.527100308227,399.899954997583,46,1000,0,0.139519079391436,-6.31369527593564,4.96634565548548,-0.00343534832346975,-0.267738780537828,0.250570895605466,-0.0038415146295063,-0.266391164958541,0.254242812017015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chirps_gmst+naodet",57.2659242185208,47.7953948071126,69.8364214110957,13.9496601384794,8.86262912000138,18.1018020510929,1.03713563029814,-13.2362324208877,17.4629415690857,-0.176101517947862,-0.535970375061946,0.308388321913443,0.243594429476926,0.159072469364645,0.294698793565237,61.1732444763184,61.1732444763184,61.1732444763184,1.90947817755921,1.2393284262309,5.74582900523821,1.07993565426658,0.242030549247527,3.46597277405613,0.992260512056489,0.601766310232571,1.40174186981885,1.07082116331782,0.228442505133426,3.47029534948564,2.27554528941009,-31.3008620789776,35.9706560783169,-0.244520120705999,-8.04141373930487,14.4156879291998,2.03671493884991,-33.3886847270954,43.6432570167879,2.3823480275706,-30.3049051844421,39.9657973224689,-0.249416215219762,-8.49591048691954,11.7682750823084,2.12698985006712,-31.8850004289345,43.7191464179373,82.9764365472803,64.1751208092847,106.742693114387,81.0456471704825,67.0918005606275,98.2390510536975,83.1839107090426,65.9972469635842,100.704286797386,81.2482935892835,68.4732599059881,96.2649246830397,1.22769388184633,0.142886703702042,Inf,0.979308419448388,0.419142689541666,2.2566800753726,1.20042216258778,0.136991477149583,Inf,12.2769388184634,1.42886703702042,Inf,9.79308419448389,4.19142689541666,22.566800753726,12.0042216258778,1.36991477149583,Inf,0.0227761960412211,-0.25205184085155,0.284574522675534,387.773815253641,358.90585466725,399.898122945521,46,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139197246522897,-6.1552535288759,5.17541085563701,-0.00790676803321717,-0.280467961619287,0.274474837445068,-0.203227760623521,-0.450376963265641,0.0715897483330399
"cpc_gmst-only",34.8175178167297,28.5536646810108,41.4210318329566,8.21226820083763,5.57011476672909,10.7287004214342,1.15217099766516,-5.4590934834133,9.45841381374904,-0.150725848856676,-0.35910887337951,0.0813878784851695,0.23586598688812,0.174642603516255,0.279821751199905,34.2963447570801,34.2963447570801,34.2963447570801,1.52592417806544,1.1558962950051,3.14271340285742,1.1152203773969,0.443036097314485,2.11128988138931,1,1,1,1.1152203773969,0.443036097314485,2.11128988138931,2.4106873106361,-13.7533726881556,17.0880071872662,0,0,0,2.4106873106361,-13.7533726881556,17.0880071872662,4.39579546769978,-22.7201208308506,34.3861814914528,0,0,0,4.39579546769978,-22.7201208308506,34.3861814914528,50.4901727483307,41.6072600858423,59.4961310295488,48.3641822183849,42.033067143247,55.9266916765021,50.4901727483307,41.6072600858423,59.4961310295488,48.3641822183849,42.033067143247,55.9266916765021,1.45337216071345,0.236775059526218,299410.93882644,1,1,1,1.45337216071345,0.236775059526218,299410.93882644,14.5337216071345,2.36775059526219,2994109.3882644,10,9.99999999999998,10,14.5337216071345,2.36775059526219,2994109.3882644,0.0443331295395309,-0.192422281430933,0.269619171804461,351.553558753929,325.971624645314,365.153265341818,48,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cpc_gmst+nao",34.4393973331033,29.3640786771801,41.2251372301769,7.36296768325176,5.04110237742102,9.68528665896346,1.43074500172168,-4.45664256799454,10.226250052109,-0.095275119452588,-0.342157447437524,0.137639519545885,0.213794905062826,0.15572982161216,0.249520110960741,34.2963447570801,34.2963447570801,34.2963447570801,1.32803678305016,1.06937917192099,2.08160713734936,1.12607384716267,0.573115025496674,2.14462395783488,1.17790902912258,1.03293254134272,1.48896936518628,1.38424548078015,0.659285233887844,3.11128840960145,3.18826735725517,-11.4015978080937,19.6070335061531,4.18259453355654,1.1535915322516,7.69571479235433,7.15096397125009,-6.88290738912584,24.006285415324,5.54919896681022,-17.9860918511362,38.6313665701949,7.40803744875141,2.08388634408026,13.8775641715432,13.3683231531287,-11.6648915834721,50.900205492419,53.0090156604939,44.4600788033085,62.9782458791268,50.2220918579993,42.6595319525869,58.102865978899,49.3529319775409,41.1076161758805,57.7135189353471,46.7582250368947,39.9318612410694,53.5944968998694,1.57114969432658,0.28651169716259,Inf,1.83979535786073,1.18906471566223,4.86616682784129,3.11923737559635,0.451936188500627,Inf,15.7114969432658,2.86511697162591,Inf,18.3979535786073,11.8906471566223,48.6616682784129,31.1923737559636,4.51936188500626,Inf,0.0443331295395309,-0.182790092403697,0.269619171804461,346.952807432529,320.115734359877,360.673996576344,48,1000,0,-3.08618064671169,-5.62284924322384,-0.825025169664886,-0.336317481603354,-0.544434953112189,-0.102124829501025,0.0635132854802283,-0.193810128813091,0.309338859122649,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cpc_gmst+naodet",33.7408615463733,28.5360052262833,40.4282669937888,7.21390478724802,4.94071447082883,9.47700013829677,-0.587493453574616,-6.27397186932923,7.41320530575207,-0.0952930414429043,-0.342160448683502,0.137724928981502,0.213803218312409,0.155711991388032,0.24961751773988,34.2963447570801,34.2963447570801,34.2963447570801,1.32773977812106,1.06947373875185,2.08177079126049,0.959669620881385,0.523100240016274,1.55178662586109,1.24753858147822,1.04379916972671,1.74138209617944,1.17146584027157,0.589547998657075,2.28417462410477,-1.38850518916816,-17.8140570969347,14.4199811150558,5.33504094294682,1.48142875890759,9.73837247666226,4.06867422569209,-10.2943713830681,20.7380710546201,-2.23812454435387,-24.7414510872756,26.8842205536003,9.6447948488561,2.69248516735562,18.2239121108129,7.19080778373743,-16.7637388662703,41.0081789912271,53.015657704935,44.460466801796,62.9782332006092,54.2293787407831,45.4881485534261,64.3242257458863,48.3521883350837,40.2803761725764,56.6723985039703,49.4591456124639,42.1609628967994,57.1552253180024,0.840454654513452,0.191406329465887,280.369485092862,2.23420901474666,1.25164114246837,9.44969731033344,1.80588166110107,0.315893380031831,Inf,8.40454654513452,1.91406329465888,2803.69485092862,22.3420901474666,12.5164114246837,94.4969731033346,18.0588166110107,3.15893380031832,Inf,0.0443331295395309,-0.182790092403697,0.269619171804461,346.952805764691,320.115734336975,360.673996590374,48,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.02391285358154,-5.42778754959535,-0.820261860124469,-0.342686759184697,-0.546061052858057,-0.102429268662064,-0.137737653091625,-0.391266995846859,0.123964635263559
"eobs_gmst-only",40.958661118645,35.0465775602373,47.3701688327727,9.12831658356551,6.942746280246,11.0256479001927,9.5493187299304,3.20021372524967,17.443164695458,-0.123295641275271,-0.295835368822318,-0.00452871782998353,0.222866576549548,0.181418795951611,0.254150186424093,45.429126739502,45.429126739502,45.429126739502,2.20720852635463,1.42866036707949,4.78461260596636,6.56289399701341,2.23974961518379,39.6450680913514,1,1,1,6.56289399701341,2.23974961518379,39.6450680913514,17.9581589645547,6.34966123758205,29.8437554939554,0,0,0,17.9581589645547,6.34966123758205,29.8437554939554,35.4034793283036,12.4080665055266,61.6292169230579,0,0,0,35.4034793283036,12.4080665055266,61.6292169230579,58.8971771970925,50.0287499026583,68.0104774108283,43.4975360229027,39.5266134958566,46.669903228387,58.8971771970925,50.0287499026583,68.0104774108283,43.4975360229027,39.5266134958566,46.669903228387,41.1959661628312,2.75197636607128,Inf,1,1,1,41.1959661628312,2.75197636607128,Inf,411.959661628313,27.5197636607128,Inf,10,9.99999999999999,10,411.959661628313,27.5197636607128,Inf,0.370524770187878,0.172855636710788,0.543694230339961,548.027992741801,514.719768155132,567.427647619834,77,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eobs_gmst+nao",41.2301045050545,35.4585950789406,48.1927421943739,9.04644611354846,6.74717306129412,11.0522635675307,10.5038965452109,4.24515776048964,19.6891589924053,-0.112785640587322,-0.307660878367518,0.0220311554525651,0.219413611053046,0.17771910956385,0.24775079543691,45.429126739502,45.429126739502,45.429126739502,1.9645269342823,1.29389896919791,4.05253080293663,7.12260936197147,2.70928352832198,46.8530461321223,1.10064173408522,0.958388598776879,1.35169725685772,9.0389664283024,3.30851049152266,70.7137968203951,20.0337443010619,8.54119638737143,33.125345531067,1.84031507938231,-0.726071722799992,4.49638604195278,21.3552148463067,9.72738254168209,35.076163142087,39.2626635534563,16.4238229052974,70.5098169964851,2.65870970558035,-1.0418082984192,6.67164419730599,42.9652535056018,18.6861617391673,76.0497014575509,60.7840255677115,51.7517503576308,70.6769602194081,43.6470364825238,39.5030459350262,46.8956844105264,59.2098086387768,50.2091168792903,68.5829649186285,42.5166423849483,38.7236865427571,45.6616682123235,60.0780049301433,3.59712925398202,Inf,1.24189844325544,0.9049791922041,1.90812703696256,100.334642660156,5.21541770887371,Inf,600.780049301433,35.9712925398201,Inf,12.4189844325544,9.049791922041,19.0812703696256,1003.34642660156,52.154177088737,Inf,0.370524770187878,0.172855636710788,0.543694230339961,548.529782913547,515.111866978286,568.086472182101,77,1000,0,-1.35658944275313,-3.23976447298991,0.5685956481561,-0.0130370377654614,-0.24644804230151,0.19044105368711,0.24817008228835,0.0614192708547841,0.413677657050527,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eobs_gmst+naodet",40.9192392805265,35.0607826033971,47.7765791020714,8.9781102900652,6.67259509277816,10.9893048863388,9.53591626708097,3.13208757530726,18.3854164520696,-0.112723951781575,-0.307656487333104,0.0222193958551441,0.219410488756028,0.177716860419557,0.247753537818404,45.429126739502,45.429126739502,45.429126739502,1.96435319369908,1.29241823801657,4.055640406803,5.59940984284222,1.93628855695807,34.8314789910256,1.13348072724296,0.946628346302565,1.49252631553682,7.48225202392332,2.8748132440825,48.7160842434091,18.5736297074169,6.55414397245187,31.7344532852865,2.36411608020592,-0.946693699528998,5.73724988980295,20.3198421572778,8.81352195233908,33.5398342314537,35.3853639283243,11.817786476648,64.919731330495,3.4412622897718,-1.36329986944305,8.67927306634685,40.0443294030601,17.3355125672706,71.4166404511474,60.7865472053669,51.7516494500405,70.6779821046532,44.8989059390116,39.9615167574566,49.0238358142867,58.7643130601834,49.6122102726349,68.2207879178848,43.4052185222136,39.3830088545682,46.5820365808733,36.1570941668509,2.57447923080337,Inf,1.32561452512667,0.879574328620164,2.34020346612564,66.70012191239,3.97077299265612,Inf,361.570941668509,25.7447923080337,Inf,13.2561452512667,8.79574328620161,23.4020346612564,667.001219123901,39.7077299265629,Inf,0.370524770187878,0.172855636710788,0.543694230339961,548.52978101429,515.111848260165,568.086355877042,77,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34755105403824,-3.18078086461346,0.576546481134528,-0.108380731729566,-0.31564280584768,0.0886919251299539,3.29843949370606e-17,-0.207862787814827,0.1966340762756
"eobs-1920_gmst-only",42.4787307223745,36.9768949803179,48.7045497507308,9.58099524033598,7.76340270667312,11.3253575719933,11.7577518444092,5.67320949994062,19.1653288004278,-0.127313711754636,-0.269298015713855,-0.013939034375796,0.225548058461395,0.19252972007005,0.252050273713876,45.429126739502,45.429126739502,45.429126739502,1.92941710629558,1.34554078532742,3.48082594968717,8.86005821238653,3.88363761999572,23.950499082544,1,1,1,8.86005821238653,3.88363761999572,23.950499082544,21.5692992092737,11.1490648209314,32.9770933788735,0,0,0,21.5692992092737,11.1490648209314,32.9770933788735,43.3084275480801,22.0903439895192,68.1123468219067,0,0,0,43.3084275480801,22.0903439895192,68.1123468219067,61.2258751668393,53.1962820003246,70.2629192109902,42.723150490433,40.1873029465433,45.0497672503801,61.2258751668393,53.1962820003246,70.2629192109902,42.723150490433,40.1873029465433,45.0497672503801,137.506263504304,7.98063875151063,Inf,1,1,1,137.506263504304,7.98063875151063,Inf,1375.06263504304,79.8063875151063,Inf,10,9.99999999999999,10,1375.06263504304,79.8063875151063,Inf,0.427217214150814,0.247694136685866,0.569456741621705,753.121660122801,720.3011838306,776.140195829955,107,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
