"","X","eval_disp_est","eval_disp_lower","eval_disp_upper","eval_shape_est","eval_shape_lower","eval_shape_upper","rp_value","attr_PR.pi_est","attr_PR.pi_lower","attr_PR.pi_upper","attr_dI.abs.pi_est","attr_dI.abs.pi_lower","attr_dI.abs.pi_upper","attr_dI.rel.pi_est","attr_dI.rel.pi_lower","attr_dI.rel.pi_upper","attr_PR.naoneutral_est","attr_PR.naoneutral_lower","attr_PR.naoneutral_upper","attr_dI.abs.naoneutral_est","attr_dI.abs.naoneutral_lower","attr_dI.abs.naoneutral_upper","attr_dI.rel.naoneutral_est","attr_dI.rel.naoneutral_lower","attr_dI.rel.naoneutral_upper","attr_PR.pineutral_est","attr_PR.pineutral_lower","attr_PR.pineutral_upper","attr_dI.abs.pineutral_est","attr_dI.abs.pineutral_lower","attr_dI.abs.pineutral_upper","attr_dI.rel.pineutral_est","attr_dI.rel.pineutral_lower","attr_dI.rel.pineutral_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.abs_est","proj_dI.abs_lower","proj_dI.abs_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper","aic_eval","aic_attr","aic_proj","attr_nobs","attr_nsamp","attr_nfailed","proj_nobs","proj_nsamp","proj_nfailed"
"CanESM2_r1i1p1_CCLM4-8-17",x ~ gmst + nao (rp5),0.213791826912534,0.156222971632635,0.266130322666587,-0.0615598148235856,-0.510007780601665,0.253547880155677,48.8825603914989,0.663610733490009,0.394602428051958,1.2967713057332,-3.54426416088738,-8.8013294345971,2.35140617783508,-6.76040212457624,-16.5561922734638,4.5957176002353,1.30220050352865,0.987365002102089,1.78270261737423,1.81311136955493,-0.0804670564483294,4.89460010419009,3.85199191243911,-0.175089922917155,10.1265539229633,0.818299035840301,0.412449737512373,2.10178279393606,-1.59969188594322,-7.31223305014773,6.23548766659428,-3.16882035522419,-14.2545400902423,12.9203482789441,1.02982970330469,0.715602022204871,1.32985208882596,0.239912284396055,-2.11100157392803,2.76711004065431,0.455598213919207,-4.19923573389415,5.01776048250884,355.772639025135,578.706277964736,899.848754709403,77,1000,0,121,1000,0
"CanESM2_r1i1p1_REMO2015",x ~ gmst + nao (rp5),0.216808036012747,0.15709773866403,0.256953718570097,-0.153647506389212,-0.668363942583671,0.131121604945737,67.1150228653854,0.78502259406975,0.418819988846083,1.75307772794679,-2.89714025477788,-11.2686289974261,5.95240314394321,-4.1380527692102,-16.3251299703067,8.38160085737137,1.37784661658622,1.07704514827404,1.81655627690894,3.27087265575577,0.691071363408234,6.04167265386004,5.12321433524605,1.14097845575216,9.38025655100438,1.04804942272501,0.487796766179589,2.8607121307317,0.514925481672336,-8.73046194812757,9.81570862988658,0.773160253363623,-13.0400361810447,14.5310848461615,1.12939960048303,0.859540730726899,1.44091577167395,1.53791210136237,-1.65763214055715,4.80067306096453,2.10632044588015,-2.51710033507246,6.20678069559189,382.518447155953,620.006163057792,977.469422463698,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_ALADIN53",x ~ gmst + nao (rp5),0.191757233465615,0.131758687679565,0.230624723462084,-0.141844934194502,-0.551038424346925,0.0764237509793846,59.6639119010624,1.07764402686918,0.35411094297757,5.03710525785302,0.651774805840589,-11.2735122970172,11.6891646157222,1.10447585517685,-17.6766836405076,21.7817739352375,1.35017058752565,1.00320180481567,1.99035486171284,2.45766835448207,0.0352282633604488,4.48151826521973,4.29615405961921,0.0579082032873475,8.21745250177808,1.46965558055488,0.411626667362447,7.39043740122621,3.08259533450091,-8.69409132783294,13.649935925606,5.44807989908574,-14.0741078697077,26.5669080392021,1.44606708354663,0.997192945581838,1.97695346813969,4.06659408790873,-0.0272446412716757,8.14187730514411,6.09370094844995,-0.0448215409631966,11.4163555028052,360.607520503081,587.810915004958,928.281979464228,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_ALADIN63",x ~ gmst + nao (rp5),0.160715569907596,0.117512780116585,0.193527959379495,-0.217042766804297,-0.55210494318756,0.0152637449494169,66.8202048947778,1.30780546454693,0.444509904194539,10.0377384407837,1.9348865380545,-7.20321106631543,12.4304764205431,2.9820097782629,-10.3407785572262,20.3657935611552,1.41166976936863,1.01481318348564,2.27816224795421,2.43801625351189,0.10233098306025,4.97944217505333,3.78678685046944,0.153467602577676,7.5941076761408,1.92537736802455,0.551014121835231,20.6310170482243,4.30230610848368,-4.65048105818748,14.9523025397265,6.88171898289531,-7.08118335451023,26.1902433705706,1.55033185478715,1.12191691077584,2.07623794845932,4.09151538634974,0.939552277280589,7.49386080716143,5.72111168781414,1.33490253242756,9.96339590650602,355.293168504822,563.457856919975,890.018820774701,76,1000,0,120,1000,0
"CNRM-CM5_r1i1p1_ALARO-0",x ~ gmst + nao (rp5),0.16330189212638,0.115426969937751,0.188651655018681,-0.0513813044049873,-0.58384001675022,0.244986045801353,63.2993824708897,1.28200134635596,0.437629446349301,6.23273335969847,1.98331969288503,-7.50190361569668,10.8937332059417,3.23458422316785,-11.5938144471879,19.5894781191293,1.26122739738445,0.962842206451826,1.94935873629514,1.86004467679641,-0.332654958173001,3.7933689360615,3.02744909626163,-0.530916146271187,6.40998941919888,1.65178808860558,0.533233335915873,9.39059225346888,3.78508476104808,-5.51630235441493,12.4385343443997,6.35995871026159,-8.6371108739287,22.2648709115652,1.55290190003833,1.11268348160174,2.19170623844421,4.38304204696846,0.933226880205916,8.22618986996423,6.26725448413351,1.40844907171449,11.1113933902222,356.782006967721,572.491601373943,902.272159367817,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_CCLM4-8-17",x ~ gmst + nao (rp5),0.182407962129638,0.125187753222243,0.214943157068185,-0.137986134267446,-0.527729907883197,0.156851807334631,57.3531349309033,1.26691666640731,0.395431268757352,8.07592607657373,1.78161492715549,-8.73566420057034,12.0681464113501,3.20598559664256,-13.9538218175905,24.0809876168599,1.18914928647133,0.897411952284067,1.8093184189984,1.32705202087729,-0.8317390966608,3.45549453634728,2.36863252247787,-1.48455848340297,6.24597044505458,1.53395669233159,0.440428728694204,11.8380098650612,3.06744347014696,-7.37294247313507,13.3317424906411,5.65055613662845,-12.2048804176238,27.1449049495036,1.57098621186186,1.12550251266536,2.13390724941831,4.76220689114983,1.10215866006656,8.49394128216467,7.41414375752698,1.8614071581213,12.3394385898457,353.604670283001,573.558203687598,921.640462521975,77,1000,0,121,1000,0
"CNRM-CM5_r1i1p1_COSMO-crCLIM-v1-1",x ~ gmst + nao (rp5),0.239965621976938,0.171132241379746,0.295062423459582,-0.377067933607802,-0.729556246512809,-0.167674858032564,64.9806792460985,1.45991021070344,0.475519629080834,51.8364947757585,2.86837795848839,-7.69081545546798,13.7068695585008,4.61805133447947,-11.51354688227,23.8336116511556,1.07560715860106,0.767739982044646,1.57240643544234,0.613089126536622,-2.12211641040002,3.32219379058723,0.952481093975737,-3.25696259058332,5.20436239576724,1.59820638441025,0.48629469173617,90.92356132716,3.45440409711,-7.28214546176878,14.5350526980766,5.61451849432622,-11.0168771354726,25.3753544662044,1.70914489539893,1.24728472207602,2.20795950842521,6.31145754431294,2.18719560887914,10.2690980222671,8.58692715072702,3.27301612301692,13.2726468693198,380.330583527393,598.919558032462,955.807129155418,76,1000,0,120,1000,0
"CNRM-CM5_r1i1p1_HadREM3-GA7-05",x ~ gmst + nao (rp5),0.209758985366494,0.147579680928791,0.256212213985153,-0.367975063528859,-0.737332521626098,-0.122568673935164,76.4753124585719,1.36173564094507,0.48042531420779,31.4238254886764,2.68676311798174,-8.46539725453689,15.3634266272297,3.6411653867598,-10.6347129979125,23.2013792255451,1.28554847577895,0.907122232264907,1.99628425929484,2.2259633075429,-0.873300298275449,5.27615021161592,2.99795665954609,-1.13569848009344,7.12346759425461,1.83507168606288,0.527507525454541,122.795651475266,4.83452293835451,-6.6458853959732,17.8622809140371,6.74828260650336,-8.55707660062967,27.8332155842682,1.63407964236699,1.17332581251799,2.20849700609718,6.0257375947275,1.69428989613412,10.4101681140635,7.17909336644833,2.18831370284387,11.8165386074586,383.046751902227,602.567847810116,959.251794910925,75,1000,0,119,1000,0
"CNRM-CM5_r1i1p1_HIRHAM5",x ~ gmst + nao (rp5),0.216796110001226,0.156440466533153,0.257992211701686,-0.240112059000442,-0.58015015358226,-0.02992567815057,75.1829634602769,1.1596841267392,0.430528051644097,6.85867032377684,1.47981050191359,-10.86705638916,13.603103418499,2.00779809616771,-13.8033303206908,19.6622588279198,1.26455097582562,0.911323281543141,1.84624159605706,2.2842924859788,-0.877207345596272,5.48618940210981,3.13351732678936,-1.18567668018972,7.62932382979614,1.49295421979675,0.500270888739834,9.9476572491702,3.719141737968,-8.33282336365615,15.6828237964732,5.20423012418743,-10.8471966757349,23.8401275160417,1.57870291705903,1.07787615917704,2.10618012929268,5.98512023501642,0.807617986031696,10.6063487959625,7.14539206038756,1.04342155035562,11.9942436728561,390.629911353426,614.196954783466,975.517031608678,76,1000,0,120,1000,0
"CNRM-CM5_r1i1p1_RACMO22E",x ~ gmst + nao (rp5),0.228336446123227,0.173280966105004,0.26729527078388,-0.318492495619506,-0.662457551281108,-0.119527181295096,62.8531243592032,0.956048476385578,0.379186243068802,10.0613970563331,-0.3851844442231,-11.3219255071185,11.0033443277527,-0.609099850251261,-16.5290842102186,19.1458668084457,1.1811584191675,0.859212953515732,1.68771604036866,1.32418973647468,-1.28550706520815,3.73824334713523,2.15214149992048,-2.09595713106185,6.48765732980607,1.12422923985343,0.389036727404143,18.1931807330699,0.947120358811773,-11.3469672111771,12.3507352468021,1.52993295901603,-16.8817681361344,21.4460810409583,1.49473080147368,1.04807115101178,2.04962071905195,4.54900598793535,0.475465789203707,9.29628032976594,6.49285472274554,0.699522630728162,12.1313077260623,376.674910672968,603.275206339245,957.299183083096,77,1000,0,121,1000,0
