"","X","eval_disp_est","eval_disp_lower","eval_disp_upper","eval_shape_est","eval_shape_lower","eval_shape_upper","rp_value","attr_PR.pi_est","attr_PR.pi_lower","attr_PR.pi_upper","attr_dI.abs.pi_est","attr_dI.abs.pi_lower","attr_dI.abs.pi_upper","attr_dI.rel.pi_est","attr_dI.rel.pi_lower","attr_dI.rel.pi_upper","attr_PR.naoneutral_est","attr_PR.naoneutral_lower","attr_PR.naoneutral_upper","attr_dI.abs.naoneutral_est","attr_dI.abs.naoneutral_lower","attr_dI.abs.naoneutral_upper","attr_dI.rel.naoneutral_est","attr_dI.rel.naoneutral_lower","attr_dI.rel.naoneutral_upper","attr_PR.pineutral_est","attr_PR.pineutral_lower","attr_PR.pineutral_upper","attr_dI.abs.pineutral_est","attr_dI.abs.pineutral_lower","attr_dI.abs.pineutral_upper","attr_dI.rel.pineutral_est","attr_dI.rel.pineutral_lower","attr_dI.rel.pineutral_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_dI.abs_est","proj_dI.abs_lower","proj_dI.abs_upper","proj_dI.rel_est","proj_dI.rel_lower","proj_dI.rel_upper","aic_eval","aic_attr","aic_proj","attr_nobs","attr_nsamp","attr_nfailed","proj_nobs","proj_nsamp","proj_nfailed","naocorr_est","naocorr_lower","naocorr_upper"
"CMCC-CM2-HR4",x ~ gmst + nao (rp10),0.294090416853373,0.204673141785547,0.358858881805576,-0.152876872261309,-0.476378655879131,0.144041838414675,26.9526340118334,0.927800520694074,0.427883342078549,5.51445480571428,-0.322513126201798,-3.89870838679418,6.08203962686037,-1.18244321311856,-13.7528962672479,23.8714484411975,2.52671308515484,1.52845755935485,6.74120167016742,3.23521163337138,1.48780859107975,5.08925853461446,13.6406544596065,6.4858474155914,20.9440492748842,2.29467005624611,0.737857166978656,33.1037856890569,2.95141079841893,-1.10751224457481,9.30545966606051,12.2969182536054,-4.55428908620874,40.6478292593626,0.954232602379996,0.417994296375329,1.82262167307709,-0.229615645075235,-3.06775434372524,3.56847801551231,-0.854520946789394,-13.8025261827228,11.3072985020352,294.557484259851,478.547750710892,634.662240151742,78,1000,0,102,1000,0,-0.293892195293487,-0.460818695149003,-0.111430524047879
"CMCC-CM2-VHR4",x ~ gmst + nao (rp10),0.228343485660866,0.17512504145446,0.264022379326274,0.0581003895786234,-0.193318838258996,0.266832715151707,30.1161417677782,0.763575006647724,0.373371870205246,5.66950061771564,-1.24445643025765,-4.52422558899145,5.2054837037331,-3.9682164938282,-13.8943042619764,17.5440796374346,2.35760148190452,1.59106484571646,4.41914612245037,3.14649819825521,1.5125660483001,5.11267278518824,11.6668141725495,5.55467788808474,18.9597144737735,1.68349188942661,0.730534524307632,30.3598097472423,2.03206107610834,-1.23310050422519,8.54466639048136,7.23563323442192,-4.299130112689,31.8505860043906,0.581638538466024,0.277409541350792,1.4263181613585,-2.30508074303396,-4.48409482590553,1.56561815662187,-8.31940075478918,-18.4943208183736,4.5140159120821,299.828386996542,476.121570810628,631.054827635441,76,1000,0,100,1000,0,-0.386727348040219,-0.516865960444989,-0.236590736286976
"CNRM-CM6-1",x ~ gmst + nao (rp10),0.178683014432549,0.13487054147285,0.211218460579814,-0.359383305288678,-0.807376805972015,-0.167105705137682,35.7640218378856,2.35023984680744,0.465454910933459,Inf,2.63137405694876,-2.63270369339246,7.83536604497821,7.94193713205967,-7.58165417064924,25.5011670601738,1.60890137300551,1.09406821236265,3.62144169222198,1.57561980286007,0.268905712578937,2.9260238426848,4.60863833660865,0.81908307442541,8.43916450004057,4.40503537454811,0.631508336822762,Inf,4.09106604017898,-1.4798296819582,9.67330190475843,12.9165906280058,-4.42801017252779,32.88036041776,1.22428744095606,0.464354487879605,3.59835045207661,0.754818605839077,-2.13434746680501,4.79363411655054,2.1060360993718,-6.71400303222295,12.0951639858388,286.703040030069,471.232974779053,628.178443831022,76,1000,0,100,1000,0,-0.35769672284829,-0.521995676082454,-0.174978467763569
"CNRM-CM6-1-HR",x ~ gmst + nao (rp10),0.156075966556054,0.114317544640775,0.188450480996199,-0.239259281823379,-0.665872517034505,-0.0143429935428261,33.4247489475275,0.49329100509932,0.249559110144044,2.09529399805136,-2.23287663543402,-4.70855795765962,1.98864636963499,-6.26198912274453,-12.9666399682308,5.86720489428502,1.45793704705793,0.963334595301929,2.55062428060912,0.92935549569664,-0.0902034627457339,2.04286025157609,2.85996074204874,-0.276448608514803,6.2870164714253,0.655142175328464,0.290439315492152,3.92147196549374,-1.24143731748907,-4.03476910329339,3.24006793214586,-3.58111881127767,-11.2424803889708,9.90536776768278,1.09722517991589,0.460524430281336,2.2517322916562,0.304795872306968,-2.2018550905567,3.02532966125793,0.83510813292717,-6.84261379094563,7.5116226052746,283.914831690306,445.979773427395,597.522295821256,76,1000,0,100,1000,0,-0.308455323130563,-0.464159314700442,-0.124758736019325
"EC-Earth3P",x ~ gmst + nao (rp10),0.249187292532797,0.1697302397372,0.302004529953355,-0.0807442485661116,-0.309861358719273,0.187614032578936,28.4185661694718,1.25288069811226,0.447085236006406,5.72709796963917,0.928885631116948,-3.47782789289788,6.18500650299033,3.37903392446095,-12.0149510285612,23.853398537356,1.39939294293861,1.09236484190889,2.14935025762845,1.35754000452677,0.317502894704228,2.69523190938904,5.01658730992742,1.25673948038727,9.51558243094981,1.78315737930051,0.588050071000454,12.1726493564467,2.24205325611015,-2.17471064886842,7.92988155101929,8.565133421441,-7.97776101603661,32.2088915519781,0.815387916815826,0.34290120906675,1.92704308765096,-0.793253053544191,-3.62186351308837,2.88625313090292,-2.96396274744235,-15.9319323737206,8.89182869639103,301.659155990748,456.556853513795,600.056608375467,76,1000,0,99,1000,0,-0.285091698937496,-0.479896592555883,-0.0913618904676611
"EC-Earth3P-HR",x ~ gmst + nao (rp10),0.287407308088335,0.183042789680073,0.343090236326732,-0.0840766316607126,-0.272907838482478,0.272967193958032,35.0183567672506,1.57995072494334,0.533925931204754,9.46012020373563,2.13083447391852,-3.0765670910369,8.4007924372297,6.47915782439636,-9.04208515087539,26.4123636673538,1.78274365222525,1.21749799229957,3.19638360323886,2.63090769328208,0.827737094161636,4.75863116982387,8.12323220415863,2.77754751721561,13.9350668262281,3.04586118779177,0.808727086340617,37.443737627543,4.6016538784267,-0.930438525438505,11.3773934236433,15.1287070635046,-3.0798809716225,39.5216361713172,1.21146495569263,0.45493701981963,2.59635861792609,1.01534102491977,-3.31197691028235,6.37702902213635,2.89089249862532,-11.4314132770594,14.8761175184631,326.004115678966,492.581127430311,644.872207883329,76,1000,0,99,1000,0,-0.315060351383993,-0.461777514146139,-0.119616945251791
"HadGEM3-GC31-HM",x ~ gmst + nao (rp10),0.319589417017467,0.254432507593758,0.36714174403337,-0.0891974752002119,-0.477478428677404,0.151679664235399,38.5789985924362,0.924486838938097,0.496309061611302,5.02033928122008,-0.512310737279812,-4.96097764529179,6.89198152096633,-1.3105489329066,-12.1537949697024,19.4084251723841,2.53886657107003,1.66669364552346,10.7401298068439,4.92096298145257,2.80557055204832,7.54011071615515,14.6204699475887,8.57135050870929,22.6438973798982,2.29665324243381,0.899751095710348,168.821895642559,4.47400029013394,-0.716898471143996,12.066285232038,13.1183126017981,-1.96320580917869,39.0139095125326,0.824933415663588,0.415268839971414,1.72930776997461,-1.17723722088425,-4.53840602367746,3.72940964129921,-3.23057290807343,-14.1688812591432,8.83822360119441,341.876710225234,523.845608405178,691.65286299009,76,1000,0,100,1000,0,-0.375400996466546,-0.535631909009961,-0.201501929943409
"HadGEM3-GC31-LM",x ~ gmst + nao (rp10),0.277286010757173,0.198969344388887,0.332203542012976,0.0390907944806097,-0.627247023955507,0.43458634443626,38.1398376227176,0.92580923033708,0.436595507714653,12.4232751605621,-0.513457012993371,-4.91166668348351,10.4736382808067,-1.32836545456852,-12.5581306529965,30.3964007878676,1.98469366971508,1.30063084800746,4.65917371807533,3.88871228107369,1.53317322766304,6.33045371366888,11.3535314308217,4.08979391271536,17.8578210761246,1.81053975411544,0.742106487216898,48.9390470752878,3.42760700098442,-1.58804009354473,13.7099411777669,9.87434958685257,-4.52288909378014,43.1760118887904,0.721726281334222,0.22537282988425,1.52791089224204,-1.84699608739929,-4.63068584813801,3.12105611918856,-5.26482380406413,-15.4353410858568,7.38246359897648,331.743195651178,527.797471968454,683.836956910884,76,1000,0,100,1000,0,-0.397852305714151,-0.560676239333138,-0.207031260434922
"HadGEM3-GC31-MM",x ~ gmst + nao (rp10),0.242292836368305,0.168630100328745,0.281217599160236,0.00184311536334232,-0.360190109132265,0.329497771391046,35.1273621857549,1.20760401572601,0.343410194580756,10.6998021487717,0.883786245374232,-4.26504001332094,8.37341610329795,2.58088187668524,-12.1435459010756,26.1940852469951,1.88135864425082,1.29629151323596,5.93000465785462,2.69673960311599,1.09598152187897,4.54692250797233,8.31541114033263,3.45806193915256,13.6031514655607,2.364434570558,0.552795013295415,44.6615870896786,3.51267727631486,-2.08918175770091,11.2961164403505,11.1109039561106,-6.49475144336,38.1290718829229,2.10006334307893,0.848413613343679,3.79233512773208,4.34796536297583,-0.650067842912979,9.27179537658508,10.527922061827,-1.9579860981829,19.453100618076,315.059437825482,501.12366484187,667.076394404504,76,1000,0,100,1000,0,-0.314741786739838,-0.469466075965477,-0.131430277722929
"MPI-ESM1-2-HR",x ~ gmst + nao (rp10),0.280774372493696,0.202025154201909,0.332361713726364,0.186856116949654,-0.0508337560191597,0.471456321352834,35.7444520600663,1.35430992627774,0.581479953103889,4.4010438766732,2.18724870094772,-3.66398027093694,9.88988315686498,6.5179707544174,-10.2175604295246,32.5063249622507,2.08268232203038,1.44687595333245,4.52615832549801,4.92602668374767,2.5911176837208,7.48087394063987,15.9840310580336,8.47673997939986,23.3010898518278,2.90872700447545,1.1741350555274,15.1087961357616,6.8118455167328,0.919007960152531,14.037003365258,23.5438362821906,3.05671257931083,52.4441155061224,1.61068527210773,0.909305808197674,2.99125419640245,3.77259113256666,-0.628887224290927,10.2054858696874,9.48734109881024,-1.76709025417386,21.1380329147364,321.298591191045,491.653655466925,650.71396251953,76,1000,0,100,1000,0,-0.415727719070621,-0.593174605733521,-0.224914291117738
