"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha.gmst_est","alpha.gmst_lower","alpha.gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event.magnitude_est","event.magnitude_lower","event.magnitude_upper","return.period_est","return.period_lower","return.period_upper","PR.pi_est","PR.pi_lower","PR.pi_upper","dI.abs.pi_est","dI.abs.pi_lower","dI.abs.pi_upper","dI.rel.pi_est","dI.rel.pi_lower","dI.rel.pi_upper","PR.naoneutral_est","PR.naoneutral_lower","PR.naoneutral_upper","dI.abs.naoneutral_est","dI.abs.naoneutral_lower","dI.abs.naoneutral_upper","dI.rel.naoneutral_est","dI.rel.naoneutral_lower","dI.rel.naoneutral_upper","PR.pineutral_est","PR.pineutral_lower","PR.pineutral_upper","dI.abs.pineutral_est","dI.abs.pineutral_lower","dI.abs.pineutral_upper","dI.rel.pineutral_est","dI.rel.pineutral_lower","dI.rel.pineutral_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper","alpha.nao_est","alpha.nao_lower","alpha.nao_upper"
"ERA5 - GMST only",23.4954810194531,20.0565166940829,27.6363897796019,5.56244438379658,4.04118019783892,7.1529926952007,2.93892454326386,-0.691552902677497,7.55980520514508,-0.18004893707589,-0.345900289673436,-0.0153082530445121,0.236745286431512,0.190611853642989,0.274285813962679,38.4522895106229,38.4522895106229,38.4522895106229,40,8.13299509721914,17571.0474362814,21.573697211598,0.402117563809451,Inf,5.77082229702113,-1.65086113999615,11.6608081284021,17.657782189838,-4.11651923956259,43.5245310316312,1,1,1,0,0,0,0,0,0,21.573697211598,0.402117563809451,Inf,5.77082229702113,-1.65086113999615,11.6608081284021,17.657782189838,-4.11651923956259,43.5245310316312,482.330409496953,453.545572361581,500.05042996609,77,1000,0,NA,NA,NA
"ERA5 - GMST + NAO",23.6512636992719,20.3334097007117,27.3190302136861,5.33933521013526,3.87569734454603,6.67592993168675,3.76757911667074,-0.0404624203518646,8.20095944113542,-0.164593577938393,-0.368563583385955,0.0418088084237693,0.225752639606299,0.178520123302328,0.258659656275774,40.4354443662695,40.4354443662695,40.4354443662695,40,9.01791020204328,Inf,65.4277604366678,0.983467864216179,Inf,7.56347073924075,-0.01912393144472,13.1176822819748,23.0088732275622,-0.0472715614888931,48.0190243607166,2.10338035599948,1.15473056504486,29.874083284025,2.0575213732503,0.337305988241705,3.54613682082823,5.36121085454403,0.841225926449428,9.61291530766674,501.90398117047,1.68634941065763,Inf,9.23613167764634,1.05656912731363,14.7861022401687,29.6036382910906,2.6831894905111,57.6481471198088,478.278328265182,448.193485406753,494.708081459866,77,1000,0,-1.54881999182501,-2.7725478822215,-0.185820332859394
"EObs - GMST only (1920-2026)",25.7882263028076,22.8964329636197,28.4288336117555,5.75949755011784,4.0485418211735,6.87717624782817,6.41092049975766,3.31135987158194,9.52738481614945,-0.0119652692051071,-0.138175662738928,0.225058269776303,0.223338258416431,0.167610589152086,0.261878074781555,46.5026380922887,46.5026380922887,46.5026380922887,40.0000000000001,15.0326924432708,214.190661005842,26.3204351964713,3.11073139235845,188806.007217504,12.8419481658342,8.00025956477705,16.4647684646322,38.1511733535249,20.7786448021795,54.8133817755397,1,1,1,0,0,0,0,0,0,26.3204351964713,3.11073139235845,188806.007217504,12.8419481658342,8.00025956477705,16.4647684646322,38.1511733535249,20.7786448021795,54.8133817755397,663.417247785585,615.780965648497,694.266696277024,107,1000,0,NA,NA,NA
"EObs - GMST only (1950-2026)",26.2348489538593,22.3614952677242,29.2006240493523,5.99481768604121,3.80455653529085,7.33008434362709,7.13143544430119,2.85837598212654,11.3338385327827,0.00115917494414864,-0.150986183864384,0.321242570902637,0.228505896740043,0.157395837612486,0.276343301184642,48.3203052452209,48.3203052452209,48.3203052452209,39.9999999999971,16.3686223919124,297.43469992831,29.4627634978454,2.16324765563857,Inf,14.3844526068601,7.31559340075312,19.1434194602718,42.3871849048519,17.8408605813183,65.6116209848642,1,1,1,0,0,0,0,0,0,29.4627634978454,2.16324765563857,Inf,14.3844526068601,7.31559340075312,19.1434194602718,42.3871849048519,17.8408605813183,65.6116209848642,488.708273392223,445.201246480857,515.988431687258,77,1000,0,NA,NA,NA
"EObs - GMST + NAO",26.5826332322217,22.9818646216169,29.9201242993834,5.92333831444746,3.75851527684028,7.16408832273051,8.18379005699168,3.7952706496455,12.9522563381868,0.00663670155336777,-0.196365024953657,0.351340298498264,0.222827372393928,0.154016953726932,0.262319762186738,50.7828711911649,50.7828711911649,50.7828711911649,39.9999999999994,14.1528579006783,745.662971985485,48.4123166126047,2.62029076119294,Inf,16.7496155612401,9.69919937052406,22.1362965680498,49.2154372281461,23.6084070415189,77.2738648108897,1.42070051512707,0.929307862947654,4.56876974067697,2.15676515362803,-0.581269584958072,4.33554906871124,4.43540585372622,-1.13166403841907,9.33433889509274,81.082180360385,2.73728543309837,Inf,18.1950190621731,10.5642688022024,23.9871251044132,55.8337474656265,26.267126249332,89.5184316426136,487.338567438075,444.772695641751,513.480176211361,77,1000,0,-1.44659460185136,-3.02297429529181,0.362518093235717
