DATE,PRCP
1942,51.0
1943,45.2
1944,59.6
1945,49.0
1946,42.2
1947,54.0
1948,54.0
1949,54.1
1950,37.4
1951,40.1
1952,36.6
1953,25.4
1954,101.2
1955,62.2
1956,51.2
1957,54.8
1958,61.5
1959,64.2
1960,59.9
1961,60.6
1962,65.0
1963,40.6
1964,59.5
1965,40.9
1966,99.0
1967,65.5
1968,51.6
1969,51.8
1970,42.3
1971,31.2
1972,59.3
1973,64.7
1974,54.8
1975,75.4
1976,41.3
1977,71.2
1978,68.1
1979,84.4
1980,41.6
1981,48.4
1982,45.5
1983,45.4
1984,47.1
1985,72.0
1986,78.4
1987,54.5
1988,47.6
1989,66.5
1990,63.5
1991,86.8
1992,39.5
1993,40.8
1994,57.2
1995,38.9
1996,62.4
1997,68.6
1998,64.1
1999,30.6
2000,46.5
2001,80.1
2002,70.0
2003,86.8
2004,61.6
2005,74.1
2006,50.6
2007,50.3
2008,30.5
2009,27.2
2010,85.0
