DATE,PRCP
1952,49.5
1955,62.0
1956,50.5
1959,63.4
1964,61.3
1968,37.1
1975,32.9
1976,74.7
1980,65.2
1981,42.3
1982,26.9
1983,74.1
1984,89.4
1985,44.7
1987,34.4
1988,38.9
1989,51.5
1990,69.3
1991,40.8
1993,33.5
1995,34.7
1997,39.5
2000,38.3
2001,39.3
2002,47.8
2003,28.2
2004,60.6
2005,32.9
2006,51.0
2007,67.3
2008,106.1
2009,44.2
2010,46.8
2011,36.3
2012,23.1
2017,72.5
2018,32.4
2020,53.3
2021,48.4
2023,28.0
