DATE,PRCP
1962,43.2
1963,55.0
1973,78.4
1974,47.6
1976,22.8
1977,35.6
1989,48.5
1990,49.2
1995,35.2
1996,41.1
2001,40.0
2002,43.0
2006,36.8
2008,39.3
2009,28.3
2014,56.9
2021,36.2
2022,24.0
2025,34.2
