DATE,PRCP
1960,61.7
1961,66.9
1962,59.8
1963,120.0
1964,66.6
1965,30.8
1966,31.4
1967,46.6
1968,35.4
1969,79.1
1970,80.0
1971,25.6
1972,29.1
1973,16.4
1974,31.9
1975,25.4
1976,36.1
1977,42.7
1978,65.2
1979,37.8
1980,59.2
1981,46.6
1982,30.2
1983,52.0
1984,43.0
1987,45.9
1988,59.7
1989,47.5
1990,86.0
1991,39.7
1992,42.7
1993,54.0
1994,48.6
1995,33.8
1996,37.4
1997,58.4
1998,154.3
1999,19.0
2000,42.3
2003,32.3
2004,33.8
2005,44.2
2006,91.2
2007,52.3
2008,109.3
2009,31.0
2010,77.0
2012,29.8
2013,59.5
2014,34.3
2015,35.6
2016,39.4
2017,34.4
2018,30.8
2019,26.4
2020,50.3
2021,34.2
2022,39.0
2023,36.6
2024,49.6
