DATE,PRCP
1956,66.0
1957,15.0
1958,63.0
1959,60.0
1960,48.6
1961,103.0
1962,84.3
1963,76.0
1964,62.0
1965,42.0
1967,37.0
1968,64.0
1969,142.0
1970,67.0
1978,80.7
1983,87.4
1984,54.2
1985,49.1
1986,42.9
1987,34.8
1988,70.0
1989,63.6
1990,66.0
1991,47.7
1992,54.8
1993,35.2
1995,30.0
1997,49.0
1998,42.6
1999,37.0
2000,54.8
2001,34.8
2003,43.6
2004,82.4
2005,63.5
2006,30.3
2007,55.7
2008,32.8
2013,44.5
2014,36.4
2015,54.0
2016,32.0
2017,62.2
2018,74.4
2019,41.6
2020,50.4
2021,50.3
2022,73.0
2023,37.4
2024,27.6
2025,53.4
