DATE,PRCP
1973,24.0
1975,27.6
1976,28.8
1977,36.1
1978,42.9
1979,27.6
1980,23.7
1981,16.0
1982,26.8
1983,38.8
1984,23.8
1985,24.9
1986,18.0
1987,28.7
1988,30.9
1989,25.4
1990,27.4
1991,30.1
1992,35.3
1993,25.9
1994,35.4
1995,18.0
1996,27.4
1997,27.7
1998,29.3
1999,14.5
2000,30.3
2001,41.0
2002,36.6
2003,34.5
2005,24.0
2006,23.6
2007,23.7
2008,15.6
2009,25.5
2010,41.8
2011,25.3
2012,23.6
2013,52.6
2014,30.3
2015,22.5
2016,23.4
2017,50.4
2018,52.1
2019,23.2
2020,38.4
2021,43.0
2022,16.8
2023,26.9
2024,39.6
2025,82.6
