DATE,PRCP
1960,91.5
1962,77.7
1963,113.2
1964,83.1
1967,35.0
1968,44.0
1969,76.0
1970,139.0
1976,45.2
1977,83.7
1980,42.1
1984,50.1
1991,94.0
1993,42.0
1995,82.0
1996,41.0
1997,61.0
1998,37.3
2001,34.5
2003,79.8
2015,67.2
2017,57.2
2018,50.3
2019,35.4
2020,27.0
2021,99.9
2022,97.6
2023,56.7
2024,58.4
2025,62.4
