DATE,PRCP
1973,48.8
1976,44.0
1978,56.2
1979,65.0
1980,42.8
1985,34.3
1986,41.6
1987,28.2
1988,53.9
1989,40.3
1990,60.7
1991,33.7
1992,45.9
1994,46.8
1995,65.8
1996,38.0
1997,25.6
1998,40.9
1999,110.6
2000,71.3
2001,48.3
2002,33.7
2003,35.8
2004,30.3
2005,53.0
