DATE,PRCP
1956,43.3
1957,55.5
1958,21.8
1959,28.1
1960,21.6
1961,30.0
1962,38.4
1963,26.4
1964,43.1
1965,34.3
1966,31.0
1967,46.0
1968,42.0
1969,39.1
1970,70.5
1971,28.7
1972,29.9
1973,39.5
1974,32.7
1975,38.5
1976,25.2
1977,31.0
1978,37.4
1979,37.1
1980,33.2
1981,23.7
1982,25.0
1983,33.5
1984,37.8
1985,47.1
1986,22.4
1987,20.4
1988,35.4
1989,25.3
1990,40.8
1991,22.3
1992,20.4
1993,18.7
1994,18.9
1995,23.9
1996,27.0
1997,39.7
1998,119.1
1999,21.5
2000,31.4
2001,45.4
2002,35.8
2003,20.5
2005,50.5
2006,27.3
2007,33.3
2008,34.6
2009,19.5
2011,23.7
2012,22.2
2013,28.2
2014,35.4
2015,17.8
2016,45.2
2017,29.6
2018,28.4
2019,15.8
2020,42.0
2021,29.8
2022,30.2
2023,42.0
2024,62.8
2025,33.8
