DATE,PRCP
1990,84.0
1992,92.1
1995,34.5
1997,63.5
1998,42.3
1999,51.3
2000,55.5
2001,29.9
2003,56.1
2010,58.2
2017,121.0
2018,37.1
2022,44.7
2024,37.5
2025,46.6
