DATE,PRCP
1957,56.6
1958,57.8
1959,103.0
1960,91.7
1962,137.4
1963,63.4
1964,62.0
1965,50.6
1966,87.8
1967,76.5
1968,45.5
1969,92.2
1970,72.8
1971,64.7
1972,105.6
1973,84.0
1974,121.8
1975,103.0
1976,76.4
1977,97.1
1978,73.7
1979,175.0
1980,59.8
1981,98.3
1982,78.7
1983,75.5
1984,82.7
1985,82.1
1986,101.6
1987,61.2
1988,107.2
1989,69.6
1990,62.9
1991,78.9
1992,55.2
1993,56.9
1994,66.4
1995,68.7
1996,80.1
1997,93.7
1998,99.5
1999,51.7
2000,51.9
2001,79.6
2002,171.9
2003,95.1
2004,50.9
2005,61.5
2006,68.3
2007,74.7
2013,81.7
2018,93.9
