DATE,PRCP
1943,164.0
1944,44.0
1945,39.6
1946,79.0
1947,85.8
1948,86.0
1949,35.0
1950,53.0
1951,36.0
1952,42.0
1953,75.0
1954,44.0
1955,71.0
1956,57.9
1957,104.4
1958,27.0
1959,90.0
1960,50.0
1961,60.0
1962,77.2
1963,97.2
1964,46.5
1965,51.5
1966,39.2
1967,62.0
1968,47.0
1969,151.0
1970,88.1
1971,92.6
1972,61.7
1973,61.0
1974,69.8
1975,34.5
1976,55.5
1977,76.6
1978,48.4
1979,121.5
1980,59.2
1981,52.2
1982,41.3
1983,147.1
1984,126.6
1985,59.7
1986,23.9
1987,62.8
1988,73.4
1989,35.2
1990,140.2
1991,57.2
1992,42.0
1993,37.2
1994,97.3
1995,35.7
1996,66.3
1997,67.9
1998,92.2
1999,41.4
2000,31.6
2001,77.9
2004,102.1
2005,62.1
2007,91.8
2008,46.1
2010,95.3
2012,36.0
2013,78.7
2014,17.9
2015,41.5
2016,37.8
2017,74.7
2018,58.4
2019,52.0
2020,70.6
2021,56.4
2022,46.8
2023,45.6
2024,48.8
2025,73.3
