DATE,PRCP
1951,35.0
1955,29.2
1957,19.6
1958,53.6
1959,52.6
1960,53.0
1961,57.5
1962,45.0
1963,131.1
1964,68.8
1965,30.7
1966,67.1
1967,47.2
1968,46.4
1969,40.0
1970,40.3
1971,40.8
1972,47.2
1973,42.4
1976,37.4
1977,55.2
1980,34.8
1981,43.9
1982,61.5
1983,55.7
1984,51.1
1985,60.1
1987,51.9
1988,64.0
1989,29.0
1990,79.8
1991,69.0
1992,43.9
1993,40.3
1994,39.1
1995,80.0
1996,40.9
1997,54.7
1998,87.7
1999,29.0
2000,50.0
2001,47.2
2002,50.0
2003,52.1
2004,56.4
2005,31.8
2006,73.2
2007,40.4
2008,130.8
2009,48.5
2010,49.0
2011,56.6
2012,23.1
2013,27.9
2014,51.9
2015,38.6
2016,20.1
2017,35.9
2018,69.6
2019,40.4
2020,37.6
2021,33.0
2022,30.9
2023,21.9
2024,68.7
2025,92.5
