"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha-gmst_est","alpha-gmst_lower","alpha-gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event-magnitude_est","event-magnitude_lower","event-magnitude_upper","return-period_est","return-period_lower","return-period_upper","PR-pi_est","PR-pi_lower","PR-pi_upper","dI-abs-pi_est","dI-abs-pi_lower","dI-abs-pi_upper","dI-rel-pi_est","dI-rel-pi_lower","dI-rel-pi_upper","PR-2000_est","PR-2000_lower","PR-2000_upper","dI-abs-2000_est","dI-abs-2000_lower","dI-abs-2000_upper","dI-rel-2000_est","dI-rel-2000_lower","dI-rel-2000_upper","PR-2018_est","PR-2018_lower","PR-2018_upper","dI-abs-2018_est","dI-abs-2018_lower","dI-abs-2018_upper","dI-rel-2018_est","dI-rel-2018_lower","dI-rel-2018_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper"
"cpc",22.9798694273625,21.4806627026614,24.3737476384514,1.54536023976871,0.997817577708962,1.91741119786215,3.38723865404926,1.23470103905617,5.33130967385639,-0.283156703951656,-0.570773869736151,0.0510234396620833,0.0672484343156724,0.0433476938548335,0.0824163523469991,26.3944416046143,26.3944416046143,26.3944416046143,32.6413646738696,7.19590072723358,Inf,Inf,14.6989816523771,Inf,4.40341025026403,1.81836903367786,6.94182265293887,20.0236640988325,7.39894512653517,35.6858080917062,Inf,3.9875662905105,Inf,2.20170512513202,0.909184516838934,3.47091132646944,9.10068659243766,3.56749302972786,15.141261294271,4.41298617725715,1.53827381793566,Inf,0.705717624616547,0.291423011300499,1.11253921726861,2.7471883195368,1.1164342356418,4.40053610203558,182.556893175619,155.618901965309,195.489104990121,47,1000,0
"eobs",21.7642515681873,20.7597177728751,22.7053738996757,1.61098787042121,1.3402034179443,1.84118212957578,1.55558149502804,0.507397836026073,2.51286775276647,-0.250268865145393,-0.375297410956268,-0.127821993732375,0.0740199066976408,0.061095894289124,0.0851168688257567,26.1656755746332,26.1656755746332,26.1656755746332,99.9999999999999,21.7475729202348,Inf,526558199.835202,7.92190024841404,Inf,2.02225594353645,0.862606187396367,3.26927708467925,8.37601290304285,3.40909770996427,14.2785653300698,15.468344521056,2.59645184875559,Inf,1.01112797176823,0.431303093698184,1.63463854233963,4.01966271757979,1.67598077433441,6.66355266157221,1.99456099533825,1.34202465832065,Inf,0.32409918216311,0.138246575937911,0.52395446421891,1.25417728872588,0.531157265320315,2.04336699812402,409.541054581103,377.400369541918,431.970570729652,105,1000,0
"era5",20.6988056589667,19.5173803890019,21.8121281877631,1.57516543382461,1.20085018597058,1.86506165726346,2.01730489356988,0.695775401218074,3.22959998839082,-0.249333472342325,-0.440652953620595,-0.047248921229682,0.0760993392458011,0.0584803088628563,0.0897611940453528,24.8655433654785,24.8655433654785,24.8655433654785,75.8041493593425,18.5568230303753,Inf,Inf,3.86081317268892,Inf,2.62249636164085,1.01150764528013,4.20502298686644,11.7901848662568,4.24040467258813,20.3529384052664,43.232069374312,1.89511202071982,Inf,1.31124818082042,0.505753822640067,2.10251149343322,5.56691750078131,2.07618305466335,9.23651781209014,2.38260405059073,1.22136104550695,Inf,0.420297405355711,0.162110439895024,0.673922860939751,1.7193421004695,0.656226364907924,2.78576981154822,295.380456026561,264.142616751857,314.596243164674,76,1000,0
