,X,cat,include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,attr_dI.rel_est,attr_dI.rel_lower,attr_dI.rel_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,proj_dI.rel_est,proj_dI.rel_lower,proj_dI.rel_upper,aic_eval,aic_attr,aic_proj,attr_nobs,attr_nsamp,attr_nfailed,proj_nobs,proj_nsamp,proj_nfailed,ystart,yend
CNRM-CM5_r1i1p1_ALADIN63,x ~ gmst (rp5),good,Y,1.07874041671598,0.875911578253054,1.24394179733036,-0.167937307965769,-0.393349224941313,0.0265796639563513,12.8166866349126,13.2313937263824,3.16876054604086,Inf,1.81199511858241,0.912128692135865,2.81191059814548,16.4656602676552,7.96649687299573,27.1276141137712,3.17686379599869,2.39495642694128,4.04692794269809,1.38841648735686,0.945804102647684,1.83229505526936,10.003200438986,7.07099330534094,12.7680331590519,242.257369839548,242.257369839548,313.021321164971,75,1000,0,100,1000,0,1951,2050
CNRM-CM5_r1i1p1_CCLM4-8-17,x ~ gmst (rp5),good,Y,1.04463576248733,0.826358073493282,1.26674358908007,-0.192795229700084,-0.494332679888849,-0.050954687281085,13.083484780579,13.6171827619007,2.31832435400785,Inf,1.65286907683753,0.69399270095555,3.29029150273491,14.4600178999676,5.92331125568721,30.1267454581292,2.92063547017481,2.27734009444548,3.739380210712,1.1644160685934,0.811411918420622,1.52478734270647,8.41380760935401,6.0619333541066,10.6913517297252,238.121392760868,238.121392760868,300.701339233091,76,1000,0,101,1000,0,1950,2050
CNRM-CM5_r1i1p1_HadREM3-GA7-05,x ~ gmst (rp5),reasonable,N,2.71525428504863,0.706637412970194,3.78819423325941,-0.669922259882563,-0.898767746734849,0.194789874812708,15.4831758449909,Inf,0.627290191395311,Inf,2.51879469904352,-0.562299841335067,3.71061439657814,19.4285764255773,-4.07671161748169,29.4522707760986,1.92172398342934,0.79705339692187,4.68659708597626,0.990720694508802,-0.176097088711893,1.91840434638604,6.32205109965872,-1.26760062667052,12.0692676198382,330.741728295913,330.741728295913,422.815054445077,75,1000,0,100,1000,0,1951,2050
CNRM-CM5_r1i1p1_HIRHAM5,x ~ gmst (rp5),good,Y,1.02657307926555,0.831245991623881,1.18516396408646,-0.157883951351157,-0.325552701267294,0.0185540105605205,13.7115720127598,11.3047632097911,2.95835777419968,4521.97260995419,1.68741309672145,0.823844766601786,2.53087357600154,14.0335229141949,6.70085911814762,21.6674889389149,2.54727435410998,1.77514018669679,3.5217625526326,0.995196271325653,0.542936808414997,1.46298264155218,6.98923224590292,3.97199484539436,9.83344431197237,235.813998239314,235.813998239314,305.244736403459,75,1000,0,100,1000,0,1951,2050
CNRM-CM5_r1i1p1_RACMO22E,x ~ gmst (rp5),good,Y,1.03801663068927,0.840357171554389,1.22085184782225,-0.0469933049873153,-0.220549944320267,0.133633281399998,11.9188493570299,16.83645951425,5.32112079522921,1338.5851721983,2.64544755841707,1.7343920710589,3.55774706218382,28.5272612560883,17.8628381398106,40.6749568182155,3.65714194155504,2.81507135342823,4.54165302720838,1.75188183552165,1.29258697244381,2.21418336702707,13.4116225761707,10.3138288361926,16.2482813288573,250.351380277073,250.351380277073,325.255334863223,76,1000,0,101,1000,0,1950,2050
CNRM-CM5_r1i1p1_RCA4,x ~ gmst (rp5),reasonable,N,0.632220576496031,0.455154150649657,0.765201242522765,-0.405349397999561,-0.744045125699731,0.067204792747793,7.67045134001472,Inf,25.7334357382011,Inf,1.88061145473209,1.34506798952103,2.40923309971783,32.4812342308892,22.4090961731979,44.7064233214374,4.84982182542038,4.45752060683667,4.99726628138858,1.59469491176858,1.29845150810757,1.90944694934835,17.4886294726674,14.9238740548103,20.0388426543745,109.273056336018,109.273056336018,165.825640121747,56,1000,0,81,1000,0,1970,2050
CNRM-CM5_r1i1p1_REMO2015,x ~ gmst (rp5),reasonable,N,0.936645562624699,0.780248067214218,1.09522323161334,-0.200985904885279,-0.396459757756497,-0.0363394168288507,13.5898785999934,26.6752997207469,4.5118164802138,Inf,1.70301842006335,0.911837205693883,2.52027970554575,14.3268987292266,7.55937862570843,21.8551244938593,3.29354481104896,2.47881248084509,4.26178065285353,1.25479738495153,0.846302283195511,1.65673743984165,8.6254219528941,6.03268289552826,11.0622515649819,221.666564192642,221.666564192642,286.86568026943,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r12i1p1_COSMO-crCLIM-v1-1,x ~ gmst (rp5),good,Y,0.931303672081663,0.695844742257633,1.09587755778619,-0.116861826800233,-0.302035633944724,0.152714008945716,11.3056354989594,7.3344564283197,2.13428456200213,259.220038335841,1.44824039972018,0.621303446822716,2.29150171341439,14.6919179472876,6.07159015403854,24.2510797249292,3.69384040451509,2.9069954062172,4.51573294750308,1.54899647699104,1.16343679817157,1.91716471472651,12.0070500363415,9.37515870103935,14.3402509802885,227.219621634307,227.219621634307,297.335658249927,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r12i1p1_HadREM3-GA7-05,x ~ gmst (rp5),reasonable,N,2.77120341485261,0.753696663660323,3.57568457578329,-0.686587698568401,-0.932017578872252,0.230456301366213,13.2695516573244,8.28343245352167,0.544984217464852,Inf,1.12548194576298,-0.758624906410298,2.83236876186081,9.26774938298889,-6.04504188394168,26.8735202208635,2.6216043734352,1.82454036832257,4.21443771958589,1.89722226852206,0.926468008522699,2.66795603072648,12.1288981430183,6.54692959133363,16.0436905052386,332.711380669156,332.711380669156,439.297749440688,75,1000,0,100,1000,0,1951,2050
EC-EARTH_r12i1p1_HIRHAM5,x ~ gmst (rp5),good,Y,1.1236306337313,0.842110357698171,1.3455741485488,-0.218791508094771,-0.452258123494914,-0.00356051002024513,11.786275632506,6.29508866104642,1.29584504875264,1552.32397421757,1.27572360305285,0.238354759201106,2.38409184160001,12.1375509057751,2.13962577268555,23.7912668940139,3.26742636352398,2.46598669938958,4.14942191852369,1.51808296632486,1.03792910126253,1.98413145233982,11.279993037621,8.09198990506147,14.1270779512637,243.236449137381,243.236449137381,322.870987260511,75,1000,0,100,1000,0,1951,2050
