,X,seasonal,spatial,cat,include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,attr_dI.rel_est,attr_dI.rel_lower,attr_dI.rel_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,proj_dI.rel_est,proj_dI.rel_lower,proj_dI.rel_upper,aic_eval,aic_attr,aic_proj,attr_nobs,attr_nsamp,attr_nfailed,proj_nobs,proj_nsamp,proj_nfailed,ystart,yend
ACCESS-CM2_r1i1p1f1_gn,x ~ gmst (rp20),good,good,good,Y,1.07844669970478,0.839612356487364,1.27532654950492,-0.307789192079696,-0.492598497588644,-0.131053010506766,11.1291036769637,926.736749181123,22.3389447291944,Inf,1.70149494074807,1.18580508963779,2.24574576289904,18.0480012308091,12.7104327392853,23.7841612290248,8.36963972412812,6.63555155496082,10.5598979096541,1.77155294545856,1.58298013234606,1.95271617939493,13.5213152744537,12.404042481467,14.6074280676364,233.24114267736,526.946458041337,657.360000167059,174,1000,0,213,1000,0,1852,2064
ACCESS-ESM1-5_r1i1p1f1_gn,x ~ gmst (rp20),reasonable,reasonable,reasonable,N,0.885222549365406,0.686296438197515,1.0376138549103,-0.0827352634028032,-0.259699380992059,0.188992459514768,14.7092515406834,273.816735702567,22.8265204360133,Inf,2.8587921796125,2.30267555139324,3.4888884925793,24.1238933657181,19.4304023011314,29.6015606885746,7.92534169657555,6.10301443061623,10.9510490689123,1.94585025657069,1.73572877577083,2.20747696711515,12.224577989071,11.2006397424184,13.5341242282914,223.188723860332,534.536406889432,677.200102859878,174,1000,0,213,1000,0,1852,2064
AWI-CM-1-1-MR_r1i1p1f1_gn,x ~ gmst (rp20),reasonable,good,reasonable,N,1.27436046027758,1.00154214739294,1.46553950508282,-0.212452344248604,-0.517277500411955,0.00747579632000571,16.1228022163164,212.787173039418,9.72256578699409,Inf,2.10619198342495,1.46907789982225,2.69326007611535,15.0264004522474,10.4632043499202,19.2889082825647,9.17778725023061,5.73384456892299,12.7992323402482,2.06337096698433,1.6248874082708,2.44495112392705,11.3321207532997,9.34598150166581,12.9748196775189,266.137020876327,564.031030748963,661.078593540152,174,1000,0,199,1000,0,1852,2050
CMCC-ESM2_r1i1p1f1_gn,x ~ gmst (rp20),reasonable,good,reasonable,N,1.06344180661627,0.833534156372029,1.26024204682445,-0.16183361608982,-0.3097502194913,0.0352800930214975,12.0740012443483,138.930828926139,12.5815940171396,Inf,1.62301729802613,1.12459824589642,2.06939397728627,15.5298037616571,10.5887577326531,20.0413210374706,7.01195551605428,5.60896683522346,8.9591713984326,1.53378905043849,1.31665791513505,1.73886070453193,11.3529608910107,9.98007020027532,12.6671001378094,243.628873666032,552.495017890923,669.966062065146,174,1000,0,213,1000,0,1852,2064
CNRM-CM6-1_r1i1p1f2_gr,x ~ gmst (rp20),good,good,good,Y,1.23959140049837,1.00488365729428,1.44831797234627,-0.294399545753455,-0.487958075793773,-0.112616100035079,14.904992587415,204.066017647418,15.16931956596,Inf,2.29166092458827,1.72210763384315,2.88781039848888,18.168561533525,13.7593033347652,22.9214617796943,7.6961054399849,6.17316511240001,9.7667150472226,1.86282616029343,1.69386565320604,2.03432780958472,11.4730041303348,10.604410870812,12.3566762415107,256.264062292163,582.742772381381,717.576323926892,174,1000,0,219,1000,0,1852,2070
CNRM-CM6-1-HR_r1i1p1f2_gr,x ~ gmst (rp20),good,good,inf_pr,N,1.09100677597099,0.836177874017933,1.27903214211193,-0.26347700695546,-0.427533185522122,-0.066885877855476,12.5268043106937,Inf,1505.02661563628,Inf,2.12613857810715,1.68919593609765,2.51870207913705,20.4423316042712,16.1851465404006,24.212046434582,11.1689454522835,9.06519423558103,13.4488483701436,1.92220776137085,1.71027271158658,2.12756809385349,13.456429489207,12.2974407889937,14.5792084252952,238.305993853296,519.507617837373,641.651813448764,174,1000,0,213,1000,0,1852,2064
EC-Earth3_r1i1p1f1_gr,x ~ gmst (rp20),good,good,good,Y,1.19833815848391,1.00394562154678,1.36059041414618,-0.140002395626968,-0.28594074092559,0.0209651329031136,14.510757471822,122.185290876759,17.4481184378886,Inf,3.01397803037256,2.47749819238198,3.62996931525317,26.215846322199,21.8211523320349,31.7136012511427,9.77628656699177,7.73258559195973,12.9008246326896,2.61993692762377,2.36758291829224,2.87933716102544,15.7565440828734,14.6287782742235,16.9155039103171,263.830600077369,619.077289352856,698.630949013701,174,1000,0,199,1000,0,1852,2050
EC-Earth3-CC_r1i1p1f1_gr,x ~ gmst (rp20),reasonable,good,reasonable,N,1.32843118746093,1.02486153296544,1.56520853689528,-0.241583786665709,-0.385203097836694,-0.0478400303317627,14.904572421043,1757.21895065487,62.8062599426563,Inf,3.16279088339891,2.64574454227289,3.6578847403379,26.9362095799435,22.5003854739599,31.1515825246306,9.92851359688591,8.21515150273191,12.2883551351013,2.66622752347497,2.30063084863997,3.02408103922818,15.7452216267412,14.137605884364,17.1935883644016,269.714172933466,649.159500795279,736.58257261832,174,1000,0,199,1000,0,1852,2050
EC-Earth3-Veg-LR_r1i1p1f1_gr,x ~ gmst (rp20),reasonable,good,reasonable,N,1.10873474209459,0.871492983587794,1.31753234460863,-0.19580204774072,-0.391707652302831,0.0464410244576842,13.3910560246517,67.5904472577031,10.3924353080503,Inf,2.08431406508745,1.47193893649316,2.65793845013998,18.4342587152114,12.846489242933,24.0020742701346,7.54587193978767,5.55282520960673,10.1527767805868,1.81499448767503,1.46914633359954,2.18301345433138,12.1502742183011,10.2242835389103,14.0247458108063,247.968803798609,573.596567659183,651.824283373196,174,1000,0,199,1000,0,1852,2050
FGOALS-g3_r1i1p1f1_gn,x ~ gmst (rp20),reasonable,good,reasonable,N,1.03587512646802,0.840796088030664,1.19651245973941,-0.216030242243722,-0.395916654268406,-0.100730016074995,11.4632137983545,75.4245175887245,12.6865996703029,Inf,1.85630633743195,1.24565532749285,2.41389285802322,19.3226211971202,13.0256321305401,25.4538604053342,9.10994731375989,6.56659117805473,12.6288533617682,2.08581899114542,1.69558294936622,2.54255890790129,15.093603655717,12.943841765121,17.4289168818257,232.849188722982,571.130499936253,659.249414838106,174,1000,0,199,1000,0,1852,2050
GFDL-CM4_r1i1p1f1_gr1,x ~ gmst (rp20),good,good,good,Y,0.864983383933728,0.681461296565712,1.01244526138547,-0.132701884700605,-0.373316202997985,0.0264128915173377,13.0682318930841,4080.37157907339,67.575332317112,Inf,2.29335666812973,1.74786129076079,2.8056678976461,21.2842990777134,16.162476936025,26.2752335283862,11.5557504873797,9.32750420697507,14.6176840648632,2.01080547376677,1.76271508885178,2.26703644369763,13.5681586920594,12.2199425039033,14.9463901322385,213.285327621721,503.064850153839,587.309777095534,174,1000,0,203,1000,0,1852,2054
