,X,seasonal,spatial,cat,include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,attr_dI.rel_est,attr_dI.rel_lower,attr_dI.rel_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,proj_dI.rel_est,proj_dI.rel_lower,proj_dI.rel_upper,aic_eval,aic_attr,aic_proj,attr_nobs,attr_nsamp,attr_nfailed,proj_nobs,proj_nsamp,proj_nfailed,ystart,yend
ACCESS-CM2_r1i1p1f1_gn,x ~ gmst (rp50),good,good,good,Y,1.72698516485977,1.37450660205346,2.00711703028292,-0.216341151601163,-0.380362136385636,-0.0542591357203588,21.1889196958254,42.9020984307566,4.69939196370772,Inf,1.78600115272818,0.96207732764282,2.63788312862539,9.20480673441552,4.93509052910839,13.4971636103358,7.79666623139865,5.39912276087884,11.8719349529174,2.0899156790483,1.78140680190307,2.41596699532959,8.79316738592382,7.65404561184876,9.90736918095932,312.08208163043,703.929032446927,866.310966260484,174,1000,0,213,1000,0,1852,2064
ACCESS-ESM1-5_r1i1p1f1_gn,x ~ gmst (rp50),reasonable,reasonable,reasonable,N,1.39869822379525,1.09033359717518,1.62076151306482,-0.112724734684733,-0.282226488195397,0.109005490921449,23.9952697149022,20.5254173507421,6.0874698870378,1202.73500127288,3.37742463027176,2.55205937177521,4.42263488874695,16.3810748233309,12.2448359737176,21.5303863665856,6.04078062426274,4.03109915043694,10.3740445956896,2.41126229796515,2.1286879163315,2.72951596117395,9.38461285945029,8.38484450398408,10.5184025860747,289.780759857037,679.402101758037,850.408437660675,174,1000,0,213,1000,0,1852,2064
AWI-CM-1-1-MR_r1i1p1f1_gn,x ~ gmst (rp50),reasonable,good,reasonable,N,1.76472040846011,1.3890835199472,2.03430449457664,-0.174196368896316,-0.378397719740742,0.0254382369526718,25.2217807172877,47.4354526061044,4.99704198785256,Inf,2.14874685106624,1.31946710250043,2.9713331183119,9.31280586473704,5.80024271885989,12.9654197487868,8.43326649274847,4.16885041705605,14.9724717511917,2.06076158870906,1.5235731016736,2.5567232443177,7.58005030289255,5.75597684232082,9.13372227020316,319.411658627994,684.929672753252,793.239658220263,174,1000,0,199,1000,0,1852,2050
BCC-CSM2-MR_r1i1p1f1_gn,x ~ gmst (rp50),bad,bad,bad,N,1.29305016846403,0.0294422867401606,2.18739943960251,0.962233617498359,-0.193899818193561,3.11796973363511,72.6015788890372,0.968725949796786,0.0390856145861812,11.313729963183,-1.74601549365315,-10.2215405364918,4.32036242620651,-2.34844921096688,-24.5298194337679,18.7803567227672,2.17227001590626,1.09962038311571,12.8349113714333,1.85102081060908,0.233614378687883,3.51766937300939,6.39688167821977,0.93138152092386,12.2254366748055,59.1074199306073,59.1074199306073,252.248774061059,11,1000,0,50,1000,0,2015,2064
CMCC-ESM2_r1i1p1f1_gn,x ~ gmst (rp50),reasonable,reasonable,reasonable,N,1.71708227529542,1.41645199658156,1.97847941018466,-0.260600838723528,-0.413726596770613,-0.0761508469931033,23.9370061026879,114.614675358058,4.99539382108009,Inf,1.52749465653236,0.830859468194219,2.29065592224721,6.81627825846427,3.68005329666832,10.3713146745285,6.65306287903968,4.43597421425163,10.4357206812323,1.50141743629908,1.16135888082914,1.85154100134947,5.90371928447876,4.69214112682432,7.16505595113629,308.49939867314,690.117468826957,850.854298731666,174,1000,0,213,1000,0,1852,2064
CNRM-CM6-1_r1i1p1f2_gr,x ~ gmst (rp50),good,good,good,Y,1.47366453364493,1.19271756683528,1.82129851461186,-0.340757754529126,-0.682834353329362,-0.12018362193402,24.0868703493038,41.3128346989552,5.32908803133709,Inf,2.03419349990461,1.32692731572901,2.75270878027626,9.22424753147382,5.97388112041156,12.5543307164884,7.00485445124334,4.81179304515648,11.9625825265937,1.71060267273073,1.48980835899193,1.94611753417583,6.74770332654793,5.95738421979704,7.56940312667127,278.812177548284,651.075733646935,808.088664344504,174,1000,0,219,1000,0,1852,2070
CNRM-CM6-1-HR_r1i1p1f2_gr,x ~ gmst (rp50),good,good,inf_pr,N,1.42433203877578,1.12206136367993,1.65806561743238,-0.250407299634666,-0.513609351477693,-0.111088380188186,22.6887799911034,Inf,519.703508774087,Inf,2.22801927109957,1.65846778762275,2.73540383220849,10.889229885384,8.15585466148951,13.4100408803135,12.1905899202142,8.62608274948482,20.0460199282653,1.86769993639195,1.61795363921138,2.16453142509205,7.69475096404168,6.77275622857954,8.75876716586452,278.828410735535,613.737826318956,755.140092675188,174,1000,0,213,1000,0,1852,2064
EC-Earth3_r1i1p1f1_gr,x ~ gmst (rp50),good,good,good,Y,1.65202563155878,1.30210886832292,1.88616701425576,-0.0576878628012336,-0.189588849744422,0.128317751899068,24.8651119755004,16.9038016526202,5.42050380082664,251955.493229907,2.98699552866757,2.23287421027732,3.84652063186616,13.6528916276976,10.2187832957756,17.8516139101383,6.80078810242339,4.6381720230423,11.7961598338172,2.64190129541594,2.28915666782232,2.99868116828443,9.78088009312099,8.68479077220067,10.8985509117869,319.472345990601,740.176556497211,834.809314152727,174,1000,0,199,1000,0,1852,2050
EC-Earth3-CC_r1i1p1f1_gr,x ~ gmst (rp50),good,good,good,Y,1.75112121115475,1.33972123230928,2.06770904261817,-0.151476006264441,-0.292921691254897,0.0838800267188459,25.2379668961601,61.6068790724696,10.0265718033029,15565957.0791579,3.31585565671476,2.6907473432375,3.93526657910206,15.1256218915102,12.1983486888348,17.8697614810098,8.71911152392742,6.28283681721458,12.3609539428718,2.68105776129542,2.21869248759316,3.15739466291036,9.93050149365658,8.50211826852425,11.246142909519,319.926911615069,748.786082096319,850.024694701105,174,1000,0,199,1000,0,1852,2050
EC-Earth3-Veg-LR_r1i1p1f1_gr,x ~ gmst (rp50),good,good,good,Y,1.4987751365025,1.21074711264734,1.7787177671886,-0.17325059084304,-0.411240088807673,0.0256176569652112,22.8506751476365,13.3696312468731,4.05473592344001,1661.70504665929,1.98257254164049,1.05452457381124,2.79829316868736,9.5004925894453,5.04086185862238,13.3706391178349,4.83769033807016,3.15024195133807,8.09358791858972,1.57369999286806,1.11430260132222,2.05491369811245,6.56267006710611,4.8183464921647,8.25577131280895,295.467858696891,690.019594762143,786.083505764888,174,1000,0,199,1000,0,1852,2050
FGOALS-g3_r1i1p1f1_gn,x ~ gmst (rp50),reasonable,reasonable,reasonable,N,1.72623788407926,1.40914567008708,1.99429810709875,-0.236443780187507,-0.429096532469832,-0.125094385095765,28.2292016353208,9.90890962947889,2.40113059108711,100.045097037114,1.78659801107276,0.612183767110947,2.81840220175414,6.75651322562821,2.2999483396298,10.6944859956209,5.93442129446997,3.73273339990223,9.29041718866881,2.09816833460764,1.39758496428119,2.92307009051789,6.85558887593365,4.76239530878337,8.9638073478986,309.40016741678,768.627579832748,874.803964380647,174,1000,0,199,1000,0,1852,2050
GFDL-CM4_r1i1p1f1_gr1,x ~ gmst (rp50),good,good,good,Y,1.1779385420418,1.00328627122949,1.32800952572195,-0.177522616368297,-0.440721735695171,-0.0436505582438424,20.9930205298165,713.113386641409,18.3433566986617,Inf,1.99270152125793,1.32750869855685,2.68433356652318,10.4877266553279,6.94474438102039,14.1619040657383,15.6110953549161,10.6655669582117,24.309129374496,2.07102055061228,1.75253433798615,2.40748261752263,8.97900758729279,7.79192752150645,10.1451428183702,256.854348608546,574.344485516345,661.53401894038,174,1000,0,203,1000,0,1852,2054
GFDL-CM4_r1i1p1f1_gr2,x ~ gmst (rp50),good,reasonable,reasonable,N,1.17244406413866,1.00176270742087,1.32597532885431,-0.180504274348048,-0.435462521551748,-0.0447489509035533,21.0224607723765,676.9210645764,19.1980394532302,Inf,1.99835952698765,1.34358078437215,2.66505517854002,10.5043570847901,7.03045505273558,14.1503960893666,15.9346498507682,10.8267029548294,24.6129881818543,2.07299131379787,1.75259512646995,2.40617374676957,8.97696757638041,7.79393531359288,10.1533519382267,255.768990867196,568.904550578156,655.488428995782,174,1000,0,203,1000,0,1852,2054
GFDL-ESM4_r1i1p1f1_gr1,x ~ gmst (rp50),good,good,inf_pr,N,1.39375327909749,1.16715540836658,1.62340891129715,-0.45740892350837,-0.671967616317227,-0.302267364845848,20.2406922119725,Inf,0.592292917613801,Inf,0.737341652598722,-0.165813216972526,1.54717461310402,3.78058964973246,-0.837245682623321,8.0087810593505,13.783554072808,7.79227801821118,19.9095879203708,1.44424556240628,1.0187419302541,1.8199883843784,6.50882269997507,4.70938187698806,8.00944006991896,259.477818976979,581.415397777129,688.776740857272,174,1000,0,203,1000,0,1852,2054
HadGEM3-GC31-LL_r1i1p1f3_gn,x ~ gmst (rp50),good,good,good,Y,1.44065166687505,1.16610925535508,1.67019117990387,-0.207946290254909,-0.418118202225789,-0.0794623254982068,22.584262259218,256.153442542275,11.9365009355431,Inf,2.13952952259795,1.5296456982729,2.80767239394971,10.4649424874392,7.52473348267561,13.7228844399136,10.9260829957453,7.6576213243257,16.7057942071796,2.13050400684871,1.89010254059267,2.3768856252893,8.63252193048021,7.78616414162626,9.49509903854125,284.53530627488,663.946426861926,839.712252832281,174,1000,0,219,1000,0,1852,2070
INM-CM4-8_r1i1p1f1_gr1,x ~ gmst (rp50),reasonable,reasonable,reasonable,N,1.30129415431892,1.04489479068154,1.51885385768967,-0.188022679328257,-0.371612420240629,-0.00713098971873802,20.9021155928749,2.31740763997018,0.927476067051363,15.3196593430993,0.591430602984779,-0.0684063595179721,1.44864169949733,2.91191854572689,-0.336017596816554,7.22076966731675,3.74009031141847,2.66986841282088,5.39221185525047,1.01682774831966,0.76003532516546,1.25709855984242,4.59353914127062,3.52887898055022,5.60284363182983,272.734541857116,595.303079813236,715.881275524337,174,1000,0,213,1000,0,1852,2064
