"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha-gmst_est","alpha-gmst_lower","alpha-gmst_upper","shape_est","shape_lower","shape_upper","disp_est","disp_lower","disp_upper","event-magnitude_est","event-magnitude_lower","event-magnitude_upper","return-period_est","return-period_lower","return-period_upper","PR-pi_est","PR-pi_lower","PR-pi_upper","dI-abs-pi_est","dI-abs-pi_lower","dI-abs-pi_upper","dI-rel-pi_est","dI-rel-pi_lower","dI-rel-pi_upper","PR-2000_est","PR-2000_lower","PR-2000_upper","dI-abs-2000_est","dI-abs-2000_lower","dI-abs-2000_upper","dI-rel-2000_est","dI-rel-2000_lower","dI-rel-2000_upper","PR-2018_est","PR-2018_lower","PR-2018_upper","dI-abs-2018_est","dI-abs-2018_lower","dI-abs-2018_upper","dI-rel-2018_est","dI-rel-2018_lower","dI-rel-2018_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper"
"cpc",12.1013017627931,10.9602889016845,13.1110427765044,0.997192332205158,0.703366150600498,1.20798917315987,1.89381400625906,0.256810909585299,3.26453944086714,-0.247635122828442,-0.504963007111911,0.0930617923245302,0.082403724140749,0.0592480315085715,0.0978538764921095,13.7438459396362,13.7438459396362,13.7438459396362,8.81054844186801,2.59442340102348,101.605046190426,Inf,1.50582300701526,Inf,2.46195820813678,0.355198018111468,4.24662485807181,21.8222186457582,2.6530416223932,44.7144562888556,17.7489270180643,1.22358421145983,Inf,1.23097910406839,0.177599009055734,2.12331242903591,9.83770642047696,1.30913916455224,18.2720820313245,2.01328760938991,1.06617549225609,27.8075219290853,0.394568572948049,0.0569262202165018,0.680590232830637,2.95572982798797,0.41591846556142,5.20995935688368,142.716667581118,118.239103386885,156.717366405771,47,1000,0
"eobs",11.0359937842639,10.3626952797863,11.6156042489403,1.04180126404867,0.82259281319239,1.200647352522,0.814714908226761,0.121187750469448,1.41168744986698,-0.172686494232651,-0.291864943013717,0.0125636373104759,0.0944003126872144,0.0750132019040153,0.109908481349691,13.4567023568098,13.4567023568098,13.4567023568098,20,8.60703642167034,131.74709159426,7.29682923378157,1.38693278685992,139.927204078556,1.05912938069479,0.157544075610281,1.83519368482708,8.54303808281908,1.18461880227377,15.7913623914076,2.46630639832446,1.17677514534536,5.79910529877562,0.529564690347394,0.0787720378051416,0.91759684241354,4.09653477831581,0.588821280205411,7.31788265874432,1.31328285124763,1.05340654206902,1.62185719519806,0.169742592269413,0.025248983059308,0.294119433429986,1.27751265358999,0.187984045774431,2.23451166414089,327.975510816116,291.464631984458,350.648259792677,105,1000,0
"era5",12.7618712407697,11.9155439549524,13.5600913585632,1.1040056091614,0.821157470947401,1.30086610054991,1.80097371138291,0.865274479020702,2.70117888057198,-0.178177364598471,-0.345789240809165,0.0232293339880089,0.0865081294375148,0.0655985627042803,0.100803983516473,15.4893817901611,15.4893817901611,15.4893817901611,26.4525376211426,8.64065034307399,236.04476435086,538.389267245636,4.18412298818641,Inf,2.34126582479778,1.12448198952753,3.51221068696823,17.8068540843835,7.82798555971321,29.3242205189764,9.90931163158983,2.04425772065615,Inf,1.17063291239889,0.562240994763763,1.75610534348412,8.17552512717745,3.76656903162971,12.7872297075661,1.88412872272344,1.25570355814012,6.84053473270656,0.375225668871783,0.180216403530847,0.562888498297755,2.482610778006,1.17717985009295,3.77107007039249,246.929177685787,212.910986967458,268.827874747905,76,1000,0
