,X,cat,include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,attr_dI.rel_est,attr_dI.rel_lower,attr_dI.rel_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,proj_dI.rel_est,proj_dI.rel_lower,proj_dI.rel_upper,aic_eval,aic_attr,aic_proj,attr_nobs,attr_nsamp,attr_nfailed,proj_nobs,proj_nsamp,proj_nfailed,ystart,yend
CanESM2_r1i1p1_CCLM4-8-17,x ~ gmst (rp100),,Y,1.74782094428609,1.372517730282,2.08102788732179,-0.124800744778945,-0.258468849378101,0.0555500549526599,25.6576424400548,5.86484335749902,1.94550690486523,558.097004348093,1.56583076775765,0.68797684706008,2.37801740026134,6.49943137965907,2.92925060925577,9.79469171908593,4.1002083209066,2.06651016411329,9.11626896448494,1.25428053703762,0.716647477919532,1.88651908863917,4.78618769776551,2.8373629509128,6.99444137508178,322.348740077899,322.348740077899,430.520650142792,76,1000,0,101,1000,0,1950,2050
CanESM2_r1i1p1_REMO2015,x ~ gmst (rp100),,Y,1.87744710469582,1.44277208385638,2.19088546956495,-0.215548416808916,-0.353332461625947,-0.0488742628504102,24.9602752172365,12.5951068979635,2.198109833737,Inf,1.36154805719366,0.47612038910742,2.22580305270917,5.76958260485771,2.05310230463732,9.62844321748228,4.88163728316191,2.55287620853393,10.4669366825662,1.31959217442254,0.824779153462596,1.85204914602689,5.04328165484159,3.25990003542992,6.93946656787864,324.485095187161,324.485095187161,425.986663033737,76,1000,0,101,1000,0,1950,2050
CNRM-CM5_r1i1p1_ALADIN63,x ~ gmst (rp100),,Y,1.5832039136281,1.28094841042263,1.81854165531535,-0.279829133387366,-0.4366070598901,-0.159297880623383,24.396006768605,725.396240359188,0.763472440373791,Inf,1.31479758815929,-0.120471089169788,2.80975695289773,5.69639821675019,-0.503991001495749,12.5051987142762,6.75349767827434,2.53406790834341,15.6005791656439,1.05880530326898,0.406054285558489,1.72435270728663,4.21058007235494,1.66825073449391,6.6294608492403,288.87480599665,288.87480599665,374.278746028318,75,1000,0,100,1000,0,1951,2050
CNRM-CM5_r1i1p1_CCLM4-8-17,x ~ gmst (rp100),,Y,1.69477011923501,1.38164965197755,2.04801535848567,-0.248640786242772,-0.496497692570964,-0.0770202913105282,23.9422876624821,155.693010462144,1.11342661190559,Inf,1.55343365998042,0.0726710729508633,3.21333072469375,6.93842418109852,0.311521220084474,15.2330578023827,3.95081447139241,2.04363881575418,7.22654007246304,1.01552744900779,0.444219400442688,1.59384437956907,4.13622983666,1.90959172651071,6.26034451700178,307.773824548796,307.773824548796,386.944083008938,76,1000,0,101,1000,0,1950,2050
CNRM-CM5_r1i1p1_HadREM3-GA7-05,x ~ gmst (rp100),,Y,3.57433157391921,1.0775099205697,4.99769693399547,-0.541683326274739,-0.826003449339324,0.174706982669506,26.5747793620655,Inf,0.036681955095758,Inf,2.64404496490109,-1.87817232485339,6.32564918476461,11.048741426065,-7.57598276972183,28.70352511637,8.31957470647185,0,15.5133963615181,1.26561979315184,-0.67528572648194,2.14948441782901,4.66609026802615,-2.92850945793732,7.78556813507116,380.787708559188,380.787708559188,488.482111559543,75,1000,0,100,1000,0,1951,2050
CNRM-CM5_r1i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.38671963330674,1.1517598907238,1.58887462276744,-0.21051027105821,-0.366248489276916,-0.0488628479442735,23.1238234086867,821.991252555777,5.176676235173,Inf,1.89297605673813,0.811490513204363,3.02830728047234,8.91615876350967,3.71475016794946,14.4698254466927,4.65392532795573,1.53827865977682,10.7375404813721,0.808620601027641,0.192360520996976,1.42744518431444,3.51341432432569,0.871249751199744,6.00878503956155,276.787091010629,276.787091010629,366.108852044336,75,1000,0,100,1000,0,1951,2050
CNRM-CM5_r1i1p1_RACMO22E,x ~ gmst (rp100),,Y,1.5370030793536,1.25713501065765,1.7647531057546,-0.0683782925196651,-0.222469361728961,0.0856762155019352,25.7176638294784,10.5803434282208,2.40481394456893,Inf,2.44911721815252,1.20420027602765,3.69467720091095,10.5254413138138,5.0287118972532,16.3759604275547,4.58363573558309,2.30755218010199,9.51041237416185,1.4825682510188,0.80219464748296,2.18311941612581,5.72153042079304,3.33296778027404,8.05448388794058,307.558564559234,307.558564559234,396.569668278227,76,1000,0,101,1000,0,1950,2050
CNRM-CM5_r1i1p1_RCA4,x ~ gmst (rp100),,Y,1.25286079292046,0.971394692934786,1.535958403432,-0.0893254384651604,-0.322829335851826,0.195520909555051,23.2869160082933,19.8638648426973,2.34078921032148,Inf,2.18210937083295,0.743735562213964,3.35107442463272,10.3393952302779,3.48230676925127,15.9679103781135,5.19719724357208,2.37951191928162,10.6320285051085,1.28038726942218,0.513254262348217,1.97062793858586,5.45184424981514,2.33702624290596,7.8774574031263,205.04690458444,205.04690458444,276.476678016778,56,1000,0,81,1000,0,1970,2050
CNRM-CM5_r1i1p1_REMO2015,x ~ gmst (rp100),,Y,1.50898679186274,1.22399852198759,1.75974641373651,-0.155139450689122,-0.354588963207933,0.0491505216871174,25.4337356986307,31.3832885467164,2.35241162523257,Inf,1.97523947139584,0.866840978481724,3.21938217808587,8.42014531648719,3.63471762011373,14.1744295826443,5.13637247327595,2.35880737835578,11.4781808272856,1.2499451908328,0.551137984252614,1.89187714802811,4.83072651575338,2.24216167612198,7.02570022552257,297.970995015012,297.970995015012,384.181486377084,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r12i1p1_CCLM4-8-17,x ~ gmst (rp100),,Y,1.79263731467518,1.36932488111952,2.15256876545579,-0.192195412561187,-0.338128185739758,0.0111080160581995,22.1098222417343,Inf,0.20882167236553,Inf,0.876052765239727,-0.735740052975474,2.91568851573266,4.12575245393665,-3.40300983585555,14.6635636572947,14.6674942438683,2.07154911553075,33.9686152295273,1.74589013277991,0.36422345705285,2.60829885377277,7.09712969562018,1.63356701174942,10.3770784368693,320.452278796399,370.154271376977,485.144046638002,77,1000,0,102,1000,0,1949,2050
