year,spei
1981,-1.2029111888745212
1982,0.6961238524148112
1983,-0.8785512695915985
1984,-0.6334222007124349
1985,1.3510271369334368
1986,1.421035309690697
1987,0.4847689675570137
1988,-0.5284764571801025
1989,1.7276298839193496
1990,1.6341640150864274
1991,-0.059588742380508715
1992,-1.6063598407444113
1993,-0.6219803637152393
1994,1.2969076689162506
1995,-0.2025587551709998
1996,-0.31897028988083703
1997,-0.5594745749835256
1998,-2.106468883180976
1999,-0.5130114061703548
2000,1.1492069719766431
2001,0.9715527979863886
2002,-0.08777005998558966
2003,-0.12449252999013315
2004,0.04063944933434282
2005,-1.4489203324810758
2006,-0.6946516236513364
2007,0.09752165272179875
2008,-0.02851960142641261
2009,1.098321449233247
2010,-0.1456402052545639
2011,-0.3193525247413933
2012,1.0504229377368195
2013,1.543971943137179
2014,1.9013316444753632
2015,0.5525012318405528
2016,-1.8125990406226384
2017,-0.9067852459647245
2018,0.36408376203418796
2019,-0.3332123349308773
2020,-2.2423606297913437
2021,-1.1061370615856734
2022,1.0247245824142404
2023,-0.2715282074335908
