year,pet
1970,
1971,
1972,2686.6753663147365
1973,2704.6468318700445
1974,2666.940541059352
1975,2664.740274868242
1976,2678.2693389274864
1977,2686.873215144131
1978,2687.55973293789
1979,2695.6073211717235
1980,2722.1592675080865
1981,2729.4673597315486
1982,2691.120519155096
1983,2703.3891151896414
1984,2698.686288478535
1985,2657.6035818472865
1986,2642.052590301669
1987,2679.202960909768
1988,2721.5576426746043
1989,2674.6478986213174
1990,2667.790903054535
1991,2694.757212429308
1992,2705.528531337876
1993,2699.7890557298215
1994,2676.2395228749174
1995,2710.551932134648
1996,2712.601501089741
1997,2714.6536433591814
1998,2752.5123617003774
1999,2728.82630176901
2000,2682.7945227092846
2001,2683.351795603513
2002,2724.6620648302164
2003,2727.7552888477844
2004,2722.1127872357765
2005,2763.407388428576
2006,2765.1904014824886
2007,2760.756680823228
2008,2765.4208592312557
2009,2747.8158510548255
2010,2786.6569650066285
2011,2788.751994409248
2012,2765.747351337583
2013,2744.927209106211
2014,2719.6458306633804
2015,2766.229399462988
2016,2813.9784119072333
2017,2810.6243996252133
2018,2780.312156063551
2019,2775.1649090989877
2020,2836.1412032900566
2021,2842.0730731994913
2022,2818.1961862649882
2023,2887.6335429628207
