year,spi
1971,1.1277961087812904
1972,0.7834579575666075
1973,0.4492977249432142
1974,0.6658400083602972
1975,0.31986876965703653
1976,0.29453166883309434
1977,0.3173380244940778
1978,0.8150728599340052
1979,-0.4492956533723004
1980,-1.957775755532509
1981,-1.0459499994198693
1982,-0.030056524270255004
1983,-0.8978295210463235
1984,-0.015663833085167524
1985,1.2690259468500362
1986,1.4623119505678563
1987,0.7583589421874579
1988,0.4000272326111901
1989,1.8887189169609866
1990,1.5065494476928927
1991,0.18069642100444025
1992,-0.5869542997426113
1993,0.3542003875237602
1994,1.7231429021417917
1995,0.4165132967937002
1996,-0.24392444354048623
1997,-0.42789867620280597
1998,-1.1957928299014176
1999,-0.01225729084123062
2000,0.8993363984102063
2001,0.14824942767385044
2002,-1.0489617634284722
2003,-1.1894908199198786
2004,-0.8849264897107997
2005,-1.011178837955975
2006,-0.6440258891601378
2007,-0.5211303370264616
2008,0.04890739650650513
2009,1.0829229186517337
2010,-0.3970733087149553
2011,-0.4698974743049285
2012,0.681229794790367
2013,0.9775995756426032
2014,1.5810730299604276
2015,0.15915671964248143
2016,-0.7505967963967946
2017,0.2614085518649243
2018,1.0358212268814646
2019,1.132419616773799
2020,-0.6978279845687646
2021,-0.5515874996486135
2022,-0.27489111246022524
2023,-3.2367999628337927
