year,spi
1970,-1.0207430436673564
1971,1.27543825748966
1972,-1.9245915581132191
1973,2.2391004545502216
1974,0.1637126839735337
1975,0.18123248985681273
1976,-0.9566590720514339
1977,0.5678075109927379
1978,0.08063814211094773
1979,-0.5305306858220392
1980,0.43994749193497823
1981,-0.04802474625297582
1982,-0.5037726678561965
1983,-0.49327011755686617
1984,1.2073561404453343
1985,1.7090400821638987
1986,1.8482274995774366
1987,0.4501920442282022
1988,0.345622240812988
1989,0.9833618105237447
1990,0.40058008160387376
1991,-0.3044903160968081
1992,0.2137211220245936
1993,1.2507882076197445
1994,1.2826483394835033
1995,-0.542218480785403
1996,0.6912620339033945
1997,-2.480339873801438
1998,0.3706900760227941
1999,-0.39893160475111844
2000,0.8522890075107832
2001,-0.23092149214605429
2002,-0.8294984259490278
2003,0.13652020359862777
2004,-0.24272632337607633
2005,-1.5684889800311115
2006,-0.8202975689365509
2007,-0.4596292066605822
2008,-0.36855292719187027
2009,-1.2412185819175567
2010,-1.6134089371459535
2011,-0.7943243959369423
2012,-1.5661857532771313
2013,0.7004226575567348
2014,0.08144279783408909
2015,-2.577390367772344
2016,-0.34025983652213604
2017,-1.1354663246760124
2018,0.379362623864326
2019,-0.1643569108225764
2020,-2.5067238509595846
2021,-0.3059369496867447
2022,-2.029105158033568
2023,-6.201153847403382
