year,spi
1981,0.2583532293676304
1982,-0.3719886934112991
1983,-1.6834947481388047
1984,1.7616239376814997
1985,1.350482378019108
1986,1.2617316663650988
1987,-0.5894164671325061
1988,0.0078029415982133294
1989,1.593296441522444
1990,0.13139136272126078
1991,-1.2393734191469212
1992,-0.9288651123855804
1993,0.602406509051408
1994,0.2804141468016563
1995,-0.9629668191110865
1996,0.5107799498869653
1997,-2.97645481271949
1998,0.21687977389051152
1999,0.057518227342117624
2000,1.0344560757958647
2001,0.08213900106923677
2002,-0.27509752599937354
2003,0.6602243392825632
2004,0.6879603591742778
2005,-1.2369936563476576
2006,0.6156626753326204
2007,0.23477137422195773
2008,0.14957193024872348
2009,-0.5052562937245673
2010,-0.7301866811202972
2011,0.3249643286985014
2012,-0.11299044632947715
2013,2.423270240060091
2014,0.6790876016486765
2015,-3.03244865752667
2016,0.5850981507825914
2017,-0.14646113903881533
2018,1.2607422546224722
2019,1.0972248038128272
2020,-0.46063616523781137
2021,1.156132426971204
2022,0.6916091396551517
2023,-3.5143590024792086
