year,spi
1979,-0.5784712818609918
1980,-0.10217384570392302
1981,0.059289087679685944
1982,-0.6330689612379164
1983,-1.4962793033064568
1984,1.5211263331091076
1985,1.1335728325459133
1986,1.3583396946119648
1987,-0.5659051696711087
1988,0.23839911123402815
1989,1.427149545485447
1990,0.37800531060771525
1991,-1.2997574136474288
1992,-0.5663171620039413
1993,0.7880485747776133
1994,0.5718302872246872
1995,-1.1257439160849372
1996,0.4635873332349654
1997,-3.153541021775126
1998,0.19083797890064622
1999,-0.04919743446908768
2000,1.3297166577815547
2001,0.6464022378603608
2002,-0.14173690207421308
2003,0.7712796925900329
2004,0.7279638015861917
2005,-1.5442939475560822
2006,0.09729474045042118
2007,0.15353953102000528
2008,-0.013180327226808888
2009,-0.22904587954181369
2010,-0.9509418716917266
2011,0.20060946468960086
2012,-0.32627192059771043
2013,1.8427382756918222
2014,0.999273482331361
2015,-1.8238706340550308
2016,0.8257631731306504
2017,-0.1861085604877867
2018,0.9837920652219834
2019,0.46467277894239173
2020,-0.8525623185887162
2021,1.1302575249860543
2022,0.830572854781234
2023,-3.1063893244137746
