year,spei
1971,1.1023826849437683
1972,0.9228015559242382
1973,0.6195020552979015
1974,0.9195870816588043
1975,0.60768469998093
1976,0.5592484193209819
1977,0.5562628933589863
1978,0.9486686387447051
1979,-0.2680373182060705
1980,-1.879495554349147
1981,-1.0264910830858702
1982,0.17898422163472386
1983,-0.7400643733610163
1984,0.2036061638009292
1985,1.4116718079737163
1986,1.5347453552534536
1987,0.8823845187690279
1988,0.4618727911225677
1989,1.692712929180845
1990,1.4561463950699398
1991,0.3515980200315564
1992,-0.3996639774641187
1993,0.5275709176356869
1994,1.552654010751033
1995,0.4581345957104185
1996,-0.12173150197911331
1997,-0.3528967834369736
1998,-1.3892076430121636
1999,-0.004638935806145063
2000,1.048006270514572
2001,0.4424149813605895
2002,-1.0293568979325665
2003,-1.2509837305266176
2004,-0.8499808686901652
2005,-1.1686151556640452
2006,-0.9066054971890063
2007,-0.7430775675769549
2008,-0.09940419194184386
2009,0.8739592183888913
2010,-0.8426316383810317
2011,-0.9042596854590678
2012,0.4562547859534858
2013,0.7782536430109898
2014,1.2925852244501037
2015,-0.15364620065497017
2016,-1.239885882884441
2017,-0.16487300476134614
2018,0.6510383699405267
2019,0.75213085584826
2020,-1.3932671445383187
2021,-1.2295499763729258
2022,-0.8880653465172135
2023,-4.113348491612636
