year,dayofyear
1950,140.0
1951,80.0
1952,86.0
1953,97.0
1954,67.0
1955,58.0
1956,72.0
1957,117.0
1958,114.0
1959,159.0
1960,149.0
1961,78.0
1962,90.0
1963,50.0
1964,168.0
1965,115.0
1966,86.0
1967,
1968,105.0
1969,105.0
1970,65.0
1971,128.0
1972,53.0
1973,80.0
1974,69.0
1975,160.0
1976,119.0
1977,114.0
1978,144.0
1979,157.0
1980,152.0
1981,98.0
1982,73.0
1983,60.0
1984,112.0
1985,163.0
1986,100.0
1987,122.0
1988,80.0
1989,170.0
1990,92.0
1991,48.0
1992,70.0
1993,167.0
1994,60.0
1995,124.0
1996,78.0
1997,151.0
1998,158.0
1999,146.0
2000,126.0
2001,109.0
2002,98.0
2003,87.0
2004,52.0
2005,87.0
2006,129.0
2007,120.0
2008,297.0
2009,25.0
2010,92.0
2011,48.0
2012,136.0
2013,107.0
2014,65.0
2015,65.0
2016,48.0
2017,87.0
2018,75.0
2019,60.0
2020,32.0
2021,71.0
2022,110.0
2023,111.0
2024,119.0
2025,165.0
2026,107.0
2027,108.0
2028,155.0
2029,87.0
2030,138.0
2031,82.0
2032,52.0
2033,85.0
2034,86.0
2035,65.0
2036,65.0
2037,115.0
2038,121.0
2039,53.0
2040,171.0
2041,69.0
2042,66.0
2043,95.0
2044,66.0
2045,176.0
2046,105.0
2047,52.0
2048,63.0
2049,71.0
2050,81.0
2051,70.0
2052,122.0
2053,132.0
2054,180.0
2055,87.0
2056,77.0
2057,57.0
2058,127.0
2059,84.0
2060,80.0
2061,90.0
2062,134.0
2063,115.0
2064,129.0
2065,98.0
2066,134.0
2067,81.0
2068,108.0
2069,52.0
2070,118.0
2071,
2072,79.0
2073,87.0
2074,64.0
2075,67.0
2076,116.0
2077,131.0
2078,129.0
2079,112.0
2080,62.0
2081,98.0
2082,117.0
2083,145.0
2084,71.0
2085,67.0
2086,95.0
2087,64.0
2088,133.0
2089,107.0
2090,65.0
2091,77.0
2092,137.0
2093,59.0
2094,116.0
2095,99.0
2096,167.0
2097,116.0
2098,119.0
2099,85.0
2100,127.0
