year,dayofyear
1951,137.0
1952,108.0
1953,59.0
1954,107.0
1955,128.0
1956,59.0
1957,123.0
1958,81.0
1959,158.0
1960,115.0
1961,151.0
1962,50.0
1963,106.0
1964,101.0
1965,108.0
1966,67.0
1967,117.0
1968,69.0
1969,94.0
1970,75.0
1971,141.0
1972,135.0
1973,171.0
1974,118.0
1975,246.0
1976,126.0
1977,96.0
1978,150.0
1979,167.0
1980,169.0
1981,105.0
1982,84.0
1983,141.0
1984,135.0
1985,92.0
1986,32.0
1987,125.0
1988,69.0
1989,92.0
1990,81.0
1991,130.0
1992,77.0
1993,329.0
1994,84.0
1995,105.0
1996,75.0
1997,111.0
1998,86.0
1999,80.0
2000,126.0
2001,118.0
2002,231.0
2003,52.0
2004,32.0
2005,84.0
2006,55.0
2007,163.0
2008,135.0
2009,104.0
2010,95.0
2011,128.0
2012,158.0
2013,120.0
2014,120.0
2015,90.0
2016,111.0
2017,57.0
2018,84.0
2019,
2020,109.0
2021,85.0
2022,161.0
2023,91.0
2024,103.0
2025,96.0
2026,108.0
2027,80.0
2028,71.0
2029,317.0
2030,94.0
2031,116.0
2032,57.0
2033,115.0
2034,187.0
2035,112.0
2036,147.0
2037,136.0
2038,48.0
2039,96.0
2040,99.0
2041,99.0
2042,119.0
2043,146.0
2044,174.0
2045,77.0
2046,115.0
2047,81.0
2048,83.0
2049,126.0
2050,115.0
2051,51.0
2052,91.0
2053,150.0
2054,71.0
2055,119.0
2056,120.0
2057,56.0
2058,89.0
2059,123.0
2060,78.0
2061,86.0
2062,84.0
2063,98.0
2064,76.0
2065,61.0
2066,147.0
2067,81.0
2068,85.0
2069,126.0
2070,109.0
2071,112.0
2072,79.0
2073,98.0
2074,96.0
2075,74.0
2076,121.0
2077,128.0
2078,334.0
2079,88.0
2080,87.0
2081,124.0
2082,64.0
2083,66.0
2084,114.0
2085,102.0
2086,92.0
2087,90.0
2088,91.0
2089,109.0
2090,94.0
2091,105.0
2092,133.0
2093,99.0
2094,109.0
2095,102.0
2096,151.0
2097,152.0
2098,137.0
2099,78.0
2100,94.0
