year,dc_doy
1950,197
1951,152
1952,88
1953,105
1954,95
1955,121
1956,108
1957,142
1958,105
1959,129
1960,121
1961,73
1962,110
1963,37
1964,66
1965,90
1966,98
1967,108
1968,134
1969,90
1970,85
1971,-16
1972,100
1973,103
1974,81
1975,91
1976,81
1977,143
1978,127
1979,17
1980,82
1981,168
1982,91
1983,140
1984,16
1985,23
1986,123
1987,112
1988,102
1989,74
1990,90
