year,dsr7x
1940,0.48730018734931946
1941,21.516637802124023
1942,18.68221664428711
1943,28.14874839782715
1944,23.577123641967773
1945,14.805523872375488
1946,12.683603286743164
1947,3.290719747543335
1948,19.486419677734375
1949,26.48152732849121
1950,10.118778228759766
1951,12.146038055419922
1952,2.1462955474853516
1953,4.634867191314697
1954,26.424097061157227
1955,12.991952896118164
1956,4.61572265625
1957,37.602020263671875
1958,16.210100173950195
1959,30.6881160736084
1960,37.423927307128906
1961,23.872982025146484
1962,8.221724510192871
1963,13.944674491882324
1964,19.82170867919922
1965,8.082853317260742
1966,2.322693347930908
1967,7.75919246673584
1968,6.563072681427002
1969,13.959583282470703
1970,20.94443702697754
1971,4.664186954498291
1972,6.521751880645752
1973,6.89097785949707
1974,7.422024726867676
1975,14.41478443145752
1976,23.362873077392578
1977,21.32501220703125
1978,20.60836410522461
1979,3.225064277648926
1980,16.473217010498047
1981,19.25305938720703
1982,6.3209404945373535
1983,6.773386001586914
1984,6.07231330871582
1985,1.9886586666107178
1986,6.815229892730713
1987,9.948051452636719
1988,3.1552133560180664
1989,17.768478393554688
1990,23.53108787536621
1991,18.68074607849121
1992,16.9539794921875
1993,19.187223434448242
1994,9.220224380493164
1995,5.451788902282715
1996,14.912393569946289
1997,3.452317476272583
1998,1.6142622232437134
1999,7.751321792602539
2000,19.78515625
2001,13.731931686401367
2002,5.155137062072754
2003,6.45253324508667
2004,8.238790512084961
2005,5.13997220993042
2006,12.5311918258667
2007,27.065513610839844
2008,18.41277503967285
2009,9.658804893493652
2010,14.598698616027832
2011,5.397237777709961
2012,12.195088386535645
2013,8.352418899536133
2014,26.968273162841797
2015,17.811939239501953
2016,15.729344367980957
2017,7.123310565948486
2018,38.71114730834961
2019,6.574365615844727
2020,5.0956645011901855
2021,30.45940589904785
2022,25.77092933654785
2023,7.781006813049316
2024,15.814376831054688
2025,22.35662078857422
