year,spatial_ref,spi_ond
1895,0,-0.2243026115115612
1896,0,0.5973389248426441
1897,0,-0.1750081109730052
1898,0,-1.0902310161295996
1899,0,0.18711351308153656
1900,0,0.6683891957453735
1901,0,-0.5787996697284873
1902,0,0.6296798847551496
1903,0,-2.846690004599641
1904,0,-0.5839923519690294
1905,0,0.1659374344664906
1906,0,1.231613502823916
1907,0,0.10968522977156228
1908,0,-0.2899417864351815
1909,0,1.5329183713380652
1910,0,-0.6483949878958493
1911,0,-0.8943868095544176
1912,0,-0.8358454697946769
1913,0,0.3057907577831954
1914,0,0.635902376927128
1915,0,0.26889488436427084
1916,0,0.7687570871166886
1917,0,-1.8120944926317675
1918,0,0.3578278074872408
1919,0,0.16901938443906753
1920,0,-0.1696384418933094
1921,0,1.9093120199766656
1922,0,0.7924611249979349
1923,0,-0.18260519685645463
1924,0,0.13543639520248502
1925,0,0.5324803025024756
1926,0,0.8491005417552434
1927,0,1.0706723354384746
1928,0,0.3984988163188586
1929,0,-3.3018807636213077
1930,0,-0.3965954438361078
1931,0,1.573694331528459
1932,0,0.13944214956400883
1933,0,0.4756829828487974
1934,0,1.2282187140027236
1935,0,-0.7426684250359133
1936,0,1.6474823142095272
1937,0,-0.2432768761420457
1938,0,0.958188949000285
1939,0,-0.7735500873781244
1940,0,1.5827564269519065
1941,0,1.2633515209344286
1942,0,-0.4860370590446397
1943,0,1.1894421121228862
1944,0,0.8394169978221007
1945,0,0.8856058954816336
1946,0,1.5770530330381016
1947,0,-0.22696327436174682
1948,0,0.02427523642824273
1949,0,0.26528527595120843
1950,0,-0.753674078866972
1951,0,1.3100291442756058
1952,0,1.0417523967978635
1953,0,-0.9125181301115726
1954,0,-0.3051186465696096
1955,0,-0.24993694624970647
1956,0,-1.7301857505628673
1957,0,0.8483670131351767
1958,0,-1.8045526021065856
1959,0,-0.34275045070150467
1960,0,-0.1008382826124461
1961,0,0.1655108181504962
1962,0,-2.0762910733071087
1963,0,0.07221993863518524
1964,0,0.3406360749813953
1965,0,1.9855066037480227
1966,0,1.6052393351936964
1967,0,0.9744048379842349
1968,0,-0.45853712053874157
1969,0,-0.6749070409217202
1970,0,1.341588009371159
1971,0,1.025750561398201
1972,0,0.7365975311692076
1973,0,-0.3238163260127819
1974,0,0.49701785078598615
1975,0,-0.9451947148550803
1976,0,-0.5585194557070553
1977,0,0.37754269381962324
1978,0,0.6524575242953005
1979,0,-0.5784771731375874
1980,0,-1.2996008419198088
1981,0,-0.13951908837839802
1982,0,1.0390912024496095
1983,0,1.203363449042033
1984,0,1.2440598292292104
1985,0,0.8180283011481266
1986,0,-0.2716854965180629
1987,0,1.1467241886634087
1988,0,0.43580834539056085
1989,0,-1.4934768436195238
1990,0,-1.3606008692052147
1991,0,0.06144357585960712
1992,0,0.7862060561801585
1993,0,-0.3584078261324932
1994,0,-0.3530105087956797
1995,0,-1.0864841463208659
1996,0,1.1903780106864765
1997,0,0.8930849252134515
1998,0,-0.49168039143614056
1999,0,-2.03089576258818
2000,0,-0.9248095386268012
2001,0,-0.14400015793834234
2002,0,0.5359558825681523
2003,0,-0.40935125738483275
2004,0,1.61101735841498
2005,0,-0.5539159000483225
2006,0,-1.1825916638628946
2007,0,0.01972756823929001
2008,0,0.671948713785732
2009,0,0.40657116846601776
2010,0,2.213607714123519
2011,0,0.2517588658984095
2012,0,0.1533846591185181
2013,0,-0.6883088847117227
2014,0,0.6071117046773167
2015,0,-0.4991178240774883
2016,0,0.8843502452862296
2017,0,-2.960732078402007
2018,0,0.45464626058306845
2019,0,1.257182951427369
2020,0,-0.624195101262288
2021,0,1.2141498702092162
2022,0,0.5817148952207477
2023,0,-0.1985326668481313
