year,dc_doy
1950,138
1951,60
1952,89
1953,141
1954,152
1955,61
1956,159
1957,49
1958,174
1959,109
1960,83
1961,149
1962,48
1963,132
1964,145
1965,94
1966,165
1967,92
1968,107
1969,82
1970,209
1971,134
1972,168
1973,151
1974,198
1975,123
1976,126
1977,130
1978,171
1979,81
1980,123
1981,105
1982,149
1983,176
1984,77
1985,125
1986,122
1987,102
1988,89
1989,51
1990,141
1991,82
1992,56
1993,119
1994,100
1995,54
1996,104
1997,87
1998,46
1999,154
2000,87
2001,125
2002,85
2003,46
2004,118
2005,88
2006,176
2007,169
2008,93
2009,130
2010,165
2011,141
2012,207
2013,96
2014,61
2015,84
2016,72
2017,119
2018,145
2019,91
2020,119
2021,95
2022,106
2023,86
2024,44
2025,128
2026,65
2027,91
2028,188
2029,125
2030,54
2031,144
2032,143
2033,171
2034,109
2035,165
2036,172
2037,146
2038,144
2039,185
2040,71
2041,152
2042,196
2043,74
2044,104
2045,150
2046,109
2047,47
2048,71
2049,149
2050,57
2051,121
2052,145
2053,102
2054,156
2055,112
2056,84
2057,120
2058,100
2059,114
2060,70
2061,93
2062,134
2063,110
2064,67
2065,114
2066,102
2067,87
2068,124
2069,91
2070,87
2071,112
2072,126
2073,90
2074,109
2075,61
2076,154
2077,-33
2078,95
2079,89
2080,101
2081,93
2082,65
2083,106
2084,148
2085,85
2086,82
2087,124
2088,36
2089,127
2090,119
2091,171
2092,135
2093,79
2094,150
2095,-41
2096,186
2097,81
2098,111
2099,117
