year,dayofyear
1940,145
1941,78
1942,71
1943,113
1944,71
1945,42
1946,73
1947,43
1948,66
1949,78
1950,68
1951,65
1952,62
1953,47
1954,107
1955,89
1956,85
1957,104
1958,21
1959,98
1960,85
1961,37
1962,56
1963,122
1964,37
1965,48
1966,47
1967,38
1968,51
1969,86
1970,42
1971,60
1972,83
1973,45
1974,62
1975,64
1976,128
1977,94
1978,88
1979,52
1980,85
1981,119
1982,59
1983,49
1984,32
1985,55
1986,42
1987,49
1988,27
1989,77
1990,105
1991,96
1992,89
1993,68
1994,72
1995,83
1996,114
1997,52
1998,57
1999,67
2000,135
2001,102
2002,75
2003,59
2004,86
2005,20
2006,92
2007,119
2008,69
2009,57
2010,68
2011,30
2012,43
2013,74
2014,118
2015,64
2016,80
2017,76
2018,101
2019,60
2020,59
2021,115
2022,75
2023,39
2024,82
