year,dayofyear
1950,165.0
1951,118.0
1952,127.0
1953,66.0
1954,108.0
1955,83.0
1956,115.0
1957,70.0
1958,128.0
1959,156.0
1960,68.0
1961,116.0
1962,49.0
1963,77.0
1964,102.0
1965,78.0
1966,214.0
1967,137.0
1968,45.0
1969,104.0
1970,32.0
1971,82.0
1972,111.0
1973,49.0
1974,77.0
1975,156.0
1976,124.0
1977,46.0
1978,56.0
1979,40.0
1980,43.0
1981,81.0
1982,171.0
1983,124.0
1984,142.0
1985,90.0
1986,97.0
1987,68.0
1988,77.0
1989,40.0
1990,47.0
1991,67.0
1992,102.0
1993,50.0
1994,75.0
1995,48.0
1996,126.0
1997,72.0
1998,54.0
1999,30.0
2000,125.0
2001,61.0
2002,149.0
2003,266.0
2004,71.0
2005,126.0
2006,156.0
2007,118.0
2008,97.0
2009,108.0
2010,119.0
2011,46.0
2012,133.0
2013,60.0
2014,191.0
2015,97.0
2016,106.0
2017,40.0
2018,39.0
2019,30.0
2020,277.0
2021,66.0
2022,147.0
2023,129.0
2024,73.0
2025,56.0
2026,118.0
2027,57.0
2028,115.0
2029,84.0
2030,16.0
2031,139.0
2032,81.0
2033,39.0
2034,121.0
2035,66.0
2036,78.0
2037,95.0
2038,95.0
2039,100.0
2040,76.0
2041,48.0
2042,167.0
2043,
2044,43.0
2045,103.0
2046,97.0
2047,81.0
2048,59.0
2049,79.0
2050,136.0
2051,70.0
2052,116.0
2053,140.0
2054,161.0
2055,149.0
2056,74.0
2057,59.0
2058,69.0
2059,136.0
2060,175.0
2061,182.0
2062,120.0
2063,286.0
2064,166.0
2065,35.0
2066,86.0
2067,153.0
2068,140.0
2069,96.0
2070,72.0
2071,118.0
2072,101.0
2073,76.0
2074,79.0
2075,159.0
2076,105.0
2077,74.0
2078,77.0
2079,52.0
2080,71.0
2081,101.0
2082,99.0
2083,64.0
2084,152.0
2085,117.0
2086,127.0
2087,66.0
2088,105.0
2089,79.0
2090,73.0
2091,86.0
2092,43.0
2093,57.0
2094,130.0
2095,111.0
2096,87.0
2097,84.0
2098,120.0
2099,140.0
