year,fwi1x
1950,14.288623809814451
1951,16.48680877685547
1952,19.73324584960937
1953,12.8155517578125
1954,24.13947105407715
1955,26.974096298217773
1956,13.863792419433594
1957,23.69191169738769
1958,15.457315444946287
1959,22.38068962097168
1960,23.21230697631836
1961,23.35186195373535
1962,26.061767578125
1963,20.702611923217773
1964,14.467286109924316
1965,19.85672187805176
1966,11.081708908081056
1967,25.61343002319336
1968,7.733311653137207
1969,9.983922958374023
1970,10.378857612609863
1971,18.88747787475586
1972,20.669750213623047
1973,25.00452423095703
1974,22.72000312805176
1975,23.432348251342773
1976,18.725521087646484
1977,15.496707916259766
1978,21.63668632507324
1979,27.1461238861084
1980,26.472915649414062
1981,12.080070495605469
1982,9.662663459777832
1983,21.786043167114254
1984,21.98005104064941
1985,9.79578685760498
1986,11.925868034362791
1987,18.95659065246582
1988,8.292466163635254
1989,20.94105529785156
1990,19.00259017944336
1991,6.257820129394531
1992,19.900333404541016
1993,10.86067008972168
1994,23.934659957885746
1995,18.923046112060547
1996,22.281435012817383
1997,18.35859489440918
1998,23.17196655273437
1999,22.25982093811035
2000,26.05189323425293
2001,16.475753784179688
2002,16.468374252319336
2003,10.297616004943848
2004,15.11600399017334
2005,13.362879753112791
2006,14.855090141296388
2007,15.162617683410645
2008,13.3162202835083
2009,25.494091033935547
2010,17.83195686340332
2011,18.06875228881836
2012,14.103368759155272
2013,22.738874435424805
2014,27.85460662841797
2015,14.644618034362791
2016,20.098447799682617
2017,17.492734909057617
2018,23.305992126464844
2019,15.2620849609375
2020,10.945688247680664
2021,27.92393684387207
2022,13.624491691589355
2023,15.243241310119627
2024,16.784015655517578
2025,20.97944641113281
2026,11.886676788330078
2027,11.941780090332031
2028,18.48857688903809
2029,12.780113220214844
2030,26.456430435180664
2031,10.997546195983888
2032,25.599584579467773
2033,11.987536430358888
2034,26.927141189575195
2035,29.427993774414062
2036,27.53270149230957
2037,27.93882942199707
2038,25.264543533325195
2039,22.52978515625
2040,20.21449851989746
2041,25.85037422180176
2042,17.285362243652344
2043,23.11027717590332
2044,26.23047637939453
2045,28.04609489440918
2046,4.027064323425293
2047,22.099607467651367
2048,18.986228942871094
2049,13.486408233642578
2050,23.241111755371094
2051,25.45738410949707
2052,26.89909553527832
2053,13.47688102722168
2054,22.00575256347656
2055,16.45907974243164
2056,18.88743782043457
2057,22.91529083251953
2058,11.824674606323242
2059,10.833003044128418
2060,17.08562469482422
2061,12.45368766784668
2062,19.491273880004883
2063,6.009881496429443
2064,7.151835441589356
2065,20.39091682434082
2066,26.05250358581543
2067,17.134986877441406
2068,4.437929153442383
2069,24.9152889251709
2070,23.003612518310547
2071,21.367616653442383
2072,7.225523471832275
2073,9.715653419494627
2074,10.57624626159668
2075,17.71078109741211
2076,24.23026657104492
2077,27.653566360473636
2078,22.00508499145508
2079,8.10916805267334
2080,15.948959350585938
2081,23.4113826751709
2082,11.62977409362793
2083,7.491153717041016
2084,15.401830673217772
2085,14.58613395690918
2086,6.955320835113525
2087,22.95360565185547
2088,20.51973533630371
2089,14.67691707611084
2090,8.95019245147705
2091,15.308613777160645
2092,21.480491638183597
2093,11.191272735595703
2094,17.6536922454834
2095,13.673917770385742
2096,23.48541641235352
2097,27.0848331451416
2098,24.52262115478516
2099,7.888429164886475
