time,offset_time,year,dayofyear
1940-12-18 20:00:00,1941-03-18 20:00:00,1940,77.0
1942-01-01 20:00:00,1942-04-01 20:00:00,1941,91.0
1943-01-23 20:00:00,1943-04-23 20:00:00,1942,113.0
1943-12-11 20:00:00,1944-03-10 20:00:00,1943,70.0
1944-11-11 20:00:00,1945-02-09 20:00:00,1944,40.0
1945-12-26 20:00:00,1946-03-26 20:00:00,1945,85.0
1946-11-14 20:00:00,1947-02-12 20:00:00,1946,43.0
1947-12-07 20:00:00,1948-03-06 20:00:00,1947,66.0
1948-12-22 20:00:00,1949-03-22 20:00:00,1948,81.0
1949-11-12 20:00:00,1950-02-10 20:00:00,1949,41.0
1950-11-19 20:00:00,1951-02-17 20:00:00,1950,48.0
1951-11-25 20:00:00,1952-02-23 20:00:00,1951,54.0
1952-11-19 20:00:00,1953-02-17 20:00:00,1952,48.0
1953-11-19 20:00:00,1954-02-17 20:00:00,1953,48.0
1954-11-15 20:00:00,1955-02-13 20:00:00,1954,44.0
1955-11-17 20:00:00,1956-02-15 20:00:00,1955,46.0
1957-01-09 20:00:00,1957-04-09 20:00:00,1956,99.0
1957-10-16 20:00:00,1958-01-14 20:00:00,1957,14.0
1959-01-08 20:00:00,1959-04-08 20:00:00,1958,98.0
1959-12-26 20:00:00,1960-03-25 20:00:00,1959,85.0
1960-11-09 20:00:00,1961-02-07 20:00:00,1960,38.0
1961-11-26 20:00:00,1962-02-24 20:00:00,1961,55.0
1963-09-22 20:00:00,1963-12-21 20:00:00,1962,355.0
1963-11-21 20:00:00,1964-02-19 20:00:00,1963,50.0
1964-11-14 20:00:00,1965-02-12 20:00:00,1964,43.0
1965-11-19 20:00:00,1966-02-17 20:00:00,1965,48.0
1966-11-12 20:00:00,1967-02-10 20:00:00,1966,41.0
1967-11-22 20:00:00,1968-02-20 20:00:00,1967,51.0
1969-01-24 20:00:00,1969-04-24 20:00:00,1968,114.0
1969-11-11 20:00:00,1970-02-09 20:00:00,1969,40.0
1970-12-01 20:00:00,1971-03-01 20:00:00,1970,60.0
1971-12-27 20:00:00,1972-03-26 20:00:00,1971,86.0
1972-11-17 20:00:00,1973-02-15 20:00:00,1972,46.0
1974-01-07 20:00:00,1974-04-07 20:00:00,1973,97.0
1974-11-03 20:00:00,1975-02-01 20:00:00,1974,32.0
1976-02-10 20:00:00,1976-05-10 20:00:00,1975,131.0
1977-08-19 20:00:00,1977-11-17 20:00:00,1976,321.0
1977-12-28 20:00:00,1978-03-28 20:00:00,1977,87.0
1978-11-16 20:00:00,1979-02-14 20:00:00,1978,45.0
1980-01-13 20:00:00,1980-04-12 20:00:00,1979,103.0
1980-12-09 20:00:00,1981-03-09 20:00:00,1980,68.0
1981-12-01 20:00:00,1982-03-01 20:00:00,1981,60.0
1982-11-13 20:00:00,1983-02-11 20:00:00,1982,42.0
1983-10-05 20:00:00,1984-01-03 20:00:00,1983,3.0
1984-11-13 20:00:00,1985-02-11 20:00:00,1984,42.0
1985-11-15 20:00:00,1986-02-13 20:00:00,1985,44.0
1986-11-23 20:00:00,1987-02-21 20:00:00,1986,52.0
1987-10-17 20:00:00,1988-01-15 20:00:00,1987,15.0
1988-12-21 20:00:00,1989-03-21 20:00:00,1988,80.0
1990-01-18 20:00:00,1990-04-18 20:00:00,1989,108.0
1991-03-05 20:00:00,1991-06-03 20:00:00,1990,154.0
1992-01-02 20:00:00,1992-04-01 20:00:00,1991,92.0
1992-12-09 20:00:00,1993-03-09 20:00:00,1992,68.0
1994-02-08 20:00:00,1994-05-09 20:00:00,1993,129.0
1995-01-09 20:00:00,1995-04-09 20:00:00,1994,99.0
1995-12-18 20:00:00,1996-03-17 20:00:00,1995,77.0
1996-10-31 20:00:00,1997-01-29 20:00:00,1996,29.0
1997-12-06 20:00:00,1998-03-06 20:00:00,1997,65.0
1998-12-04 20:00:00,1999-03-04 20:00:00,1998,63.0
2000-02-16 20:00:00,2000-05-16 20:00:00,1999,137.0
2001-01-14 20:00:00,2001-04-14 20:00:00,2000,104.0
2001-11-30 20:00:00,2002-02-28 20:00:00,2001,59.0
2002-11-10 20:00:00,2003-02-08 20:00:00,2002,39.0
2004-02-26 20:00:00,2004-05-26 20:00:00,2003,147.0
2004-10-22 20:00:00,2005-01-20 20:00:00,2004,20.0
2006-01-03 20:00:00,2006-04-03 20:00:00,2005,93.0
2007-09-23 20:00:00,2007-12-22 20:00:00,2006,356.0
2007-12-06 20:00:00,2008-03-05 20:00:00,2007,65.0
2008-11-29 20:00:00,2009-02-27 20:00:00,2008,58.0
2009-12-13 20:00:00,2010-03-13 20:00:00,2009,72.0
2010-12-22 20:00:00,2011-03-22 20:00:00,2010,81.0
2011-10-10 20:00:00,2012-01-08 20:00:00,2011,8.0
2012-12-18 20:00:00,2013-03-18 20:00:00,2012,77.0
2014-03-04 20:00:00,2014-06-02 20:00:00,2013,153.0
2014-12-06 20:00:00,2015-03-06 20:00:00,2014,65.0
2016-01-09 20:00:00,2016-04-08 20:00:00,2015,99.0
2016-12-21 20:00:00,2017-03-21 20:00:00,2016,80.0
2018-01-09 20:00:00,2018-04-09 20:00:00,2017,99.0
2018-12-05 20:00:00,2019-03-05 20:00:00,2018,64.0
2019-12-03 20:00:00,2020-03-02 20:00:00,2019,62.0
2021-01-02 20:00:00,2021-04-02 20:00:00,2020,92.0
2021-12-15 20:00:00,2022-03-15 20:00:00,2021,74.0
2022-11-08 20:00:00,2023-02-06 20:00:00,2022,37.0
2024-02-07 20:00:00,2024-05-07 20:00:00,2023,128.0
