year,dsr5x
1940,0.5511507391929626
1941,20.765953063964844
1942,14.635794639587402
1943,30.7857666015625
1944,23.14727783203125
1945,17.127470016479492
1946,12.876083374023438
1947,3.3020355701446533
1948,19.705753326416016
1949,28.22211265563965
1950,10.584665298461914
1951,13.274321556091309
1952,2.5271201133728027
1953,5.431136131286621
1954,28.316797256469727
1955,14.87059211730957
1956,4.852515697479248
1957,41.62056350708008
1958,20.119508743286133
1959,33.598323822021484
1960,38.79157257080078
1961,25.898639678955078
1962,9.505617141723633
1963,14.371882438659668
1964,19.203535079956055
1965,9.758159637451172
1966,2.716179132461548
1967,8.399683952331543
1968,6.823838710784912
1969,14.182089805603027
1970,21.9107666015625
1971,5.384953498840332
1972,7.720401763916016
1973,7.74529504776001
1974,8.188558578491211
1975,13.654330253601074
1976,23.637420654296875
1977,21.572391510009766
1978,20.678007125854492
1979,3.32890248298645
1980,17.441638946533203
1981,18.67742347717285
1982,7.215816497802734
1983,7.3805742263793945
1984,6.98162317276001
1985,2.052654981613159
1986,8.41214370727539
1987,10.640348434448242
1988,2.9220268726348877
1989,19.690908432006836
1990,24.21712303161621
1991,19.573972702026367
1992,16.299819946289062
1993,19.388999938964844
1994,8.637378692626953
1995,6.958637237548828
1996,16.202245712280273
1997,3.506347417831421
1998,1.7917978763580322
1999,7.659989833831787
2000,21.179824829101562
2001,15.293878555297852
2002,6.025261878967285
2003,5.004154682159424
2004,9.025481224060059
2005,5.680358409881592
2006,12.875447273254395
2007,28.38966178894043
2008,17.46247100830078
2009,10.066882133483887
2010,10.158047676086426
2011,5.717836856842041
2012,13.427261352539062
2013,8.96602725982666
2014,28.521142959594727
2015,15.710055351257324
2016,15.878448486328125
2017,8.615012168884277
2018,40.445838928222656
2019,5.487275123596191
2020,6.3203630447387695
2021,29.8627986907959
2022,22.377059936523438
2023,4.909817695617676
2024,15.649820327758789
2025,24.640480041503906
