year,dayofyear
1950,146.0
1951,71.0
1952,116.0
1953,94.0
1954,233.0
1955,64.0
1956,66.0
1957,54.0
1958,53.0
1959,135.0
1960,64.0
1961,91.0
1962,85.0
1963,90.0
1964,124.0
1965,72.0
1966,41.0
1967,112.0
1968,366.0
1969,125.0
1970,57.0
1971,141.0
1972,100.0
1973,89.0
1974,102.0
1975,98.0
1976,78.0
1977,61.0
1978,68.0
1979,134.0
1980,86.0
1981,64.0
1982,84.0
1983,61.0
1984,86.0
1985,100.0
1986,128.0
1987,112.0
1988,55.0
1989,106.0
1990,107.0
1991,79.0
1992,126.0
1993,107.0
1994,96.0
1995,116.0
1996,137.0
1997,113.0
1998,84.0
1999,84.0
2000,100.0
2001,117.0
2002,85.0
2003,84.0
2004,166.0
2005,127.0
2006,132.0
2007,86.0
2008,177.0
2009,129.0
2010,101.0
2011,120.0
2012,177.0
2013,56.0
2014,92.0
2015,102.0
2016,115.0
2017,73.0
2018,85.0
2019,133.0
2020,93.0
2021,69.0
2022,92.0
2023,66.0
2024,85.0
2025,87.0
2026,47.0
2027,68.0
2028,120.0
2029,112.0
2030,115.0
2031,104.0
2032,127.0
2033,95.0
2034,169.0
2035,130.0
2036,99.0
2037,96.0
2038,90.0
2039,92.0
2040,65.0
2041,180.0
2042,120.0
2043,133.0
2044,95.0
2045,129.0
2046,95.0
2047,140.0
2048,86.0
2049,130.0
2050,105.0
2051,89.0
2052,118.0
2053,169.0
2054,123.0
2055,107.0
2056,159.0
2057,118.0
2058,123.0
2059,111.0
2060,158.0
2061,128.0
2062,80.0
2063,120.0
2064,120.0
2065,103.0
2066,156.0
2067,75.0
2068,83.0
2069,130.0
2070,97.0
2071,114.0
2072,107.0
2073,213.0
2074,92.0
2075,133.0
2076,64.0
2077,130.0
2078,78.0
2079,146.0
2080,79.0
2081,73.0
2082,83.0
2083,145.0
2084,125.0
2085,114.0
2086,102.0
2087,101.0
2088,108.0
2089,78.0
2090,127.0
2091,137.0
2092,96.0
2093,108.0
2094,124.0
2095,144.0
2096,118.0
2097,96.0
2098,85.0
2099,127.0
