year,dc_doy
1949,123
1950,106
1951,109
1952,49
1953,13
1954,45
1955,121
1956,108
1957,76
1958,98
1959,347
1960,119
1961,84
1962,112
1963,88
1964,66
1965,39
1966,126
1967,108
1968,64
1969,360
1970,79
1971,349
1972,149
1973,348
1974,111
1975,91
1976,81
1977,354
1978,129
1979,88
1980,82
1981,45
1982,189
1983,81
1984,351
1985,87
1986,122
1987,321
1988,103
1989,74
1990,80
1991,189
1992,99
1993,96
1994,63
1995,57
1996,56
1997,181
1998,33
1999,123
2000,57
2001,78
2002,13
2003,364
2004,39
2005,117
2006,44
2007,110
2008,15
2009,54
2010,72
2011,50
2012,362
2013,110
2014,111
2015,86
2016,107
2017,82
2018,69
2019,103
2020,83
2021,99
2022,349
2023,42
2024,13
2025,154
2026,108
2027,61
2028,137
2029,338
2030,26
2031,122
2032,78
2033,122
2034,111
2035,102
2036,88
2037,91
2038,15
2039,13
2040,174
2041,73
2042,32
2043,97
2044,30
2045,109
2046,87
2047,336
2048,114
2049,107
2050,40
2051,13
2052,90
2053,73
2054,360
2055,66
2056,349
2057,62
2058,13
2059,358
2060,82
2061,16
2062,27
2063,96
2064,109
2065,85
2066,71
2067,341
2068,128
2069,103
2070,15
2071,84
2072,112
2073,87
2074,106
2075,112
2076,24
2077,50
2078,107
2079,14
2080,92
2081,98
2082,71
2083,26
2084,26
2085,13
2086,27
2087,15
2088,116
2089,119
2090,34
2091,14
2092,357
2093,70
2094,76
2095,43
2096,67
2097,59
2098,81
2099,362
