year,dayofyear
1949,147.0
1950,70.0
1951,146.0
1952,75.0
1953,123.0
1954,123.0
1955,94.0
1956,98.0
1957,79.0
1958,63.0
1959,95.0
1960,93.0
1961,82.0
1962,123.0
1963,146.0
1964,136.0
1965,103.0
1966,107.0
1967,103.0
1968,124.0
1969,127.0
1970,82.0
1971,96.0
1972,106.0
1973,129.0
1974,157.0
1975,96.0
1976,111.0
1977,96.0
1978,125.0
1979,69.0
1980,93.0
1981,82.0
1982,169.0
1983,93.0
1984,104.0
1985,140.0
1986,122.0
1987,83.0
1988,125.0
1989,141.0
1990,57.0
1991,170.0
1992,113.0
1993,79.0
1994,93.0
1995,134.0
1996,106.0
1997,103.0
1998,129.0
1999,78.0
2000,72.0
2001,97.0
2002,77.0
2003,116.0
2004,98.0
2005,101.0
2006,140.0
2007,117.0
2008,105.0
2009,135.0
2010,131.0
2011,85.0
2012,113.0
2013,71.0
2014,95.0
2015,114.0
2016,90.0
2017,58.0
2018,97.0
2019,102.0
2020,142.0
2021,130.0
2022,108.0
2023,102.0
2024,95.0
2025,70.0
2026,105.0
2027,105.0
2028,92.0
2029,15.0
2030,112.0
2031,114.0
2032,124.0
2033,144.0
2034,66.0
2035,129.0
2036,108.0
2037,105.0
2038,94.0
2039,88.0
2040,101.0
2041,50.0
2042,56.0
2043,94.0
2044,83.0
2045,96.0
2046,101.0
2047,151.0
2048,86.0
2049,104.0
2050,97.0
2051,79.0
2052,114.0
2053,111.0
2054,107.0
2055,61.0
2056,184.0
2057,71.0
2058,110.0
2059,110.0
2060,102.0
2061,136.0
2062,91.0
2063,82.0
2064,126.0
2065,210.0
2066,86.0
2067,83.0
2068,76.0
2069,109.0
2070,83.0
2071,91.0
2072,91.0
2073,89.0
2074,81.0
2075,77.0
2076,86.0
2077,122.0
2078,84.0
2079,80.0
2080,104.0
2081,107.0
2082,111.0
2083,111.0
2084,112.0
2085,85.0
2086,147.0
2087,127.0
2088,79.0
2089,135.0
2090,128.0
2091,104.0
2092,104.0
2093,79.0
2094,131.0
2095,107.0
2096,61.0
2097,79.0
2098,68.0
2099,105.0
2100,92.0
