year,dayofyear
1951,139.0
1952,96.0
1953,112.0
1954,93.0
1955,134.0
1956,66.0
1957,88.0
1958,98.0
1959,104.0
1960,97.0
1961,75.0
1962,63.0
1963,89.0
1964,118.0
1965,89.0
1966,68.0
1967,79.0
1968,145.0
1969,129.0
1970,59.0
1971,78.0
1972,77.0
1973,75.0
1974,52.0
1975,73.0
1976,66.0
1977,78.0
1978,72.0
1979,93.0
1980,154.0
1981,100.0
1982,81.0
1983,131.0
1984,86.0
1985,93.0
1986,91.0
1987,72.0
1988,86.0
1989,62.0
1990,59.0
1991,70.0
1992,70.0
1993,90.0
1994,100.0
1995,70.0
1996,77.0
1997,102.0
1998,111.0
1999,49.0
2000,66.0
2001,116.0
2002,67.0
2003,80.0
2004,74.0
2005,68.0
2006,54.0
2007,62.0
2008,83.0
2009,97.0
2010,82.0
2011,122.0
2012,66.0
2013,79.0
2014,101.0
2015,88.0
2016,124.0
2017,92.0
2018,100.0
2019,27.0
2020,126.0
2021,78.0
2022,87.0
2023,66.0
2024,100.0
2025,78.0
2026,108.0
2027,129.0
2028,81.0
2029,51.0
2030,226.0
2031,121.0
2032,146.0
2033,90.0
2034,93.0
2035,52.0
2036,189.0
2037,150.0
2038,291.0
2039,155.0
2040,96.0
2041,78.0
2042,345.0
2043,151.0
2044,140.0
2045,66.0
2046,106.0
2047,86.0
2048,106.0
2049,84.0
2050,120.0
2051,73.0
2052,141.0
2053,98.0
2054,60.0
2055,190.0
2056,112.0
2057,101.0
2058,97.0
2059,57.0
2060,118.0
2061,131.0
2062,105.0
2063,75.0
2064,122.0
2065,96.0
2066,118.0
2067,153.0
2068,71.0
2069,75.0
2070,80.0
2071,122.0
2072,133.0
2073,129.0
2074,122.0
2075,101.0
2076,114.0
2077,102.0
2078,120.0
2079,77.0
2080,39.0
2081,137.0
2082,161.0
2083,167.0
2084,93.0
2085,122.0
2086,76.0
2087,89.0
2088,126.0
2089,86.0
2090,100.0
2091,355.0
2092,149.0
2093,86.0
2094,124.0
2095,131.0
2096,93.0
2097,195.0
2098,95.0
2099,80.0
2100,87.0
