year,dc_doy
1950,163
1951,60
1952,94
1953,141
1954,162
1955,61
1956,80
1957,61
1958,76
1959,36
1960,93
1961,40
1962,49
1963,132
1964,144
1965,55
1966,117
1967,92
1968,32
1969,82
1970,53
1971,103
1972,165
1973,153
1974,142
1975,14
1976,126
1977,137
1978,104
1979,81
1980,121
1981,105
1982,148
1983,72
1984,77
1985,45
1986,13
1987,72
1988,89
1989,51
1990,127
1991,82
1992,-18
1993,80
1994,80
1995,53
1996,147
1997,88
1998,72
1999,55
2000,86
2001,116
2002,63
2003,46
2004,118
2005,88
2006,178
2007,74
2008,93
2009,96
2010,45
2011,141
2012,64
2013,97
2014,69
2015,142
2016,73
2017,119
2018,147
2019,91
2020,78
2021,81
2022,106
2023,86
2024,133
2025,128
2026,65
2027,91
2028,87
2029,124
2030,27
2031,79
2032,143
2033,162
2034,109
2035,73
2036,35
2037,64
2038,37
2039,39
2040,99
2041,94
2042,103
2043,74
2044,104
2045,68
2046,38
2047,106
2048,74
2049,91
2050,57
2051,81
2052,86
2053,64
2054,156
2055,112
2056,84
2057,119
2058,100
2059,43
2060,71
2061,75
2062,134
2063,73
2064,67
2065,143
2066,103
2067,86
2068,55
2069,47
2070,16
2071,112
2072,126
2073,90
2074,38
2075,61
2076,155
2077,75
2078,95
2079,89
2080,101
2081,94
2082,65
2083,106
2084,69
2085,79
2086,83
2087,125
2088,119
2089,79
2090,38
2091,108
2092,135
2093,79
2094,112
2095,119
2096,113
2097,101
2098,111
2099,117
