year,spi_nd
1940,1.3983685542226643
1941,0.2500191505323556
1942,-1.177867132397112
1943,0.6163121523570269
1944,0.48082539665646784
1945,0.9038410344654408
1946,1.5528085814588646
1947,-0.17780421110024
1948,0.21712841597796398
1949,0.7975596397367614
1950,-0.40390399121280335
1951,1.0425504040955407
1952,1.3952853577661013
1953,-0.9209658751177888
1954,-0.36533019455147
1955,0.2569790607481129
1956,-2.070290439822018
1957,0.15340703263970232
1958,-1.3688577025940414
1959,-0.3143753826976884
1960,0.24889178667880643
1961,0.958444457303575
1962,-1.1242755774930493
1963,0.03161589475631887
1964,0.41163461973863347
1965,2.671559274712086
1966,1.6196271402899984
1967,1.2301799354904848
1968,-0.13204751151719676
1969,-0.16534828949121064
1970,1.396740449662803
1971,1.3663012980098523
1972,0.6988561664599916
1973,-0.23355393467173396
1974,0.2722557879413481
1975,-0.9293630742085287
1976,-0.8215026565514558
1977,0.0487632655905129
1978,1.1708830053576897
1979,-0.5542620311043716
1980,-0.9758317034901572
1981,-0.047253796900390936
1982,1.2483951067774095
1983,1.257216971831973
1984,1.359058180945179
1985,1.1429716096289801
1986,-0.19060808470337479
1987,0.6527746287177202
1988,0.6370829799378477
1989,-1.6419544389497431
1990,-0.8239601945791943
1991,0.15951782163097145
1992,0.797080136977631
1993,-0.23976889024410603
1994,-0.291878880729576
1995,-0.8873249301363181
1996,0.9821243913598996
1997,1.192172454335151
1998,-0.345468259556067
1999,-1.7898360711912165
2000,-1.7620966870412
2001,0.10082534641790605
2002,0.7256391469484654
2003,-0.1462425283250293
2004,1.1217738870003675
2005,-1.139725633644715
2006,-0.9235168593201083
2007,-0.11353403180729224
2008,0.9917651765362192
2009,0.24926302595726305
2010,2.1778967714736726
2011,0.21294450667308742
2012,0.0979256985354901
2013,-0.7536525056811977
2014,0.5980336613713677
2015,-0.553658813765098
2016,0.744426887505215
2017,-2.364713141050901
2018,0.32036326036437857
2019,1.532868071421433
2020,-0.6774036814441705
2021,1.1841076375247315
2022,0.833809333642216
2023,0.1467130190916798
2024,-1.6817780529052282
