,hdwi
1970,6.9180045258064515
1971,7.144732919354839
1972,6.42000029032258
1973,6.651922012903225
1974,4.811793722580645
1975,8.892928706451611
1976,9.239791932258065
1977,5.174972348387096
1978,3.5759484677419353
1979,4.663648009677419
1980,5.619151738709678
1981,6.098780112903226
1982,7.406876641935484
1983,6.611683790322581
1984,8.571974896774194
1985,5.331302522580645
1986,7.688300841935483
1987,6.894096319354839
1988,6.8785195
1989,7.079433180645162
1990,7.322312535483871
1991,5.562796574193548
1992,6.347589538709678
1993,3.644507422580645
1994,8.370783780645162
1995,3.3232588580645164
1996,8.939843454838709
1997,6.405979529032258
1998,5.835195103225806
1999,9.050111203225807
2000,7.529364664516129
2001,5.889222058064516
2002,8.22226523548387
2003,8.951042458064517
2004,6.878496693548387
2005,4.624573467741935
2006,9.16643645483871
2007,9.364443929032257
2008,6.686864287096774
2009,9.663499151612902
2010,6.462113425806452
2011,7.606583393548387
2012,10.115351751612902
2013,7.480511316129032
2014,10.3184653
2015,7.288167212903226
2016,6.316429274193548
2017,5.045776093548388
2018,8.873538122580646
2019,6.231853412903226
2020,7.766487993548387
2021,8.919519803225807
2022,8.445847470967742
2023,6.099178535483871
2024,6.280010209677419
