year,dsr1x
1940,0.7467325329780579
1941,27.052566528320312
1942,9.815001487731934
1943,40.77923583984375
1944,32.030643463134766
1945,20.528057098388672
1946,25.322032928466797
1947,3.9133036136627197
1948,27.467227935791016
1949,33.418758392333984
1950,13.437470436096191
1951,18.559478759765625
1952,4.727717876434326
1953,8.20954418182373
1954,36.14335250854492
1955,30.69828987121582
1956,6.67537260055542
1957,48.16656494140625
1958,21.925687789916992
1959,40.27532958984375
1960,69.11184692382812
1961,37.297607421875
1962,18.12930679321289
1963,18.620071411132812
1964,31.197004318237305
1965,15.22386360168457
1966,3.8991799354553223
1967,11.327075004577637
1968,10.591322898864746
1969,20.92143440246582
1970,29.503620147705078
1971,6.274006366729736
1972,11.27344036102295
1973,13.818897247314453
1974,10.31573486328125
1975,12.7653169631958
1976,36.60298156738281
1977,37.32634353637695
1978,41.95992660522461
1979,3.555800437927246
1980,23.4697265625
1981,22.548229217529297
1982,8.524311065673828
1983,10.324836730957031
1984,10.557493209838867
1985,2.8172950744628906
1986,11.1650972366333
1987,11.546623229980469
1988,5.943365097045898
1989,29.8151798248291
1990,37.790367126464844
1991,20.462873458862305
1992,16.04917335510254
1993,16.009031295776367
1994,11.141444206237793
1995,9.85291576385498
1996,13.45703125
1997,4.650504112243652
1998,2.5655407905578613
1999,10.352972984313965
2000,27.049222946166992
2001,26.003196716308594
2002,11.41950798034668
2003,8.180096626281738
2004,9.301417350769043
2005,6.219935894012451
2006,17.17322540283203
2007,41.76145935058594
2008,13.591497421264648
2009,12.152547836303711
2010,12.129648208618164
2011,7.709225177764893
2012,21.50313949584961
2013,10.760943412780762
2014,31.72071647644043
2015,17.163734436035156
2016,18.05735969543457
2017,13.119157791137695
2018,57.88039016723633
2019,7.901595115661621
2020,9.623098373413086
2021,42.449134826660156
2022,20.63576889038086
2023,6.11712121963501
2024,22.01372718811035
2025,34.435115814208984
