year,0
1941,3.1994095
1942,1.9947608
1943,0.30077642
1944,2.0395114
1945,1.6375977
1946,2.9319158
1947,4.1898317
1948,1.43839
1949,1.8605275
1950,2.016667
1951,0.5823931
1952,2.4644957
1953,2.894948
1954,0.4718052
1955,1.0409427
1956,1.1192255
1957,0.14455114
1958,2.245419
1959,0.6349267
1960,1.7974125
1961,1.7510661
1962,2.2176235
1963,0.82123816
1964,1.7374318
1965,1.2340258
1966,5.7381525
1967,2.860697
1968,2.7382767
1969,0.9145497
1970,1.0068165
1971,2.587884
1972,3.047737
1973,2.9347577
1974,0.76333725
1975,2.024315
1976,0.5508404
1977,0.8444474
1978,1.1003293
1979,2.9861317
1980,0.6300337
1981,0.36350808
1982,1.3403199
1983,2.9635978
1984,2.7195868
1985,3.1552145
1986,2.569644
1987,1.5466106
1988,4.3981256
1989,1.3628054
1990,0.26732594
1991,0.5014458
1992,1.4764221
1993,2.77744
1994,1.0328532
1995,1.61816
1996,0.4259234
1997,2.17178
1998,1.9390163
1999,0.74746025
2000,0.077137396
2001,0.72268385
2002,1.0149204
2003,1.6457927
2004,1.4274731
2005,5.171608
2006,1.0751072
2007,0.6810193
2008,1.2824284
2009,2.6047387
2010,1.4745626
2011,5.462062
2012,1.5018117
2013,1.2376248
2014,1.343962
2015,1.6104491
2016,1.5614763
2017,2.3104317
2018,0.07818212
2019,1.7171936
2020,3.551282
2021,0.48016304
2022,2.5144606
2023,1.6511505
2024,1.1802462
2025,0.1808962
