year,spi_son
1940,-0.46887449387011104
1941,-0.01819076154997275
1942,-1.210093309383915
1943,-1.4356823417350115
1944,0.955026538171095
1945,0.059048651851100295
1946,2.2228714770908224
1947,-0.6387712392807405
1948,-0.7943589053991168
1949,0.13628078810351313
1950,0.23815680399912256
1951,0.1671621408403154
1952,0.9008353234618169
1953,-0.5204903761960279
1954,-0.7421329751721094
1955,-0.5359621407588159
1956,-2.335376536745205
1957,1.1296978225201082
1958,-0.4773293560945909
1959,-0.4384309966486082
1960,1.0378135203610266
1961,0.8443897473775913
1962,-1.303249479637064
1963,2.2478142028294266
1964,0.4553637820307738
1965,3.464131814851757
1966,0.9200172948767733
1967,1.5785912268958646
1968,-0.5234299894582584
1969,0.3857888667775186
1970,1.1702789687074182
1971,-0.7128493720424618
1972,1.622797284967563
1973,0.11505056513239426
1974,-0.10411575937272897
1975,-0.21812402205245304
1976,1.8846680297080018
1977,-1.53196709454566
1978,1.5150089079143911
1979,-0.16651041224976962
1980,-1.862807787257319
1981,0.7232679347363663
1982,2.196660602483197
1983,2.085343737373007
1984,0.8735053533220498
1985,2.285781777414758
1986,0.9479708164091634
1987,2.094040370061041
1988,-0.38289786919584357
1989,-0.4909110869751682
1990,-0.7486879587197024
1991,-0.6155208719235429
1992,-0.5490517611564175
1993,-0.06345797008997694
1994,0.10014700496234488
1995,-2.102382090107305
1996,1.1358692308464544
1997,1.4113319341592812
1998,0.025601913659532027
1999,-1.5872183919815535
2000,-0.05288839246492789
2001,-0.015512457155776463
2002,0.5428526117450801
2003,-0.4636805973976161
2004,2.590704736278155
2005,0.10188765265509014
2006,-1.3586940397931064
2007,0.3175291483197692
2008,0.3091694654983324
2009,-0.46907591167623736
2010,1.1116049450794967
2011,1.1743554165335257
2012,-0.23385390255807106
2013,-0.038015204372998136
2014,-0.6210390672964377
2015,0.44201234755640795
2016,0.216953992438
2017,-1.2442536811393299
2018,0.5214529020314002
2019,1.0558823389567784
2020,-1.3917868490945762
2021,-0.5536443818228037
2022,1.082990315532103
2023,0.1292623808543137
2024,-1.316241120818051
