year,dc_doy
1949,34
1950,65
1951,130
1952,89
1953,56
1954,53
1955,22
1956,44
1957,33
1958,91
1959,42
1960,64
1961,70
1962,55
1963,24
1964,120
1965,90
1966,14
1967,66
1968,40
1969,70
1970,32
1971,41
1972,38
1973,103
1974,110
1975,109
1976,82
1977,96
1978,30
1979,46
1980,64
1981,65
1982,194
1983,40
1984,-13
1985,33
1986,59
1987,64
1988,146
1989,73
1990,79
1991,73
1992,28
1993,41
1994,62
1995,61
1996,55
1997,69
1998,97
1999,32
2000,104
2001,80
2002,115
2003,106
2004,29
2005,73
2006,42
2007,111
2008,71
2009,41
2010,30
2011,102
2012,-1
2013,17
2014,13
2015,27
2016,113
2017,32
2018,75
2019,73
2020,82
2021,98
2022,69
2023,30
2024,13
2025,87
2026,53
2027,32
2028,120
2029,135
2030,101
2031,-7
2032,-13
2033,-10
2034,68
2035,103
2036,-12
2037,34
2038,55
2039,13
2040,65
2041,108
2042,63
2043,147
2044,64
2045,108
2046,87
2047,21
2048,110
2049,105
2050,86
2051,0
2052,89
2053,72
2054,26
2055,66
2056,77
2057,124
2058,62
2059,69
2060,54
2061,75
2062,63
2063,93
2064,109
2065,115
2066,72
2067,63
2068,-21
2069,103
2070,61
2071,13
2072,68
2073,87
2074,93
2075,13
2076,38
2077,50
2078,109
2079,0
2080,91
2081,70
2082,113
2083,150
2084,-19
2085,-1
2086,101
2087,13
2088,13
2089,60
2090,13
2091,14
2092,105
2093,35
2094,115
2095,13
2096,43
2097,88
2098,22
