year,dayofyear
1970,130.0
1971,120.0
1972,87.0
1973,17.0
1974,56.0
1975,135.0
1976,119.0
1977,65.0
1978,105.0
1979,149.0
1980,84.0
1981,123.0
1982,128.0
1983,113.0
1984,88.0
1985,34.0
1986,29.0
1987,128.0
1988,63.0
1989,61.0
1990,129.0
1991,150.0
1992,138.0
1993,94.0
1994,142.0
1995,164.0
1996,133.0
1997,120.0
1998,105.0
1999,73.0
2000,165.0
2001,74.0
2002,282.0
2003,110.0
2004,37.0
2005,57.0
2006,133.0
2007,51.0
2008,114.0
2009,88.0
2010,73.0
2011,69.0
2012,75.0
2013,113.0
2014,82.0
2015,72.0
2016,75.0
2017,120.0
2018,74.0
2019,77.0
2020,202.0
2021,91.0
2022,61.0
2023,98.0
2024,83.0
2025,139.0
2026,97.0
2027,85.0
2028,110.0
2029,80.0
2030,344.0
2031,133.0
2032,52.0
2033,30.0
2034,65.0
2035,81.0
2036,125.0
2037,36.0
2038,115.0
2039,71.0
2040,138.0
2041,40.0
2042,84.0
2043,163.0
2044,54.0
2045,50.0
2046,121.0
2047,141.0
2048,121.0
2049,104.0
2050,116.0
2051,67.0
2052,148.0
2053,126.0
2054,111.0
2055,45.0
2056,63.0
2057,104.0
2058,41.0
2059,29.0
2060,163.0
2061,104.0
2062,154.0
2063,104.0
2064,95.0
2065,108.0
2066,116.0
2067,67.0
2068,146.0
2069,103.0
2070,84.0
2071,59.0
2072,147.0
2073,150.0
2074,55.0
2075,166.0
2076,98.0
2077,129.0
2078,110.0
2079,46.0
2080,83.0
2081,103.0
2082,178.0
2083,88.0
2084,117.0
2085,97.0
2086,155.0
2087,76.0
2088,118.0
2089,176.0
2090,112.0
2091,102.0
2092,55.0
2093,154.0
2094,69.0
2095,65.0
2096,126.0
2097,130.0
2098,208.0
2099,343.0
2100,111.0
