year,spei1,spei3,spei6
1940,1.1295235461203181,,
1941,0.6538557753900378,1.1645109947259524,0.6800820941218336
1942,-0.1623723363597963,0.12321690066798968,0.17865274447407317
1943,1.2503273297912951,0.33872149350782255,-0.1681547008356781
1944,-0.3152805361388843,0.1692821575835377,-0.33128514418502947
1945,-0.6767558974349415,0.13150388494768495,-0.8318381452303729
1946,-0.6690724415743509,0.07307940743645237,0.6870519518084827
1947,-0.3424616039233758,1.2439737497006338,0.8257844967787923
1948,-1.4961990812101427,-0.33422714707291196,-0.3350527735766196
1949,1.2429028228537775,0.8861788218005683,0.4775190004290856
1950,0.3736891085835241,0.5046897772585942,-0.004402904906734205
1951,0.14622174076935415,-0.6774652600155401,-0.9467598306381739
1952,1.512294643827796,1.4899851455074324,1.1380363542980803
1953,-0.5447793447668555,0.879137288844743,0.13196051296446326
1954,1.0276533169195141,0.07404501267562576,-0.5640840610721402
1955,1.1890651892474933,0.7159956351900204,0.008227909056658142
1956,0.2669103654108009,0.1456294081621168,-0.29594896401270593
1957,1.1576641520903574,-0.29605960336988196,-0.8854539220344768
1958,-0.6881072656451361,-0.2977905279540641,0.12512809370469213
1959,-0.5399263612317061,-1.2263798335539569,-1.3134607858644254
1960,0.7147756424893127,0.4557956936920871,0.5600328403703955
1961,-0.5320074753160815,0.09197002630615891,-0.1662466706230555
1962,0.13545316863534737,0.6748617186603046,0.6373171071000815
1963,-0.6819651229949881,-0.9496002016280679,-1.0516697102104553
1964,-0.323737793463007,-0.3555711618332771,0.811689260664563
1965,-0.7073850985281236,-0.1331653284269502,-0.4804893848116222
1966,0.03155999480454161,1.833514797764375,1.4710609473344138
1967,0.3451328972463487,0.9073267832198486,0.5160814008295436
1968,-0.7920242214145776,0.6080711271398198,0.2961248651755375
1969,1.7583015295691884,1.3430255421467217,0.8775667664131755
1970,-0.33164758410043144,-0.46372502306005775,-0.8834289562026382
1971,-0.8720169965726751,0.4701096953543731,-0.16021869965208285
1972,-0.9514462982075294,0.5526719787246898,0.28920574202816945
1973,0.3363734909261264,0.6163879281806677,1.0914579621912712
1974,1.3571487949158225,0.804826198148526,0.2504528694655793
1975,-1.1778670834175933,-0.5870269560961198,-0.347588534109129
1976,-2.1338855987279786,-1.7408628022505601,-1.3331550281101272
1977,0.6264185892810323,-0.31357176541094306,0.9604737902664148
1978,1.613123089398867,1.104834292234211,1.0641496484929425
1979,1.3070448394677148,1.5150945033686047,1.1620544681461826
1980,1.3106879195181258,0.44358059906548586,0.27226820126815554
1981,0.23012056818937848,-0.9568228011197168,-1.2633059482071047
1982,0.4690836559450816,0.01518865565159349,-0.13040687737252368
1983,0.7015316274687292,1.2714657411530568,1.4559093351676844
1984,-1.2356601309436313,0.01808777147655718,1.415646191278038
1985,-0.13152755939210195,1.0767664279572091,1.4190726245779153
1986,-0.4457664779026701,0.5461011632421715,0.5251218861619777
1987,0.18916174289048396,0.020267233622474477,0.35629267753415206
1988,0.08330874063666419,1.0142853027454275,1.1893414119014722
1989,-0.29647711127022397,-0.16499972912146094,-0.11097683067720249
1990,0.058883668249228555,-1.183866475985884,-0.7472581281714706
1991,0.07271842601224209,-0.7521026070750008,-0.6178071305873947
1992,0.33490660993917604,0.038381676688107935,0.046512582231173986
1993,2.0007620901192675,1.9250059661152321,1.632508223923512
1994,-1.122549079118038,-0.9720461279274462,-1.0948886039764303
1995,1.92063507540982,1.7370360003814045,1.2801078335257814
1996,-0.6300883016188789,-1.1529677387689308,-1.5596960052310234
1997,0.7583424897121411,0.6936869322541765,0.24903901807817852
1998,0.10535126359149427,0.4326127071333448,0.6842327065930256
1999,-0.6391377159516173,-0.813700816353,-0.6104921039818263
2000,-0.6792843647513235,-1.6538425955123026,-1.6404743305643967
2001,0.7109890042928038,-0.23480600752009784,0.04408743448604994
2002,-0.9068021326184332,-0.6540941997622172,-0.9857065837264453
2003,-1.6201405375061209,-0.5234503564567211,-0.7256222689108968
2004,-0.8774200800141049,-0.06615786756942815,-0.4423127260124644
2005,1.5448867306897351,1.6918114084687756,1.7463323526123449
2006,-0.647003620682991,-1.3389684353142057,-0.4865154412793884
2007,-1.0803938207371382,-1.5371911674604655,-1.4367985583657548
2008,1.1298506147089,0.6413906710835874,0.24856248636147596
2009,-1.510988083280195,0.15604520524778923,-0.5395231617476953
2010,1.2626884629812565,0.8845395819105694,0.21367172654850428
2011,-0.9137946474823933,1.0944095105169978,0.8312468471448636
2012,-1.5623205128523883,-0.6183368664384452,-0.7564324533684179
2013,-0.37872477868993726,-0.31416881509499556,-0.3479532925035305
2014,-2.45169181366944,-1.0738353855989884,-0.5316373822906078
2015,-0.3291882402532643,-0.00457850646715287,0.10479669338625887
2016,0.7338807309969849,-0.080889963704714,-0.06328688120468517
2017,1.4641394082461667,1.2751735224809089,0.8090902101917937
2018,-0.36819342773245056,-1.6295655167961427,-1.433736174747867
2019,0.8251510251477041,0.3711792370728151,-0.10436051290361113
2020,-1.1212542642074919,0.7898309048651938,-0.12604332499082216
2021,-0.25797004482855995,-1.0747402666033214,-2.0668177823853067
2022,-1.339970212403434,-0.25149878384861085,-0.6084671754038893
2023,1.3917686585695503,1.151231894211143,0.9502897685507928
2024,0.415920942813647,0.01271807357343635,0.7316932980281972
