year,spi_ond
1950,0.10927155716600748
1951,0.46084028777638825
1952,0.43482978834823155
1953,-0.841656033716949
1954,-1.5753316932878898
1955,0.16732437060216626
1956,0.7976090046762907
1957,-1.6434697173165493
1958,-1.6319906838952605
1959,1.055563019226084
1960,-1.894437871830616
1961,-0.36459669495976466
1962,-2.3662958250821036
1963,1.479965941334601
1964,0.4803918508039438
1965,0.5273761051737936
1966,0.7097721228552961
1967,-2.1272937015876128
1968,-1.3809297843835737
1969,-0.6359748843320668
1970,0.9833555364670842
1971,0.6126563304549716
1972,0.34794311709274395
1973,1.1306537741526594
1974,0.0893035902033303
1975,0.5381825464717208
1976,0.7540480124312452
1977,0.2140425417351529
1978,0.9809826270968282
1979,0.6363616252065225
1980,0.675720342359064
1981,2.072473819614771
1982,-0.6347930782547008
1983,0.18114852721989863
1984,1.2675295308966978
1985,-0.9393193823567713
1986,0.027817879508278097
1987,-0.683626852247254
1988,0.0692926960253372
1989,-1.2425508360859974
1990,1.171950026402306
1991,-0.4695970211792567
1992,-0.8664754250365706
1993,1.1087124220851456
1994,0.6972064288074888
1995,0.5603016344228369
1996,-0.41091005389866003
1997,-1.3509970613901217
1998,-0.4127991858192113
1999,-1.8232623900686518
2000,1.49288765348844
2001,0.8241078621070491
2002,-1.2426747503289899
2003,0.675602475462226
2004,0.4339851767030974
2005,1.2221341858659134
2006,-0.1819464116171889
2007,-0.4229469001007861
2008,-0.37754193344767967
2009,-0.9318534157780625
2010,0.2176415757860842
2011,-2.82543006714388
2012,-0.11008750989039749
2013,-0.06764134665185605
2014,2.482611320832294
