year,dayofyear
1950,173.0
1951,70.0
1952,111.0
1953,94.0
1954,199.0
1955,64.0
1956,88.0
1957,61.0
1958,75.0
1959,143.0
1960,72.0
1961,97.0
1962,102.0
1963,134.0
1964,126.0
1965,74.0
1966,72.0
1967,152.0
1968,221.0
1969,122.0
1970,90.0
1971,147.0
1972,94.0
1973,86.0
1974,103.0
1975,100.0
1976,87.0
1977,63.0
1978,101.0
1979,128.0
1980,86.0
1981,63.0
1982,113.0
1983,61.0
1984,90.0
1985,101.0
1986,131.0
1987,114.0
1988,58.0
1989,106.0
1990,76.0
1991,85.0
1992,126.0
1993,107.0
1994,89.0
1995,111.0
1996,137.0
1997,113.0
1998,95.0
1999,97.0
2000,58.0
2001,120.0
2002,82.0
2003,77.0
2004,166.0
2005,128.0
2006,131.0
2007,107.0
2008,120.0
2009,130.0
2010,113.0
2011,120.0
2012,162.0
2013,63.0
2014,92.0
2015,105.0
2016,110.0
2017,68.0
2018,103.0
2019,129.0
2020,89.0
2021,70.0
2022,82.0
2023,76.0
2024,94.0
2025,100.0
2026,57.0
2027,71.0
2028,139.0
2029,116.0
2030,115.0
2031,109.0
2032,133.0
2033,100.0
2034,170.0
2035,114.0
2036,52.0
2037,96.0
2038,90.0
2039,93.0
2040,67.0
2041,149.0
2042,132.0
2043,163.0
2044,95.0
2045,86.0
2046,91.0
2047,131.0
2048,87.0
2049,89.0
2050,92.0
2051,101.0
2052,109.0
2053,137.0
2054,120.0
2055,143.0
2056,145.0
2057,122.0
2058,122.0
2059,107.0
2060,160.0
2061,130.0
2062,110.0
2063,120.0
2064,132.0
2065,156.0
2066,98.0
2067,96.0
2068,101.0
2069,175.0
2070,111.0
2071,110.0
2072,108.0
2073,190.0
2074,143.0
2075,89.0
2076,70.0
2077,134.0
2078,65.0
2079,110.0
2080,79.0
2081,76.0
2082,101.0
2083,131.0
2084,22.0
2085,116.0
2086,115.0
2087,101.0
2088,106.0
2089,80.0
2090,113.0
2091,140.0
2092,169.0
2093,109.0
2094,124.0
2095,135.0
2096,118.0
2097,96.0
2098,130.0
2099,106.0
2100,150.0
