year,dsr3x
1940,0.6214621067047119
1941,22.26364517211914
1942,10.217329025268555
1943,36.22247314453125
1944,26.800527572631836
1945,18.52594566345215
1946,16.667661666870117
1947,3.5747175216674805
1948,21.77819061279297
1949,27.613554000854492
1950,11.224870681762695
1951,16.505592346191406
1952,3.469400405883789
1953,5.660518169403076
1954,29.991514205932617
1955,19.19802474975586
1956,5.676043510437012
1957,43.84808349609375
1958,20.77081298828125
1959,37.374732971191406
1960,49.629329681396484
1961,27.26738739013672
1962,12.34015941619873
1963,15.124918937683105
1964,23.216575622558594
1965,12.148334503173828
1966,3.1038012504577637
1967,8.78053092956543
1968,7.577600479125977
1969,15.71240234375
1970,22.91266632080078
1971,5.750914573669434
1972,9.458641052246094
1973,8.6488676071167
1974,9.482649803161621
1975,13.362879753112793
1976,28.91802978515625
1977,26.02835464477539
1978,21.006010055541992
1979,3.398716688156128
1980,18.71984100341797
1981,17.392030715942383
1982,7.8329057693481445
1983,8.112552642822266
1984,8.12070369720459
1985,2.5525996685028076
1986,10.005132675170898
1987,11.561376571655273
1988,3.594320774078369
1989,24.731468200683594
1990,24.58050537109375
1991,19.95677947998047
1992,15.569204330444336
1993,21.51184844970703
1994,9.61804485321045
1995,8.96446704864502
1996,14.016241073608398
1997,3.371119260787964
1998,1.9768798351287842
1999,8.548348426818848
2000,24.245559692382812
2001,18.43010711669922
2002,8.281245231628418
2003,5.800988674163818
2004,8.625894546508789
2005,5.9090070724487305
2006,13.57369613647461
2007,32.86187744140625
2008,10.393933296203613
2009,10.550701141357422
2010,9.239762306213379
2011,5.701292991638184
2012,15.672657012939453
2013,9.721981048583984
2014,29.7724666595459
2015,12.873625755310059
2016,16.442642211914062
2017,10.66135311126709
2018,44.65021514892578
2019,5.247393608093262
2020,8.353731155395508
2021,34.84009552001953
2022,21.23293113708496
2023,5.117780685424805
2024,18.551380157470703
2025,27.296875
