year,spi_d
1940,1.7173752546151768
1941,0.6003460584702359
1942,-1.3267920426294229
1943,1.0698547046567302
1944,-0.6103864347875013
1945,1.2178819130324385
1946,0.620908066369694
1947,0.020732071986071257
1948,0.68059653472901
1949,0.7579644714887145
1950,-1.3900401428572027
1951,1.0687933452697058
1952,1.0334143562803495
1953,-2.026338392223802
1954,-0.42302330385986525
1955,0.2315251741095055
1956,-1.3937879119663807
1957,0.325065106240379
1958,-1.69658093809057
1959,0.12128178543632612
1960,-1.0082113799790948
1961,0.552033320185521
1962,-0.5701692951949408
1963,-1.780972636620108
1964,-0.016952010035277236
1965,1.1402213231606537
1966,1.5030349058647507
1967,0.33606316555654575
1968,-0.0870611485125407
1969,-1.4043847051237537
1970,0.8379583558987517
1971,1.737263061427937
1972,-0.2485177544941052
1973,-0.8842727869567343
1974,0.6473037033322883
1975,-1.296304024974469
1976,-0.7682108454166018
1977,0.45893978419051257
1978,0.7469202134056953
1979,-0.6109033863531682
1980,-0.4262713617209516
1981,-0.8384025101519479
1982,0.36057562057608716
1983,0.9329256140959966
1984,1.2797145376039207
1985,-0.28614607170804274
1986,-0.7247354488493801
1987,0.5849530865643119
1988,0.7167472824312918
1989,-1.43048237551571
1990,-0.8309580184464501
1991,0.5719806658515055
1992,1.218482170659228
1993,-0.38149467495621564
1994,-0.42222495448002567
1995,-0.38850432167035337
1996,0.7708112390585283
1997,0.9317792972483141
1998,-0.6791273593300038
1999,-1.9405201800840994
2000,-1.6879557617692555
2001,-0.21330803963152553
2002,0.4761389612509224
2003,-0.0693704255959099
2004,1.2702906497726194
2005,-0.8604671539810708
2006,-0.5021453547131168
2007,-0.23533476077458626
2008,0.7951311323012541
2009,0.612163556334394
2010,2.311999431370842
2011,-0.7829020533113688
2012,0.25732555185850875
2013,-1.000961847914134
2014,0.8979362783834106
2015,-0.35391142399847997
2016,0.8940611988290733
2017,-2.623700008658561
2018,0.15719240064796322
2019,1.1845057331158446
2020,-0.4914212289164253
2021,1.6119943313814518
2022,0.635647758423843
2023,0.17543124687331615
2024,-1.99433092559343
