year,pr_nd
1940,85.90023
1941,40.43923
1942,11.043283
1943,52.585686
1944,47.84704
1945,63.630867
1946,93.732956
1947,28.819708
1948,39.45024
1949,59.389187
1950,23.719547
1951,69.45243
1952,85.748184
1953,14.49559
1954,24.54124
1955,40.65061
1956,3.6253774
1957,37.580574
1958,8.904035
1959,25.656841
1960,40.40506
1961,65.88368
1962,11.707049
1963,34.174835
1964,45.53942
1965,163.58769
1966,97.25431
1967,77.850845
1968,29.936798
1969,29.120914
1970,85.81992
1971,84.32708
1972,55.61754
1973,27.49785
1974,41.117165
1975,14.371646
1976,16.02349
1977,34.641167
1978,75.130936
1979,20.700356
1980,13.699696
1981,32.084747
1982,78.69865
1983,79.111336
1984,83.974266
1985,73.871765
1986,28.51233
1987,53.911316
1988,53.338192
1989,6.4090624
1990,15.984392
1991,37.757236
1992,59.370476
1993,27.353134
1994,26.160416
1995,14.999954
1996,66.87631
1997,76.10044
1998,24.97199
1999,5.305592
2000,5.5003443
2001,36.08338
2002,56.62514
2003,29.58712
2004,72.92446
2005,11.512734
2006,14.457855
2007,30.397102
2008,67.28316
2009,40.41631
2010,129.86984
2011,39.325607
2012,36.002007
2013,17.130447
2014,51.929237
2015,20.711895
2016,57.33897
2017,2.3503604
2018,42.609676
2019,92.697655
2020,18.438866
2021,75.73225
2022,60.814754
2023,37.38769
2024,6.0958385
