year,dayofyear
1951,137.0
1952,133.0
1953,59.0
1954,138.0
1955,129.0
1956,59.0
1957,246.0
1958,28.0
1959,204.0
1960,114.0
1961,58.0
1962,131.0
1963,87.0
1964,101.0
1965,114.0
1966,76.0
1967,116.0
1968,68.0
1969,110.0
1970,69.0
1971,244.0
1972,140.0
1973,170.0
1974,117.0
1975,224.0
1976,127.0
1977,98.0
1978,130.0
1979,201.0
1980,169.0
1981,105.0
1982,81.0
1983,148.0
1984,163.0
1985,110.0
1986,90.0
1987,107.0
1988,68.0
1989,110.0
1990,24.0
1991,127.0
1992,48.0
1993,154.0
1994,85.0
1995,134.0
1996,129.0
1997,114.0
1998,86.0
1999,80.0
2000,149.0
2001,118.0
2002,233.0
2003,68.0
2004,86.0
2005,84.0
2006,62.0
2007,164.0
2008,168.0
2009,85.0
2010,96.0
2011,131.0
2012,141.0
2013,171.0
2014,121.0
2015,70.0
2016,111.0
2017,66.0
2018,99.0
2019,288.0
2020,149.0
2021,86.0
2022,160.0
2023,91.0
2024,103.0
2025,80.0
2026,95.0
2027,108.0
2028,61.0
2029,308.0
2030,98.0
2031,117.0
2032,52.0
2033,114.0
2034,191.0
2035,107.0
2036,237.0
2037,153.0
2038,111.0
2039,109.0
2040,152.0
2041,68.0
2042,117.0
2043,199.0
2044,160.0
2045,76.0
2046,139.0
2047,83.0
2048,98.0
2049,114.0
2050,119.0
2051,147.0
2052,117.0
2053,177.0
2054,154.0
2055,119.0
2056,127.0
2057,56.0
2058,91.0
2059,108.0
2060,80.0
2061,81.0
2062,82.0
2063,99.0
2064,76.0
2065,60.0
2066,237.0
2067,113.0
2068,84.0
2069,150.0
2070,162.0
2071,98.0
2072,79.0
2073,95.0
2074,97.0
2075,76.0
2076,118.0
2077,137.0
2078,157.0
2079,82.0
2080,84.0
2081,143.0
2082,76.0
2083,90.0
2084,107.0
2085,111.0
2086,87.0
2087,76.0
2088,200.0
2089,105.0
2090,92.0
2091,85.0
2092,137.0
2093,99.0
2094,118.0
2095,115.0
2096,160.0
2097,238.0
2098,138.0
2099,75.0
2100,94.0
