year,dc_doy
1950,19
1951,79
1952,75
1953,33
1954,63
1955,66
1956,86
1957,72
1958,39
1959,37
1960,67
1961,74
1962,31
1963,-30
1964,109
1965,68
1966,20
1967,78
1968,53
1969,21
1970,89
1971,81
1972,54
1973,34
1974,131
1975,59
1976,13
1977,63
1978,52
1979,68
1980,28
1981,117
1982,13
1983,113
1984,135
1985,25
1986,26
1987,71
1988,52
1989,83
1990,94
1991,26
1992,63
1993,64
1994,49
1995,25
1996,51
1997,67
1998,82
1999,96
2000,153
2001,62
2002,93
2003,52
2004,25
2005,44
2006,49
2007,97
2008,28
2009,46
2010,43
2011,159
2012,36
2013,21
2014,29
2015,60
2016,28
2017,-7
2018,-10
2019,49
2020,21
2021,27
2022,44
2023,130
2024,24
2025,49
2026,89
2027,83
2028,73
2029,40
2030,56
2031,32
2032,67
2033,74
2034,67
2035,51
2036,-25
2037,13
2038,124
2039,79
2040,84
2041,96
2042,26
2043,54
2044,21
2045,55
2046,41
2047,17
2048,48
2049,67
2050,36
2051,34
2052,109
2053,37
2054,92
2055,89
2056,30
2057,78
2058,-26
2059,38
2060,59
2061,59
2062,19
2063,55
2064,13
2065,62
2066,31
2067,-12
2068,41
2069,53
2070,54
2071,86
2072,20
2073,66
2074,15
2075,21
2076,53
2077,51
2078,86
2079,43
2080,-10
2081,56
2082,68
2083,104
2084,115
2085,32
2086,56
2087,76
2088,71
2089,28
2090,63
2091,-5
2092,29
2093,72
2094,20
2095,77
2096,79
2097,66
2098,48
