year,dayofyear
1950,212.0
1951,169.0
1952,117.0
1953,64.0
1954,128.0
1955,71.0
1956,92.0
1957,89.0
1958,107.0
1959,185.0
1960,118.0
1961,145.0
1962,67.0
1963,79.0
1964,54.0
1965,72.0
1966,85.0
1967,125.0
1968,132.0
1969,215.0
1970,111.0
1971,82.0
1972,153.0
1973,114.0
1974,102.0
1975,137.0
1976,92.0
1977,116.0
1978,115.0
1979,126.0
1980,188.0
1981,83.0
1982,107.0
1983,156.0
1984,87.0
1985,71.0
1986,100.0
1987,123.0
1988,94.0
1989,114.0
1990,74.0
1991,70.0
1992,154.0
1993,198.0
1994,76.0
1995,75.0
1996,137.0
1997,98.0
1998,154.0
1999,83.0
2000,125.0
2001,133.0
2002,106.0
2003,96.0
2004,87.0
2005,103.0
2006,119.0
2007,95.0
2008,95.0
2009,80.0
2010,85.0
2011,135.0
2012,100.0
2013,140.0
2014,122.0
2015,102.0
2016,97.0
2017,190.0
2018,85.0
2019,66.0
2020,126.0
2021,67.0
2022,122.0
2023,112.0
2024,84.0
2025,147.0
2026,130.0
2027,77.0
2028,80.0
2029,138.0
2030,147.0
2031,167.0
2032,108.0
2033,116.0
2034,95.0
2035,76.0
2036,85.0
2037,193.0
2038,112.0
2039,119.0
2040,101.0
2041,144.0
2042,86.0
2043,79.0
2044,111.0
2045,158.0
2046,107.0
2047,119.0
2048,87.0
2049,86.0
2050,116.0
2051,93.0
2052,116.0
2053,63.0
2054,86.0
2055,104.0
2056,61.0
2057,86.0
2058,88.0
2059,87.0
2060,106.0
2061,160.0
2062,109.0
2063,142.0
2064,82.0
2065,102.0
2066,86.0
2067,129.0
2068,98.0
2069,103.0
2070,95.0
2071,127.0
2072,128.0
2073,80.0
2074,67.0
2075,183.0
2076,109.0
2077,111.0
2078,93.0
2079,89.0
2080,129.0
2081,76.0
2082,130.0
2083,104.0
2084,119.0
2085,117.0
2086,96.0
2087,135.0
2088,105.0
2089,82.0
2090,135.0
2091,106.0
2092,157.0
2093,78.0
2094,63.0
2095,88.0
2096,63.0
2097,98.0
2098,115.0
2099,162.0
2100,365.0
